rank	username	minecraft:used/minecraft:pink_carpet
1	YungMaki	15768
2	Spacewardharpy7	4989
3	thewindmillman	3880
4	joethahobo	2106
5	Rumpletaezer	2068
6	Ezekson	1315
7	jnp_gaming	953
8	HellsSponge	553
9	lordpipe	419
10	queenalina123	322
11	RebelAndroid	299
12	Hermanni__	268
13	Smoke____	178
14	beeperbeeper5	158
15	heckface	122
16	djancak	104
17	500am	98
18	kekhon	82
19	monky_irl	79
20	Swexti	78
21	Crowvens	75
22	wrinkledpiglet	73
23	Enderslayerxz3	63
24	PlzNoBM	62
25	__tomato	60
26	KeruNatsema	59
27	Di_infiri	56
28	Lez_	51
29	Blackberry1310	50
30	_Boipl_	47
31	Inbefour	44
32	El_Jalapeno	42
33	00000000-0000-0000-0009-01ff0c3e5e4f	40
34	Segotep999	39
35	EveryonesUncle	36
35	lcvezra	36
37	xxPipperDipperxx	35
38	_Dean_123	23
39	Freak_Genius	22
40	EcksD	20
40	Quotary	20
40	TechnoNinja64	20
43	LilLizardWizard	19
44	Arceus1975	16
44	Deguns123	16
46	Sleek_Storm_721	15
46	eitanzaki	15
46	Maenara	15
49	audiocracked	14
50	Legendosh	13
51	seramalen	12
52	Fullut	10
52	Voxin2K	10
52	AltnumberF4	10
55	Ravenbie	9
56	TheSecondLord	8
56	FishyBoy3811	8
56	_Tilariel_	8
56	obzii	8
60	LeeMcGee30	7
61	420BreadLizard	6
61	NomadicRobin_	6
61	Zoeyfortnite	6
64	roxycherry	5
64	MattieHD	5
64	MakeHistory157	5
64	Nagasaki_Riku	5
68	__Auspicious	4
69	dabloons	3
69	T045RTY	3
69	SyntheticSurgeon	3
69	MinttyFressh	3
69	Motsaro	3
69	PeteO1995	3
69	Jiminie	3
69	MelodyGaysharks	3
77	numbra	2
77	Sparky_KT	2
77	Lord_Jord	2
80	Mahoose	1
80	rarrq	1
80	Ozixar	1
80	jushykins	1
80	YungJakobo	1
80	Smashic	1
80	SellyZ	1
80	Chromary	1
80	cedric72	1
80	TheShyPig	1
80	Akoot_	1
80	_Bguette_	1
80	LexMakesHistory	1
80	NameGenerat0r	1
80	Nycteus_	1
80	MightyWertu	1
80	Blaiku	1
80	Kyrum2169	1
