rank	username	minecraft:used/minecraft:bamboo
1	drunkeeez	10495
2	Hyp3rion_	8002
3	Fullut	6723
4	Hisiste	5551
5	Werbe	4191
6	non089	3376
7	Moetis	3168
8	Di_infiri	2752
9	Lutres_	2615
10	Jackattack53	2557
11	eitanzaki	2477
12	noam464	2153
13	Nicserso	2136
14	djancak	2067
15	AdmiralSmoke	1988
16	Eraxa	1532
17	Darkgon	1502
18	eviltunix	1444
19	BlancoFlaco	1363
20	Mr_Sun15	1326
21	PhantomsGhost_	1305
22	Steelynan	1258
23	ImpavidArcher	1126
24	ShedJr_	1040
25	cedric72	931
26	MightyWertu	927
27	WyngGoy	924
28	Frozil20	915
29	KingFaenor	870
30	trexgb	869
31	EveryonesUncle	868
32	MrExplorer	854
33	YungMaki	811
34	jewishnoselong	805
35	vandmanden	801
36	TheDankPlatypus	795
36	pixelviolin	795
38	beeperbeeper5	765
39	Mahoose	755
40	pintsizedrogue	703
41	HellsSponge	689
42	Zenlou	687
43	CuzIm2Kev	670
44	set67	668
45	Dreamdbr14	657
46	MOSS000	655
47	legal_tax_evader	654
48	joethahobo	649
49	Ender_Souls	635
50	_darky1_	622
51	Kakolbus	612
52	DeeDeeThonk	611
53	Racengan	604
54	Ezekson	579
55	Blackberry1310	570
56	TheShyPig	532
57	titanlax	502
58	Corbsman	485
59	Onennon	482
59	masskedman	482
61	valiSW	480
62	Mr_Byzantine	478
63	markaus77	470
64	SammiWolfGirl	460
65	Shiirazu	453
66	kekhon	443
67	diggydog67	432
68	calamariclam_I	416
69	M_Patata	400
70	Zythose	394
71	xzvu	390
72	Megarboh	387
73	SaucyDark	382
74	The_slideV3	377
75	Manaateee	376
76	Sheldor097	365
77	SuperPooch06	363
78	Invisie	360
79	Kubelz	348
80	FreakGenius	342
81	Kamflame10	338
82	Hiryu27	337
83	Malorn_Aetherius	333
84	_Meow_Mix	303
85	_Nuf	300
85	Arceus1975	300
87	IamCL4SSY	296
88	crying_wolf_13	294
89	CoffeeNoir	291
89	bloodbiter	291
91	Merv__	290
92	dudcreeper	282
92	NameGenerat0r	282
94	rotten_mango	281
95	Tiktola01	280
96	thgrocks	278
97	Azorathum	274
98	thescout7	270
98	Candad_	270
100	El_Jalapeno	267
100	Quotary	267
102	impossibleteapot	266
102	aldplaysmc	266
104	Thaumatarge	265
105	NebulousBadger	262
106	XboxPanda	259
107	Silvo614	258
108	Forcolp	257
109	Jimi7hits	255
110	ROY4LE	254
110	FishisTTV	254
112	Burge_r	253
113	maliraspberry	251
114	Sparky_KT	248
115	prizm_	243
116	DASH_X7	240
117	Luigipunch989	233
118	MineMaster0012	227
119	Digcove	224
120	Blu3beast	223
121	Huwulling	221
122	ItsAki_	219
123	ehunt54	216
123	Fuhrer_Teemo	216
125	olmul	214
126	Touched_Bread	213
127	mariominejedi	209
128	thewindmillman	206
128	CaptainAvenger7	206
130	_i_ERROR_i_	204
131	RebelAndroid	194
131	NATE_the_HALO	194
131	Skippeh	194
134	Soul_Atreus	191
134	stellarjay	191
136	dongli	187
137	Drewen24	186
138	Spacewardharpy7	183
139	Pickel_Lord	180
140	kalzor	178
141	Ryan_GEMS	176
142	TheSecondLord	173
143	Leeeegend	171
144	Hpdinosaur	170
145	be3ry__	165
146	SpacesickPrism	163
147	UncreativeArtist	160
148	Inbefour	159
149	_Karmaa	156
150	_stets	155
151	Bandito_Roamer	152
151	Celeste_121	152
153	Warlord324	149
154	ItsHydroMC	148
