rank	username	minecraft:used/minecraft:stripped_warped_stem
1	Xalithia	654
2	12Magner05	282
3	kekhon	257
4	Ezekson	189
5	pintsizedrogue	135
6	TheEnderman548	111
7	Segotep999	104
8	Legendosh	97
9	HolyVenom	53
10	Enderslayerxz3	50
11	set67	37
11	EveryonesUncle	37
13	Lutres_Torane	36
14	Steelynan	32
15	Blackberry1310	31
16	TheSecondLord	28
17	PlasticOtari	27
18	noam464	26
19	Soplight	19
20	Mahoose	15
21	iSammael	11
22	SuperPooch06	10
22	Smoke____	10
24	Marbz_	6
25	Jiminie	5
25	lordpipe	5
25	YungMaki	5
28	rarrq	3
29	BlancoFlaco	1
29	T045RTY	1
29	Rebytre	1
29	Freak_Genius	1
29	Decaying_Lotus	1
29	Kowcio_	1
29	CalebDHawk	1
