rank	username	minecraft:used/minecraft:orange_carpet
1	YungMaki	41555
2	joethahobo	14336
3	beeperbeeper5	6951
4	Mattesco	5658
5	Quaintster	5273
6	thewindmillman	5184
7	Crowman1	4428
8	Ezekson	3639
9	QuiCreans	3492
10	Huwulling	3352
11	Rumpletaezer	3286
12	crashomon	3206
13	TheSecondLord	2796
14	Spacewardharpy7	2220
15	Kowcio_	1878
16	hermmm_	1832
17	Lez_	1712
18	pintsizedrogue	1361
19	SkateboardR6	1212
20	FreakGenius	1008
21	luseis	910
22	Yamdalorian	794
23	bl1ss0	601
24	Legendosh	528
25	Alteriity	525
26	lordpipe	450
27	MakeHistory157	397
28	heckface	389
29	_Virify_	373
30	skitzxo	328
31	Manaateee	285
32	Creativebuilder2	280
33	EcksD	267
34	mwrty	253
35	Blackberry1310	197
36	HellsSponge	195
37	wezzzi	157
38	Cowison	117
39	MoistMicrowave	105
40	12Magner05	101
41	RebelAndroid	100
42	Lord_Jord	93
43	Swexti	85
44	_i_ERROR_i_	80
45	500am	61
46	Historical_Sand	54
47	kekhon	52
48	Quotary	47
49	420BreadLizard	45
50	Inbefour	44
50	pixelviolin	44
52	NieToksikpl	41
52	ZoomieZoomie	41
54	ConnorDanky_	38
55	PortlyPete69	37
56	Njensen7	36
57	Sleek_Storm_721	34
57	Werbe	34
59	Di_infiri	32
60	obzii	29
61	Mahoose	27
62	Sral7	26
63	WET_WET_WET	25
63	LexMakesHistory	25
65	miramyu	24
65	Steelynan	24
67	Mr_Byzantine	21
68	Chromary	19
68	TechnoNinja64	19
70	Reamdin	18
71	NomadicRobin_	17
72	Jokerman369	16
72	__tomato	16
74	CattSoup	15
75	SaucyDark	14
76	Hoid_the_Roamer	13
76	The_Fulgurator	13
76	Maenara	13
76	Enderxz3	13
80	seramalen	10
80	PigDab	10
80	FishyBoy3811	10
83	Snowflowe	9
84	ImpavidArcher	8
85	InfernalMound	7
85	KingMatthew506	7
85	PlasticOtari	7
88	xxPipperDipperxx	6
88	EveryonesUncle	6
88	Meatlaugh	6
88	Pumpkin_P_Patch	6
92	Tommhh	5
92	Frozil20	5
92	Myntsys	5
92	annebolyn	5
96	Fullut	4
96	Torza	4
96	SvenskaSara	4
96	pretty_pink_reno	4
100	RoskobiOne	3
100	eitanzaki	3
100	tsohomie	3
100	Crizma_	3
104	CLG_Kata	2
104	ECstardust	2
104	noam464	2
104	Zaridey	2
104	hanaryheatwave	2
104	Arceus1975	2
104	Solar_Power	2
104	Jekyll	2
104	RoBe__	2
104	Racengan	2
114	BPTY4618	1
114	Merv__	1
114	teslawolf38	1
114	EMC_	1
114	Sleepy_Evelyn	1
114	Krowuss	1
114	HeraclesOGU	1
114	KliBeast21	1
114	Hahaa_0	1
114	FreddyFart	1
114	Tyrannosplart	1
114	lunkuku	1
114	StarCookiees_	1
114	tsitrawhy	1
114	xzvu	1
114	trexgb	1
