rank	username	minecraft:used/minecraft:acacia_stairs
1	beeperbeeper5	5696
2	Smoke____	1082
3	Meatlaugh	1001
4	KarlKaek	997
5	himak1	515
6	Hoid_the_Roamer	502
7	xX_Stalin69_Xx	400
8	Shogunite	356
9	Franco093	313
10	pintsizedrogue	302
11	Zaridey	223
12	Soplight	219
13	Bandito_Roamer	194
14	joethahobo	191
15	Winklepicker279	190
16	mariominejedi	187
17	TheShyPig	186
17	FreakGenius	186
19	Doom_melon	172
20	Merv__	167
21	ProfessorBee	141
22	EveryonesUncle	136
22	Ezekson	136
24	ProfessorDiaper	130
25	ImpavidArcher	127
26	Steelynan	124
27	Lez_	122
27	jewbacaman	122
29	TheSeismicDuck	121
30	kekhon	120
31	2Stout	112
32	mawileite	109
33	Blackberry1310	103
34	xXTheWolfmanXx	98
35	YungMaki	91
36	Werbe	87
36	SammiWolfGirl	87
38	ApophisNova	79
38	MyNamaSheff	79
40	binman420	74
41	AgressiveEggdog	72
42	Chuvacevedo	71
42	KlausVonStiglitz	71
44	TheSecondLord	70
45	AnnieBathory	68
46	Barlycorn	67
46	xolstoi	67
48	ReflexCode	64
49	Inbefour	63
50	Groovy_MoonBird	62
51	eitanzaki	60
51	youhjjhhhjj	60
53	ChillenChiggen	56
54	Myrosia	55
54	RoofTyler	55
56	HellsSponge	54
57	Inchef	52
57	luseis	52
59	Mr_Byzantine	51
59	thgrocks	51
61	500am	43
61	MakeHistory157	43
61	Enderxz3	43
64	prizm_	42
65	Zedducius	39
66	smogfrog	38
67	Felenov	37
67	starbits140	37
69	Apollo_993	36
69	r123moore	36
71	TechnoNinja64	34
72	Snowflowe	32
73	xxPipperDipperxx	31
73	thewindmillman	31
75	Arceus1975	30
76	Notta	29
76	SvenskaHugo	29
78	LeauVox4921	28
79	_Huge_Male_	26
79	Frozil20	26
81	funeralhome	25
81	BlueZabu	25
81	PortlyPete69	25
84	EMC_	24
84	MattieHD	24
86	tsitrawhy	23
87	Mahoose	21
87	DennyKai	21
89	MeanTugger	20
89	TJawesome09	20
89	Racengan	20
92	Fullut	19
92	Ecplosive	19
94	PhantomsGhost_	18
94	Onennon	18
94	El_Jalapeno	18
97	Ilinca_Io	17
97	MineMaster0012	17
97	stellarjay	17
100	Jackattack53	16
100	Mattesco	16
100	wrinkledpiglet	16
100	560cool	16
104	Groundler	15
104	h2p_emrld	15
106	AJplaysMC_	12
106	olek_kosa2009pvp	12
106	Soul_Atreus	12
109	MyNameIsDakar	11
109	Sral7	11
111	jushykins	10
111	bloodbiter	10
111	FlashMigma	10
111	Toriankel	10
111	bitsplease	10
111	Biites	10
117	Hpdinosaur	9
117	Fractured_	9
117	rpmm	9
117	Chayula	9
117	UCP_TheKingK	9
117	PlasticOtari	9
117	bladeefan2009	9
124	Dusk_95	8
125	peach0s	7
125	Swalt	7
125	dopplexd	7
125	MyNameIsJobo	7
125	Blaiku	7
130	duqboy	6
130	_Karmaa	6
130	561cool	6
133	eSpawNa	5
134	Mandroch	4
134	Lord_Jord	4
134	DarlaMeow	4
134	Soffbord	4
134	ConnorDanky_	4
139	Ozixar	3
139	legal_tax_evader	3
139	twinkel_star24	3
139	sp00ky_ghost977	3
139	Kowcio_	3
144	Marbz_	2
144	thatbeanyboi	2
144	MS_Pryxx	2
144	lordpipe	2
148	dimondking777	1
148	titanlax	1
148	Hanselhoof	1
148	lorpus	1
148	fade_emerge78823	1
148	noam464	1
148	Karetoko	1
148	Di_infiri	1
148	SuperPooch06	1
148	fw3xywashere	1
148	KermitTheKripple	1
148	Spacewardharpy7	1
148	Factoroni	1
148	__tomato	1
148	Legendosh	1
148	Jimb0nat0r	1
