rank	username	minecraft:used/minecraft:glass
1	thewindmillman	71264
2	Di_infiri	56856
3	HellsSponge	43943
4	AdmiralSmoke	35726
5	Ezekson	29217
6	Frozil20	27947
7	joethahobo	27548
8	MightyWertu	20567
9	thescout7	20401
10	Nycteus_	20213
11	El_Jalapeno	20026
12	noam464	18809
13	EngagedGrub41	18497
14	eitanzaki	16379
15	Spacewardharpy7	16017
16	Werbe	14895
17	ImpavidArcher	14857
18	gcaisawesome	14748
19	Lez_	13665
20	Lord_Jord	13272
21	TheShyPig	12597
22	Blaiku	12222
23	Bumpy419	11992
24	Ryan_GEMS	11575
25	MinttyFressh	10712
26	FreakGenius	10615
27	EMC_	10472
28	TechnoNinja64	10437
29	Rebytre	10049
30	Mewar	10033
31	BumbleBeever	9875
32	picardred	9830
33	Blackberry1310	9380
34	Segotep999	9311
35	diamondgolem35	8364
36	Groundler	8016
37	Mahoose	8008
38	Jovaphobic	7643
39	YungMaki	7451
40	Fuad_R	6788
41	301851	6719
42	Inbefour	5969
43	Wooptey	5623
44	Jimb0nat0r	5471
45	beeperbeeper5	5073
46	himak1	4846
47	Skippeh	4801
48	non089	4791
49	RebelAndroid	4681
50	Warlord324	4637
51	Comma__	4609
52	Zythose	4523
53	Covalents	4195
54	500am	4172
55	fffMike	4069
56	Studyhallsaver	3972
57	AuroraValkyrie	3937
58	Soplight	3893
59	Alteriity	3849
60	Franco093	3487
61	lizardfightclub	3483
62	EcksD	3427
63	Hyp3rion_	3338
64	Kakolbus	3332
65	Hyugo	3286
66	StinkyDiplomat	3194
67	Powowowow	3184
68	Vorlice	3168
69	pintsizedrogue	3160
70	FirsTimeGamingTV	3158
71	CattSoup	3071
72	eviltunix	3061
73	Snowflowe	2883
74	Hermanni__	2824
75	MyNameIsJobo	2797
76	MustaLoordi	2756
77	MAns_44	2731
78	DanTheBuilderino	2681
79	robotemo	2679
80	Jimi7hits	2676
81	jcool7	2595
82	PigDab	2562
83	PhantomsGhost_	2540
84	ApophisNova	2537
84	MyNamaSheff	2537
86	WyngGoy	2507
87	Njensen7	2492
88	Jackattack53	2460
89	LeonelSalamanca	2422
90	ProbsNotNova	2394
91	Nicky_H225	2365
92	UCP_TheKingK	2341
93	SpacesickPrism	2334
94	Skylord_Luke	2326
95	CrateOfBoxes	2318
96	Marbz_	2317
97	wezzzi	2303
98	mariominejedi	2294
99	Historical_Sand	2292
100	Prismyst	2278
100	Steelynan	2278
102	Fuhrer_Teemo	2227
103	Dogcorn69420	2220
104	_Karmaa	2162
105	Hisiste	2052
106	NieToksikpl	2051
107	Arceus1975	2031
108	1442	1993
109	TheDankPlatypus	1980
110	PortlyPete69	1953
111	Drawgirl	1921
112	TheEnderMan548	1884
113	ayamefag	1880
114	Xclax101	1863
115	Jonafrog99	1841
116	Silvo614	1840
117	benediktine1	1830
118	sandmire	1821
119	titanlax	1791
120	Blu3beast	1755
121	JESS_THE_RERE	1744
122	_TCARREIRA_	1711
123	Zoeyfortnite	1629
124	FishyBoy3811	1594
125	Majonezzon	1582
126	Sral7	1549
127	Barlycorn	1540
128	audiocracked	1524
129	MilleGrug	1507
130	ItsDeltaMC	1504
131	BartekB19	1434
132	PlzNoBM	1419
133	Megarboh	1413
134	MoistMicrowave	1389
135	DAD_1996	1388
136	OverallConcept	1378
137	Quotary	1314
138	07shiny	1308
139	TheSeismicDuck	1295
140	Fullut	1287
141	selectrix	1273
142	xxPipperDipperxx	1269
143	lotarp	1266
144	Manaateee	1261
145	ConnorDanky_	1257
146	Sabby65	1223
147	Fildyr	1216
148	bloodbiter	1171
149	Hiryu27	1169
149	trexgb	1169
151	ClemenPine	1112
152	Onennon	1106
153	Whiterooster001	1055
154	Rumpletaezer	1054
155	MattieHD	1035
156	teslawolf38	1014
157	Malware_Mara	986
158	mwrty	983
159	ROY4LE	979
160	kekhon	975
161	Cocoamallows	973
162	sp00ky_ghost977	952
