rank	username	minecraft:used/minecraft:painting
1	Mahoose	2014
2	pintsizedrogue	1141
3	kekhon	1131
4	luseis	981
5	Lez_	915
6	KarlKaek	772
7	Merv__	731
8	Sral7	676
9	TheShyPig	654
10	Werbe	651
11	Steelynan	616
12	SaucyDark	586
13	titanlax	584
13	EveryonesUncle	584
15	beeperbeeper5	583
16	PlasticOtari	574
17	500am	475
18	Burge_r	458
19	Wooptey	386
20	Xclax101	380
21	Eczbek	320
22	Njensen7	302
23	lcvezra	289
24	Manaateee	282
25	12Magner05	278
26	Soplight	276
27	ROY4LE	272
28	Enderxz3	263
29	Ezekson	258
30	Blackberry1310	252
31	Inchef	240
32	Rumpletaezer	237
33	_Dean_123	234
34	Hyp3rion_	222
35	Nicserso	217
36	FreakGenius	206
37	PaperCanvas	199
38	Jimb0nat0r	198
39	__tomato	194
40	Fullut	191
41	Lord_Doob	190
42	AlphaWolfPlaysMC	185
43	burbankbuilder28	182
44	Ozixar	181
45	LeonelSalamanca	178
46	r123moore	176
47	xxPipperDipperxx	175
48	CLG_Kata	171
49	Napoleonpancake	170
50	_Razaria	164
50	NameGenerat0r	164
52	ImpavidArcher	163
53	Ryan_GEMS	161
54	SuperPooch06	151
55	Lord_Jord	145
56	thescout7	142
57	Akoot_	138
58	Groovy_MoonBird	137
58	Bumpy419	137
60	Kubeusz2010	136
61	xolstoi	134
62	Rebytre	133
63	Historical_Sand	128
63	The_Cruncy	128
63	Kowcio_	128
63	Quotary	128
67	TheSecondLord	126
68	m_be9	125
69	Kubelz	122
70	mobunni	119
71	whoaluv	117
71	RobotMinion101	117
71	censorsheep	117
71	Ze_BaronKrigler	117
75	MattieHD	116
75	zorin123	116
77	CalebDHawk	115
77	Legendosh	115
79	Shogunite	114
80	RoskobiOne	113
81	sp00ky_ghost977	112
82	epiksk8erduck	111
83	M_Patata	108
83	SvenskaHugo	108
85	_havick	106
85	xzvu	106
87	_3Stump_	103
88	El_Jalapeno	101
89	AJplaysMC_	98
89	ougstur	98
89	anbbang	98
92	Saucepeh	97
93	TechnoNinja64	96
94	Eraxa	94
95	ShedJr_	92
96	420BreadLizard	91
97	Maenara	87
98	squigglybones	86
99	GingerNeutron	84
99	_Meow_Mix	84
101	wwwwinnebagoooo	83
101	MasterNueve	83
101	YungMaki	83
104	Prismyst	82
104	JETrotter	82
106	Ishy_	81
106	Kakolbus	81
106	oscminus	81
106	claivin	81
110	Arceus1975	79
110	MinuteMira	79
112	Bandito_Roamer	78
112	Winklepicker279	78
114	RatatJuice	77
114	Factoroni	77
116	ITDV	76
116	heckface	76
118	theonlymagikarp	75
118	JayToe	75
120	Hpdinosaur	73
121	Smashic	70
121	Jackattack53	70
121	KeruNatsema	70
121	MAns_44	70
125	Blu3beast	69
125	Spenduh	69
125	AdmiralSmoke	69
128	Studyhallsaver	68
128	Dakar_	68
