rank	username	minecraft:used/minecraft:black_stained_glass
1	RebelAndroid	26990
2	lillips	11731
3	Spacewardharpy7	10536
4	joethahobo	8268
5	m_be9	5693
6	EcksD	5525
7	Mahoose	4835
8	PigDab	3833
9	ROY4LE	3323
10	noam464	2881
11	pixelviolin	2607
12	mwrty	2579
13	MightyWertu	2497
14	ImpavidArcher	2124
15	Enderslayerxz3	2033
16	thewindmillman	1990
17	YungMaki	1893
18	Jovaphobic	1578
19	Blaiku	1524
20	BobDeBouwer1337	1421
21	6king6colt6	1344
22	33sudo	1311
23	h2p_emrld	1305
24	TheSecondLord	1232
25	beeperbeeper5	1178
26	Hyp3rion_	1040
27	The_slideV3	902
28	ogoa	853
29	eitanzaki	790
30	Frozil12	784
31	teslawolf38	754
32	Onennon	735
33	_Karmaa	712
34	AuroraValkyrie	691
35	SingedBread	686
36	titanlax	677
37	Zoeyfortnite	671
38	500am	655
39	IvarEXE	644
40	NomadicRobin_	619
41	Werbe	575
41	AssEatrAndLicker	575
43	Marbz_	536
44	stahouo	500
45	audiocracked	450
46	jnp_gaming	447
47	SquadMonster	432
48	Ssor69	356
49	NameGenerat0r	344
50	YoshikageBites	337
51	Xalithia	316
52	Smoke____	307
53	Jackattack53	294
54	DanTheBuilderino	283
55	EcksDofficial	269
56	Iagoku	262
57	Skylord_Luke	253
58	Blackberry1310	250
59	Groundler	206
60	kekhon	200
61	seramalen	196
62	CliffEmAll	170
62	ApophisNova	170
62	MyNamaSheff	170
65	Di_infiri	157
66	MyNameIsJobo	156
67	ssleepless	145
68	sebastiensaborio	130
69	pintsizedrogue	128
70	fffMike	112
71	Historical_Sand	107
71	MakeHistory157	107
73	oreee	96
74	Nostrom	89
75	_3Stump_	83
76	Zielo2017PL	82
77	Sral7	80
78	Truckoss	74
79	burbankbuilder28	73
79	GlitchyPlate810	73
81	KliBeast21	58
82	TheShyPig	56
83	claivin	55
83	K_a__a_n	55
85	benediktine1	52
86	Maenara	51
87	Motsaro	50
88	diamondgolem35	48
89	thescout7	47
90	Deathkob	46
91	emrekn	40
92	Kamflame10	38
93	JEWISHBadenBeele	37
93	Avrelion	37
93	AJplaysMC_	37
96	561cool	36
97	_Virify_	34
98	SyK7	32
98	Hyugo	32
98	tramizu	32
98	LordSpeed37	32
102	sadvavilloso	29
103	fkGrim	27
104	Shogunite	25
105	TinMaster	24
105	Dan_Scha	24
107	Dedalus36	22
108	Freak_Genius	21
108	kinas45y5	21
110	rarrq	19
110	HyperCave	19
110	lordpipe	19
113	Merv__	18
113	Blu3beast	18
115	Xclax101	17
116	Fullut	15
116	Eraxa	15
116	Kubeusz2010	15
119	theonlymagikarp	14
119	Akoot_	14
119	MAns_44	14
122	r123moore	13
122	Kyrum2169	13
124	Bumpy419	12
125	lahavmor	11
125	fluddd	11
125	oxfordschool	11
128	gabriels543	10
128	ibarker21	10
128	LexMakesHistory	10
128	Kowcio_	10
128	Soplight	10
133	SaucyDark	9
133	fr_ser	9
135	xxPipperDipperxx	7
135	MovingFish7	7
135	Quotary	7
138	Myszoaz	6
138	HellsSponge	6
138	Spenduh	6
141	EveryonesUncle	5
142	The_Fulgurator	4
142	MooxPlaysRust	4
142	BreadBacon	4
145	eclipseboi	3
145	TechnoNinja64	3
147	Groovy_MoonBird	2
147	xyct	2
147	Incinere	2
147	KomputerDude	2
147	Inchef	2
147	OtariCharlie	2
147	HolyVenom	2
147	Sky_light_KING	2
147	lcvezra	2
147	obzii	2
147	Ezekson	2
147	JohnPrice	2
159	dabloons	1
159	Hpdinosaur	1
159	Franco093	1
159	ShedJr_	1
159	_Dean_123	1
159	Kakolbus	1
159	King_Pancake1	1
159	Hiryu27	1
159	cedric72	1
159	FishyBoy3811	1
159	TheTrueClipse	1
159	stavgod	1
159	KG1999	1
159	ediballbearings	1
159	Hermanni__	1
159	TheOuterCore	1
