rank	username	minecraft:used/minecraft:diamond_sword
1	EcksD	112802
2	Di_infiri	85542
3	HellsSponge	84717
4	eitanzaki	64451
5	TheShyPig	59627
6	Frozil12	56947
7	rarrq	52979
8	Hyp3rion_	50068
9	gcaisawesome	48441
10	thescout7	45065
11	Werbe	43553
12	Fullut	41852
13	Blaiku	39411
14	noam464	37304
15	lordpipe	36581
16	stahouo	34234
17	Sral7	33840
18	YungMaki	32994
19	claivin	32632
20	Bumpy419	32497
21	vandmanden	32256
22	sebastiensaborio	31725
23	Skippeh	29513
24	Legendosh	26811
25	Blackberry1310	26654
26	chipklip	24372
27	joethahobo	21520
28	m_be9	21428
29	PhantomsGhost_	19305
30	PortlyPete69	18935
31	Blu3beast	18021
32	Deathkob	17610
33	burbankbuilder28	17522
34	SaucyDark	16981
35	Arceus1975	16945
36	Eraxa	16636
37	TechnoNinja64	16153
38	Mewar	15956
39	Hisiste	15906
40	Snowflowe	15904
41	Smoke____	15476
42	MightyWertu	15303
43	ProfessorBee	15126
44	mwrty	14920
45	12Magner05	14809
46	ROY4LE	14792
47	Maenara	14768
48	Enderslayerxz3	14570
49	fluddd	14034
50	jnp_gaming	13888
51	Onennon	13597
52	NameGenerat0r	13590
53	Jackattack53	13530
54	El_Jalapeno	13447
55	FelixPSY375	13440
56	Miko_Fullbuster	13329
57	pintsizedrogue	13247
58	Dogcorn69420	13193
59	TheSecondLord	12818
60	Jovaphobic	12795
61	Ezekson	12392
62	Racengan	12325
63	Lord_Jord	12293
64	ImpavidArcher	12241
65	kekhon	12190
66	SammiWolfGirl	12108
67	6king6colt6	12084
68	beeperbeeper5	12051
69	SuperPooch06	12050
70	bloodbiter	12037
71	Groovy_MoonBird	11684
72	Zythose	11656
73	Njensen7	11638
74	Soplight	11341
75	lcvezra	11339
76	Merv__	11209
77	Zoeyfortnite	11050
78	Rumpletaezer	10950
79	_Karmaa	10881
80	SpaceGrenadier	10790
81	Comma__	10784
82	TheSeismicDuck	10731
83	Mahoose	10672
84	Xclax101	10539
85	bigstankyy	10458
86	__tomato	10440
87	Hermanni__	10380
88	MyNameIsJobo	10324
89	yulgur1	10071
90	oxfordschool	10038
91	audiocracked	9959
92	XboxPanda	9860
93	sp00ky_ghost977	9682
94	xxPipperDipperxx	9615
95	The11thDoctor	9588
96	Cocoamallows	9413
97	Euclidoris	9331
98	Menthas	9307
99	Jiminie	9176
100	h2p_emrld	9169
101	500am	8795
102	Akoot_	8727
103	wezzzi	8324
104	Skylord_Luke	8281
105	awesomeoneme	8264
106	Covalents	8239
107	Sky_light_KING	8213
108	Nicserso	8171
109	bloomkieren	8132
110	Spenduh	8125
111	Deodorante	8070
112	Bandito_Roamer	8063
113	loveseeker	8023
114	livingdaydreams	7995
114	Nagasaki_Riku	7995
116	Spacewardharpy7	7928
117	TooManyDuck	7887
118	Inbefour	7856
119	Warlord324	7849
120	KarlKaek	7754
121	djancak	7634
122	PlasticOtari	7581
123	anbbang	7458
124	_naturell	7403
125	fred870d	7368
126	TheTrueClipse	7345
127	I_Am_Mushkin	7308
128	monky_irl	7300
129	censorsheep	7231
130	Cowison	7197
131	AlphaWolfPlaysMC	7108
132	gabriels543	7074
133	Windo_licker	6869
134	Soap_Bender	6826
135	ApophisNova	6812
135	MyNamaSheff	6812
137	T045RTY	6774
138	eiC_	6701
139	AuroraValkyrie	6665
140	_TCARREIRA_	6591
141	Rasmanden	6556
142	youhjjhhhjj	6441
143	jcool7	6411
144	NYJ	6404
145	stavgod	6347
146	RodSerlingCringe	6179
147	diggydog67	6134
148	cedric72	6092
149	Hiryu27	6037
150	G1ldor	5988
151	Xalithia	5969
152	WyngGoy	5787
153	M_Patata	5739
153	MasterNueve	5739
155	EcksDofficial	5678
156	gaziter10	5559
157	Sheldor097	5551
158	pappaberg	5521
159	laron58	5511
160	RobotMinion101	5490
161	Franco093	5471
162	H72l9w	5464
163	epiksk8erduck	5453
164	Groundler	5438
165	Hoid_the_Roamer	5348
166	mariominejedi	5184
167	OG_Songsee	5178
168	Lepthymo	5114
169	UrbanPlanner1978	5111
170	_Dean_123	5029
171	WET_WET_WET	4931
172	Incinere	4916
173	eviltunix	4884
174	MattieHD	4846
175	MakeHistory157	4819
176	BlancoFlaco	4806
177	Hpdinosaur	4753
178	trexgb	4704
179	Iagoku	4686
180	MovingFish7	4659
181	CSG_Haru	4623
182	himak1	4622
183	ProfessorDiaper	4616
184	Corbsman	4575
185	dudcreeper	4560
186	alderban107	4467
187	_Nuf	4461
188	Quincannon	4385
189	Shogunite	4353
190	UncreativeArtist	4332
