rank	username	minecraft:used/minecraft:spruce_fence_gate
1	Zythose	7773
2	noam464	3917
3	Skylord_Luke	3113
4	EcksD	3038
5	Ezekson	1372
6	jcool7	1189
7	beeperbeeper5	764
8	Frozil20	743
9	Eraxa	706
10	Merv__	475
11	Mahoose	429
11	TheShyPig	429
13	TheSecondLord	340
14	m_be9	292
15	pintsizedrogue	289
16	Smoke____	257
17	500am	256
18	joethahobo	234
19	Winklepicker279	219
20	anbbang	217
21	eitanzaki	212
22	Onennon	211
23	PlasticOtari	196
24	_stets	172
25	pixelviolin	152
25	ConnorDanky_	152
27	SDMNAEK	151
28	MyNameIsJobo	143
29	Legendosh	127
30	Steelynan	125
30	Enderxz3	125
32	xolstoi	114
33	obzii	113
34	_Dean_123	111
35	FreakGenius	110
35	ZoomieZoomie	110
37	Blu3beast	109
38	Di_infiri	106
39	HesDemonPants	102
40	ayamefag	101
41	ImpavidArcher	98
42	rarrq	94
43	Cryptacity	88
43	RobotMinion101	88
43	EveryonesUncle	88
43	Soplight	88
47	RebelAndroid	87
48	luseis	82
49	PortlyPete69	80
50	Comma__	71
50	M_Patata	71
50	Shogunite	71
53	Swexti	67
54	MasterNueve	66
55	burbankbuilder28	64
56	SmashingPump	62
56	lcvezra	62
58	Hyp3rion_	61
59	Racengan	60
60	thescout7	55
60	Arceus1975	55
62	rachcl	53
62	Cortexia	53
64	titanlax	52
65	RoofTyler	51
66	mihimihimihi	50
67	Seyaboy	46
67	kekhon	46
67	UCP_TheKingK	46
70	_Karmaa	44
71	Kakolbus	43
72	Sleepy_Time_	42
73	Fullut	41
74	Huwulling	40
74	Historical_Sand	40
74	SkateboardR6	40
74	EngagedGrub41	40
78	Deathkob	39
79	fkGrim	38
79	Soffbord	38
81	MattieHD	37
82	dopplexd	36
83	Blackberry1310	34
84	Werbe	33
85	ClemenPine	32
85	Sral7	32
87	OfficerAnvil	31
88	Jackster03	30
88	Inchef	30
88	DAD_1996	30
91	Spacewardharpy7	29
92	Tyrannosplart	27
92	El_Jalapeno	27
94	Tommhh	26
94	FishyBoy3811	26
96	diamondgolem35	25
96	Meatlaugh	25
98	Mr_Byzantine	24
98	RatatJuice	24
98	Felenov	24
98	MightyWertu	24
98	Skippeh	24
103	Jackattack53	23
103	lordpipe	23
105	Bumpy419	22
105	CalebDHawk	22
107	Hisiste	21
107	iSammael	21
109	tuckerdoodle	20
110	Jovaphobic	19
110	CarryLine	19
110	DemTechAlpha	19
110	Groundler	19
