rank	username	minecraft:used/minecraft:book
1	Buuck_	283
2	shineh10	97
3	Moofyman	67
4	Pumpkin_P_Patch	63
5	Lez_	53
6	Merv__	47
7	oscminus	43
8	SvenskaHugo	35
9	pixelviolin	29
10	MattieHD	17
11	FormulaNewt3627	15
12	Tersea_	14
13	Zee_zey	13
14	ElectricDragon81	11
15	ZaneABrain	10
16	XxCookiequeenxX	9
16	Manaateee	9
18	Reneedium	5
19	Napoleonpancake	4
19	Morgf	4
19	_witch_craft_	4
22	royal_2	3
22	Kowcio_	3
22	11Brewer	3
22	Yamdalorian	3
26	skitzxo	2
27	k_ce	1
27	Huwulling	1
27	beeperbeeper5	1
27	SteveCraftBlocks	1
27	crashomon	1
27	MrShojo	1
