rank	username	minecraft:used/minecraft:pink_shulker_box
1	lordpipe	3504
2	Mahoose	971
3	Werbe	802
4	Hyp3rion_	764
5	luseis	689
6	Manaateee	371
7	pintsizedrogue	351
8	Enderxz3	333
9	thescout7	282
10	censorsheep	276
11	Kowcio_	254
12	beeperbeeper5	252
13	500am	234
14	PhantomsGhost_	227
15	LexMakesHistory	194
16	Lez_	175
17	lcvezra	169
18	YungMaki	165
19	AdmiralSmoke	164
20	Myszoaz	153
21	HellsSponge	149
22	burbankbuilder28	145
23	Spenduh	141
24	MyNameIsJobo	131
25	SmashingPump	124
26	TheDankPlatypus	112
27	Maenara	105
28	Zaridey	99
29	MakeHistory157	87
30	kekhon	86
31	Xalithia	84
32	Bumpy419	81
33	Tyrannosplart	79
33	Shogunite	79
35	Jimb0nat0r	72
36	Ecplosive	70
37	Steelynan	64
38	MOSS000	62
39	Chromary	59
40	noam464	57
41	Mattesco	53
41	Jiminbub	53
43	1442	51
44	Huwulling	48
44	fade_emerge78823	48
44	ConnorDanky_	48
47	ImpavidArcher	47
48	set67	46
49	fluddd	42
50	Skippeh	41
50	EcksD	41
52	anbbang	40
53	Awyrlas	39
53	Eraxa	39
55	eitanzaki	38
55	titanlax	38
55	IamCL4SSY	38
58	corvidpartyfor6	35
58	Jackattack53	35
58	jnp_gaming	35
61	Yatitay	34
61	DanTheBuilderino	34
63	thewindmillman	33
63	F_Uhre	33
63	PlasticOtari	33
66	Njensen7	31
67	Akoot_	30
68	Iamthejo	29
69	Fullut	28
69	SellyZ	28
69	AlexxO_o	28
69	Kateesaur	28
73	Alteriity	27
73	joethahobo	27
73	r123moore	27
73	sp00ky_ghost977	27
73	stellarjay	27
78	mwrty	25
78	NomadicRobin_	25
78	fffMike	25
81	4774	24
81	gcaisawesome	24
81	yheece	24
84	Secret_Canary	23
84	Snowflowe	23
84	NameGenerat0r	23
84	SingedBread	23
88	GingerNeutron	22
88	xxPipperDipperxx	22
88	Spacewardharpy7	22
91	TooManyDuck	20
91	Blaiku	20
91	Aezekial	20
94	6king6colt6	19
94	Smashic	19
94	XboxPanda	19
94	Di_infiri	19
98	T045RTY	18
98	rarrq	18
100	EMC_	17
100	Tjhodskins19	17
102	monky_irl	16
102	Eczbek	16
104	Frozil20	15
105	ssleepless	14
105	MinttyFressh	14
105	TheShyPig	14
108	lillips	13
108	OG_Songsee	13
108	AssFullaCum	13
111	MixerDixer	12
111	SaucyDark	12
111	Nicky19	12
114	Crowman1	11
114	Deathkob	11
114	NATE_the_HALO	11
114	Nicserso	11
118	Nycteus_	10
118	Segotep999	10
118	Dogcorn69420	10
118	alderban107	10
122	jessewegottacook	9
122	Swexti	9
122	BobDeBouwer1337	9
122	MineMaster0012	9
122	CalebDHawk	9
122	little_dUki	9
122	mountaingirl311	9
129	Hpdinosaur	8
129	MoistMicrowave	8
129	pr33tu	8
129	surfinggiraffejp	8
129	PigDab	8
129	MAns_44	8
129	wwwwinnebagoooo	8
129	iSammael	8
137	peach0s	7
137	Da_Boss_Rani	7
137	TheSecondLord	7
137	Lor1113	7
137	SuperPooch06	7
137	Fuad_R	7
137	Travka100	7
137	Blu3beast	7
145	SteveCraftBlocks	6
145	emrekn	6
145	Inbefour	6
145	mihimihimihi	6
145	Soplight	6
145	ZeroKraken	6
151	Mr_Byzantine	5
151	chipklip	5
151	RoskobiOne	5
151	MattieHD	5
151	oscminus	5
151	claivin	5
151	AltnumberF4	5
158	PazinGaming	4
158	teslawolf38	4
158	KarlKaek	4
158	Historical_Sand	4
158	Euclidoris	4
158	Scathra	4
158	olliebollie48	4
158	Marbz_	4
158	Groundler	4
158	Razzgriz	4
158	MilleGrug	4
158	K_a__a_n	4
158	TechnoNinja64	4
171	hanaryheatwave	3
171	LeonelSalamanca	3
171	EveryonesUncle	3
171	_Mythic____	3
171	SvenskaHugo	3
171	SammiWolfGirl	3
171	h2p_emrld	3
178	Badenbeele	2
178	Tino666	2
178	lunathelemon	2
178	jushykins	2
178	poopybh	2
178	_Dean_123	2
178	eviltunix	2
178	Windo_licker	2
178	Eczbox	2
178	Felenov	2
178	Drewen24	2
178	ese_wn_po	2
178	Russiancat1	2
178	Veillax135	2
178	rezi	2
178	AshleySpiritHawk	2
178	CattSoup	2
195	xfemboyx	1
195	SaphLaseer	1
195	Merv__	1
195	Ailmast	1
195	Dumkii	1
195	asian_man_soggy	1
195	ExtraDumb	1
195	hm947	1
195	Incinere	1
195	nattybears	1
195	_HoneySlime_	1
195	lorpus	1
195	Inchef	1
195	Malware_Mara	1
195	xambsam	1
195	corpsecity	1
195	Zythose	1
195	pappaberg	1
195	bearlystraight	1
195	groofles	1
195	ReSynced	1
195	YungWali	1
195	_Karmaa	1
195	Leeeegend	1
195	Lunkuku	1
195	Airem_Core	1
195	Lord_Doob	1
195	Superdays	1
195	UCP_TheKingK	1
195	Fizznut909	1
195	PortlyPete69	1
195	SkinnyBois	1
195	_3Stump_	1
195	xolstoi	1
195	FishisTTV	1
