rank	username	minecraft:used/minecraft:small_amethyst_bud
1	Mahoose	32
2	TheSecondLord	19
2	thewindmillman	19
4	Jiminie	14
5	Kakolbus	11
6	diamondgolem35	10
7	pintsizedrogue	7
7	cwartzo	7
9	RatatJuice	6
9	12Magner05	6
11	PlasticOtari	4
12	Flores991	3
12	eitanzaki	3
12	ApophisNova	3
12	PigDab	3
12	Frozil12	3
12	MyNamaSheff	3
18	Deathkob	2
18	SpacesickPrism	2
18	MilleGrug	2
21	RebelAndroid	1
21	egglapras	1
21	SuperPooch06	1
21	Snowflowe	1
21	_Boipl_	1
21	KeruNatsema	1
21	SingedBread	1
21	Enderslayerxz3	1
