rank	username	minecraft:used/minecraft:granite_wall
1	weabis	2297
2	TheShyPig	1092
3	Kubelz	711
4	Mattesco	639
5	Buuck_	425
6	milltesco	330
7	TheSecondLord	263
8	joethahobo	255
9	radioactv_jelly	192
10	LuvLuvLove	190
11	Fuhrer_Teemo	168
12	beeperbeeper5	165
13	CoffeeNoir	144
13	Meatlaugh	144
15	Mr_Byzantine	131
16	Mahoose	102
17	craaaash	100
18	BobDeBouwer1337	96
19	Enderxz3	86
20	Yamdalorian	55
21	HUNTERmaun	52
21	Kowcio_	52
23	Snowflowe	49
24	Felenov	45
24	FreeMoCo2009	45
26	DemTechAlpha	43
27	HellsSponge	42
28	SolarKar	41
29	ConnorDanky_	26
30	AuroraValkyrie	24
30	Lord_Jord	24
32	Maenara	23
32	AspenLightVT	23
34	Doom_melon	22
35	Optiprimus	21
35	Legendosh	21
37	Onennon	16
38	AlphaWolfPlaysMC	14
38	Photosynthesis_s	14
40	Stiar	12
40	Gzrdy	12
40	Manaateee	12
40	pixelviolin	12
40	Nicserso	12
45	TAKrules	10
46	Werbe	9
47	Merv__	8
48	SprinklerMan	7
48	561cool	7
50	MunkaKris	6
50	Frozil20	6
50	eitanzaki	6
50	titanlax	6
50	Hoid_the_Roamer	6
50	cedric72	6
50	PlasticOtari	6
57	500am	5
57	Shogunite	5
59	Karetoko	4
59	Jackattack53	4
59	Jekyll	4
59	jewbacaman	4
63	Ssor69	2
63	Di_infiri	2
63	DarlaMeow	2
63	Steelynan	2
67	MattieHD	1
67	thescout7	1
67	drunkeeez	1
67	bl1ss0	1
67	killmeiamtraitor	1
67	cuddlyMonster	1
67	Spacewardharpy7	1
67	EcksD	1
