rank	username	minecraft:used/minecraft:mangrove_roots
1	Manaateee	720
2	AdmiralSmoke	536
3	Touched_Bread	475
4	k_ce	449
5	Mr_Byzantine	423
6	Mattesco	332
7	luseis	274
8	pixelviolin	252
9	pintsizedrogue	225
10	Mahoose	142
11	MineMaster0012	122
12	Hyp3rion_	102
13	Jackattack53	101
14	j5ylim	70
15	DinoDoctor_	54
16	Druid95	53
17	Smashic	43
18	MadmanRaven	33
19	Enderxz3	27
20	xxPipperDipperxx	20
21	Hermanni__	17
22	Da_Boss_Rani	14
22	EveryonesUncle	14
24	jessewegottacook	13
24	corvidpartyfor6	13
26	Sorry_Arey	12
26	UCP_TheKingK	12
28	Marbz_	10
29	00000000-0000-0000-0009-01fc3bb26159	9
30	mihimihimihi	8
31	SteveCraftBlocks	6
32	T045RTY	5
32	beeperbeeper5	5
32	TheSecondLord	5
32	SpacesickPrism	5
36	SmashingPump	4
36	CaracolCxnt	4
36	Steelynan	4
39	Pofen	3
39	bearlystraight	3
39	Segotep999	3
39	PlasticOtari	3
43	Huwulling	2
43	Lez_	2
43	Crowman1	2
43	Pineapplesugr	2
43	thebaddruid	2
43	GooseWithin	2
43	Kowcio_	2
50	CLG_Kata	1
50	TheDankPlatypus	1
50	Rebytre	1
50	oscminus	1
50	AlexxO_o	1
50	LeonelSalamanca	1
50	Fuad_R	1
50	ItsDeltaMC	1
50	Soplight	1
50	Nicserso	1
50	Jimb0nat0r	1
