rank	username	minecraft:used/minecraft:cobweb
1	joethahobo	3924
2	Rumpletaezer	1468
3	YungMaki	1316
4	Mattesco	849
5	beeperbeeper5	753
6	thewindmillman	468
7	Werbe	454
8	pintsizedrogue	430
9	ROY4LE	264
10	TheShyPig	263
11	500am	206
12	Jimb0nat0r	167
13	Historical_Sand	160
14	Kowcio_	159
15	TheSecondLord	142
16	Blackberry1310	132
17	Arceus1975	130
18	AdmiralSmoke	125
19	PlasticOtari	117
20	Manaateee	110
21	_Dean_123	105
22	El_Jalapeno	99
23	gcaisawesome	95
24	burbankbuilder28	91
25	Soplight	84
26	Enderxz3	80
27	Lord_Jord	75
28	ECstardust	70
29	xzvu	69
30	Rebytre	64
31	djancak	62
32	Mr_Byzantine	61
33	Racengan	54
34	Nicserso	49
35	FreakGenius	47
35	MelodyGaysharks	47
37	lillips	42
38	Lez_	40
39	Groundler	38
40	HellsSponge	37
41	kekhon	36
42	Cryptacity	34
42	noam464	34
42	SammiWolfGirl	34
45	Huwulling	33
45	Luminad3	33
47	luseis	32
48	MinttyFressh	31
49	eitanzaki	30
49	ConnorDanky_	30
51	teslawolf38	28
51	M_Patata	28
53	ApophisNova	27
53	MyNamaSheff	27
55	fr0stss	26
55	Shogunite	26
55	Vicemaniac	26
58	mihimihimihi	23
59	LeonelSalamanca	22
60	NomadicRobin_	21
61	EcksD	20
62	Merv__	19
62	imcombxt	19
64	T045RTY	18
65	MattieHD	17
66	fr_ser	16
66	Di_infiri	16
66	epiksk8erduck	16
69	Steelynan	15
69	CattSoup	15
71	q_wq	14
71	Jackattack53	14
71	Akoot_	14
71	lordpipe	14
71	CalebDHawk	14
76	Groovy_MoonBird	13
76	Bandito_Roamer	13
76	Crowman1	13
76	Ecplosive	13
76	lcvezra	13
81	Spacewardharpy7	12
81	Powowowow	12
83	Frozil20	11
83	jushykins	11
83	Hyp3rion_	11
86	rarrq	10
86	MustardSquid	10
88	RoskobiOne	9
88	oscminus	9
88	stellarjay	9
91	_Virify_	8
91	MyNameIsJobo	8
91	Snowflowe	8
91	ElectricDragon81	8
91	Hermanni__	8
96	marumochis	7
96	pixelviolin	7
98	RebelAndroid	6
98	bloodbiter	6
98	wezzzi	6
101	_Huge_Male_	5
101	m_be9	5
101	thatbeanyboi	5
101	claivin	5
101	LordSpeed37	5
106	hollowww	4
106	12Magner05	4
106	_Boipl_	4
106	Deathkob	4
106	monky_irl	4
106	UCP_TheKingK	4
112	Marbz_	3
112	DemTechAlpha	3
112	_i_ERROR_i_	3
112	Glumb0	3
116	jessewegottacook	2
116	Smashic	2
116	RobotMinion101	2
116	theofiel	2
116	Maenara	2
116	MovingFish7	2
116	xolstoi	2
116	00000000-0000-0000-0009-01ff0c3e5e4f	2
124	Hyugo	1
124	Raltemoxitonica	1
124	hanaryheatwave	1
124	JoeSaysBingBong	1
124	Blu3beast	1
124	Kura2218	1
