rank	username	minecraft:used/minecraft:golden_carrot
1	Hyp3rion_	9963
2	Di_infiri	8569
3	500am	5582
4	YungMaki	5515
5	Blaiku	5339
6	Fullut	4773
7	thescout7	4742
8	Smoke____	4315
9	Eraxa	4246
10	Lord_Jord	3987
11	Hermanni__	3909
12	pintsizedrogue	3545
13	m_be9	3508
14	jnp_gaming	3408
15	EcksD	3113
16	Kakolbus	2712
17	rarrq	2676
18	Sral7	2369
19	Mahoose	2312
20	eitanzaki	2308
21	Groundler	2164
22	Spenduh	2128
23	NomadicRobin_	2120
24	Frozil12	2088
25	mwrty	1961
26	kekhon	1884
27	MightyWertu	1874
28	Onennon	1844
29	Kowcio_	1742
30	r123moore	1716
31	_Virify_	1579
32	Marbz_	1540
33	oxfordschool	1526
34	PlasticOtari	1440
35	Snowflowe	1414
36	beeperbeeper5	1400
37	Skippeh	1392
38	diamondgolem35	1358
39	PhantomsGhost_	1335
40	MovingFish7	1300
41	NameGenerat0r	1296
42	ApophisNova	1268
43	MyNamaSheff	1266
44	Cowison	1203
45	RebelAndroid	1198
46	lordpipe	1165
47	claivin	1125
48	_stets	1115
49	set67	1113
50	Dogcorn69420	1096
51	Merv__	1046
52	T045RTY	1034
53	Drlzyy	1029
54	Segotep999	956
55	PigDab	952
56	Sky_light_KING	950
57	FishyBoy3811	927
58	noam464	924
59	Racengan	910
60	PortlyPete69	891
61	gabriels543	822
62	pixelviolin	819
63	Jiminie	812
63	stahouo	812
65	jcool7	776
65	alderban107	776
67	Historical_Sand	771
68	Soplight	717
69	Nicserso	706
70	lillips	686
71	mariominejedi	668
72	Jackattack53	645
73	Hisiste	644
74	Chromary	634
75	burbankbuilder28	624
76	Akoot_	601
77	_NieToksikpl_	588
77	Blackberry1310	588
79	TheEnderman548	568
80	BumbleBeever	563
81	kinas45y5	549
82	Hpdinosaur	526
83	Cocoamallows	518
84	SammiWolfGirl	506
85	gcaisawesome	503
86	Kyrum2169	499
87	TheSecondLord	498
88	sebastiensaborio	465
89	TheDankPlatypus	456
90	ElectricDragon81	446
91	SlayerCrypto	440
92	Leyna3	430
93	KingMatthew506	425
94	M_Patata	414
94	MasterNueve	414
96	Euclidoris	406
97	fred870d	396
98	fluddd	387
99	WET_WET_WET	385
100	Megarboh	382
100	__tomato	382
102	The_slideV3	364
103	fffMike	359
104	Cryptacity	354
105	LexMakesHistory	350
106	SvenskaHugo	348
107	SquadMonster	347
108	Sabby65	340
109	titanlax	337
110	GlitchyPlate810	316
111	egglapras	310
112	brofrickcheaters	305
113	_Nuf	294
113	DarlaMeow	294
115	masskedman	283
116	Barlycorn	280
117	ImpavidArcher	279
118	Corbsman	277
119	AltnumberF4	268
120	jimintyy	267
120	Deathkob	267
122	Spacewardharpy7	262
123	_8man	255
123	DeGodz4life	255
125	MunkaKris	252
126	FirsTimeGamingTV	247
127	CyrusIsTired	245
128	fkGrim	243
129	diggydog67	235
130	Incinere	225
131	Enderslayerxz3	224
132	G1ldor	222
133	Rasmanden	220
133	laron58	220
135	Kkanot	219
136	yulgur1	218
137	Fizznut909	212
138	gaziter10	211
139	Miko_Fullbuster	210
140	Sheldor097	209
141	Werbe	199
142	chipklip	197
143	_TCARREIRA_	196
144	SkateboardR6	194
145	Swexti	189
145	GoofyBread	189
147	SteveWithClout	188
148	DScatgirls	186
149	fw3xywashere	184
150	AuroraValkyrie	183
151	501g	182
152	emrekn	180
153	sxc_	179
154	Soap_Bender	176
155	TechnoNinja64	175
156	_3Stump_	173
157	Vizzoid	172
157	obzii	172
159	IdeallyGrey	168
160	Kynigito	165
161	XxCookiequeenxX	162
162	Xalithia	161
163	Karetoko	160
164	ShedJr_	156
165	12Magner05	153
166	TheOuterCore	147
167	Dan_Scha	144
167	Vorlice	144
169	Jovaphobic	140
169	Gmoney390	140
169	Blu3beast	140
172	FishisTTV	139
173	Inbefour	137
174	TheThomas69	128
174	Flapjacker687	128
174	Scathra	128
177	IvarEXE	126
178	Ozixar	118
178	Noah_Bez	118
180	2blox	117
181	GLLogan2	115
181	LAVA129	115
181	UltraZombie	115
184	Kamflame10	112
184	Weepingbiel	112
186	drompje	109
186	SpouHn	109
188	Ezekson	107
189	_Boipl_	106
189	MyNameIsDakar	106
191	strongman951753	105
191	hm947	105
193	IAmTheWalrus910	103
193	Quotary	103
195	CoffeeNoir	102
195	RodSerlingCringe	102
195	Kubeusz2010	102
198	jushykins	101
198	Lor1113	101
198	Dusk_95	101
198	Smaldo	101
202	Masssonnn	100
203	I_Am_Mushkin	98
204	Natty	97
205	heckface	96
205	shyshyannne	96
207	Dr0xzy	94
208	JEWISHBadenBeele	92
208	WyngGoy	92
210	ColeSnyder	91
211	MSK__	90
211	fxiryglitch	90
213	ogoa	88
213	EcksDofficial	88
215	Zythose	86
215	NoChumpChange	86
215	MakeHistory157	86
218	Nostrom	85
218	Lutres_Torane	85
220	Nesquiczek	82
221	AssFullaCum	81
222	Dedalus36	77
222	RadarHz	77
224	Delta_Balaur	73
225	HyperCave	69
225	EtherealEspresso	69
227	Arceus1975	68
228	Ssor69	67
228	WarMachina	67
230	KG1999	66
231	NNikitas	65
231	WYFYoyo	65
233	Louiis123	64
233	q_wq	64
233	Flores991	64
233	Kokeech	64
233	EfficientC52	64
238	Zedducius	63
238	Truckoss	63
238	Nagasaki_Riku	63
241	fr0stss	62
242	master9067	61
243	XboxPanda	60
243	MrMonster61	60
245	Inchef	59
245	Huic_ostiarius	59
247	SSytex_X	58
248	sammidk	56
249	the_russell1611	53
250	xyct	52
250	KarlKaek	52
250	orxngejuice	52
250	561cool	52
254	yatsuta	50
255	SingedBread	49
256	BodaciousCake	48
257	Groovy_MoonBird	47
257	PeteO1995	47
259	acowxd	46
259	pr33tu	46
259	Roosje69	46
259	DarkS0L	46
263	proxivitoid	45
264	ChillenChiggen	44
264	sp00ky_ghost977	44
264	Legendosh	44
267	Diavri	43
267	_Ruzeeq_	43
269	_Dean_123	42
269	Hiryu27	42
269	tyraxxx	42
269	jinklenuttz	42
269	CalebDHawk	42
274	RoskobiOne	41
274	error10101	41
274	valkam13	41
274	MineMaster0012	41
278	LittleIan365	39
278	DTwenty	39
280	FlirtingWithBoys	38
281	Toriankel	37
282	Gary_	36
283	zylanzagreat	35
283	Prayingninja	35
285	GOOBERGABE04	34
285	Jordan_R	34
287	soundad	33
287	drumine	33
289	SteveCraftBlocks	32
289	SellyZ	32
289	Rocco_Lane	32
289	rotten_mango	32
293	JingleLizi	31
293	fr_ser	31
293	Zoeyfortnite	31
296	SDMNAEK	30
296	xxPipperDipperxx	30
296	Seindi	30
299	rats_life	29
299	ToastedGamingYT	29
