rank	username	minecraft:used/minecraft:comparator
1	noam464	6675
2	Di_infiri	3982
3	Spacewardharpy7	2538
4	Blaiku	2141
5	thescout7	1906
6	eitanzaki	1515
7	HellsSponge	1412
8	thewindmillman	1291
9	Smoke____	448
10	Soplight	432
11	Werbe	424
12	Freak_Genius	398
13	Hyp3rion_	373
14	m_be9	309
15	PigDab	301
16	Marbz_	298
17	Inbefour	293
18	MightyWertu	284
19	Jackattack53	275
20	jnp_gaming	263
21	ProfessorBee	230
22	Ezekson	224
23	ssleepless	223
24	TechnoNinja64	215
25	_Nuf	211
25	Hisiste	211
27	fffMike	209
28	Awyrlas	188
29	Fullut	184
30	Zythose	181
31	MangoTheFish	180
32	MyNameIsJobo	178
33	sp00ky_ghost977	162
34	Arceus1975	161
35	beeperbeeper5	155
36	Groundler	144
36	YungMaki	144
38	Hiryu27	142
39	EcksD	139
40	TheSeismicDuck	129
41	Eczbek	124
42	12Magner05	123
43	r123moore	117
44	EMC_	116
45	Kakolbus	115
45	Deathkob	115
47	Enderslayerxz3	106
48	PhantomsGhost_	104
49	Frozil12	97
50	El_Jalapeno	95
50	WyngGoy	95
52	Fildyr	92
53	Barlycorn	87
54	Snowflowe	84
55	KG1999	83
56	fluddd	81
57	Sral7	77
58	obzii	76
59	Historical_Sand	75
60	T045RTY	68
61	Soap_Bender	66
62	Zoeyfortnite	64
63	BumbleBeever	62
64	DanTheBuilderino	61
65	Rumpletaezer	60
65	BronkerBrum	60
67	_Virify_	59
68	07shiny	58
69	Paintz	57
69	Quotary	57
71	Darkgon	56
72	Spenduh	53
73	Covalents	50
73	Lord_Jord	50
75	Dedalus36	49
76	ImpavidArcher	45
76	GravitySaint	45
78	TheThomas69	42
79	MattieHD	41
79	egglapras	41
79	vandmanden	41
82	Merv__	39
82	SteveCraftBlocks	39
84	M_Patata	38
85	Swexti	36
85	MasterNueve	36
85	PortlyPete69	36
85	oxfordschool	36
89	Bumpy419	35
90	Blackberry1310	34
90	kinas45y5	34
92	RebelAndroid	33
92	Leyna3	33
94	SlayerCrypto	32
94	FishyBoy3811	32
94	Quincannon	32
94	MilleGrug	32
98	The_slideV3	31
99	Steelynan	29
100	gcaisawesome	28
101	SvenskaHugo	26
101	yatsuta	26
103	HesDemonPants	25
104	Rich_Kat	23
104	Sky_light_KING	23
104	Winston_Ingram	23
107	masskedman	22
108	bloodbiter	21
108	set67	21
108	eiC_	21
108	lordpipe	21
112	Akoot_	20
112	pixelviolin	20
114	CoffeeNoir	19
114	Hoid_the_Roamer	19
114	Donutt	19
114	Skylord_Luke	19
114	Warlord324	19
114	anbbang	19
120	Onennon	18
120	HolyVenom	18
120	audiocracked	18
120	claivin	18
120	ayamefag	18
125	Prodiginus	17
125	slkiey	17
125	TheShyPig	17
128	pintsizedrogue	16
128	_Bguette_	16
130	Xclax101	15
131	diamondgolem35	14
