rank	username	minecraft:used/minecraft:blue_terracotta
1	YungMaki	18254
2	ApophisNova	17475
2	MyNamaSheff	17475
4	Rumpletaezer	7993
5	kekhon	4958
6	Werbe	2351
6	AssEatrAndLicker	2351
8	AltnumberF4	1937
9	thewindmillman	1895
10	nocturne78	1867
11	_Nuf	1694
12	noam464	1526
13	EcksDofficial	1466
14	joethahobo	1408
15	Jovaphobic	1319
16	NameGenerat0r	1242
17	Sral7	722
18	EveryonesUncle	713
19	TheSecondLord	701
20	Merv__	613
21	xxPipperDipperxx	565
22	Frozil12	530
23	mwrty	510
24	Notta	469
25	TheShyPig	456
26	SSytex_X	441
27	Shogunite	433
28	DarlaMeow	423
29	rarrq	413
30	MightyWertu	405
31	Parcc	373
32	AuroraValkyrie	352
33	sebastiensaborio	325
34	KarlKaek	308
35	Vellu21	280
36	Blamphe	277
37	jcool7	239
38	mariominejedi	237
39	Blackberry1310	194
40	Hyp3rion_	186
41	Hpdinosaur	184
42	_Karmaa	183
43	Soplight	174
44	Deathkob	170
45	Kakolbus	164
46	WyngGoy	156
47	ooga47	144
48	oxfordschool	126
49	Legendosh	121
50	Blu3beast	109
51	theonlymagikarp	99
52	Invisie	81
53	Groovy_MoonBird	80
54	Awyrlas	76
55	MattieHD	73
56	MunkaKris	68
57	lordpipe	62
58	Spacewardharpy7	61
59	MakeHistory157	58
59	The_SlideV5	58
61	Chrisdeadeye	49
62	MovingFish7	47
63	Barlycorn	40
64	Jiminbub	33
65	TechnoNinja64	30
66	Diavri	26
67	SellyZ	24
68	Kouridragon	20
69	Akoot_	17
69	_Bguette_	17
71	_stets	16
72	NNikitas	15
72	Steven1282598	15
74	pintsizedrogue	14
75	Kijiki	12
76	Myszoaz	11
77	Di_infiri	10
77	Jackattack53	10
77	Inbefour	10
77	XxCookiequeenxX	10
81	6king6colt6	9
82	H72l9w	8
83	mobunni	7
83	EcksD	7
85	impossibleteapot	6
86	Yatitay	5
86	BodaciousCake	5
86	Arceus1975	5
89	EMC_	4
89	beeperbeeper5	4
89	Ezekson	4
89	561cool	4
93	Lepthymo	3
93	AmbroseForLife	3
93	WET_WET_WET	3
93	Bumpy419	3
93	claivin	3
93	yatsuta	3
93	Skippeh	3
93	Quotary	3
93	Smoke____	3
102	Bandito_Roamer	2
102	YungJakobo	2
102	m_be9	2
102	ThePoliteG	2
102	Snowflowe	2
102	HAIRYCLOUD626	2
102	chipklip	2
102	Freak_Genius	2
102	sp00ky_ghost977	2
102	pixelviolin	2
112	Drlzyy	1
112	Wolf_Mauler_73	1
112	TheMilkerOfCats	1
112	eitanzaki	1
112	Natty	1
112	SpaceGrenadier	1
112	Frxnkz	1
112	CyrusIsTired	1
112	UncreativeArtist	1
112	thescout7	1
112	gcaisawesome	1
112	SuperPooch06	1
112	Misty_Breeze	1
112	Hiryu27	1
112	Chuvacevedo	1
112	sxc_	1
112	Syropatathe	1
112	wateo	1
112	Meatlaugh	1
112	Xclax101	1
112	IdeallyGrey	1
112	lcvezra	1
112	MilleGrug	1
112	TheOuterCore	1
112	Enderslayerxz3	1
112	diggydog67	1
