rank	username	minecraft:used/minecraft:purple_stained_glass
1	Krowuss	47290
2	Yamdalorian	22155
3	Hyp3rion_	6448
4	beeperbeeper5	5007
5	Snowflowe	4091
6	TheSecondLord	1835
7	YungMaki	1513
8	Alteriity	1466
9	Lez_	1428
10	hanaryheatwave	1366
11	Jackattack53	1293
12	Manaateee	981
13	TheShyPig	869
14	NatalieTW	805
15	lordpipe	743
16	XboxPanda	732
17	txxskx	701
18	TheEnderMan548	601
19	Di_infiri	563
20	ROY4LE	541
21	HellsSponge	419
22	thewindmillman	397
23	jnp_gaming	373
24	m_be9	326
25	hermmm_	304
26	Inchef	273
27	AltnumberF4	232
28	EcksD	220
29	noam464	197
30	XxCookiequeenxX	179
31	Kowcio_	171
32	mwrty	167
33	Sleek_Storm_721	139
34	00000000-0000-0000-0009-01ff0c3e5e4f	134
35	Blaiku	133
36	joethahobo	125
36	ougstur	125
38	MakeHistory157	93
38	stavgod	93
40	Mahoose	84
40	PaperCanvas	84
42	heckface	77
43	VentiHilton	73
44	Soplight	71
45	Spacewardharpy7	69
46	tobinwilliams	62
47	Jovaphobic	59
48	Touched_Bread	56
49	Merv__	48
50	pintsizedrogue	37
50	Inbefour	37
52	SmashingPump	36
53	titanlax	35
54	Rumpletaezer	34
55	AlexxO_o	31
56	Powowowow	29
57	Fullut	27
58	Groundler	24
59	SaucyDark	18
59	Jimb0nat0r	18
61	censorsheep	16
62	Galactic_Badger	15
62	Sharkbyte0	15
64	lunkuku	13
65	Steelynan	12
66	AuroraValkyrie	10
66	SeverianOfUrth	10
66	Werbe	10
66	Ezekson	10
70	xxPipperDipperxx	8
70	Boipl	8
70	Maenara	8
73	oscminus	7
73	KingMatthew506	7
75	Notta	6
75	_i_ERROR_i_	6
75	Quotary	6
78	_Nuf	5
78	Jiminbub	5
78	luseis	5
78	LexMakesHistory	5
78	xzvu	5
83	CLG_Kata	4
83	IronArshXS	4
83	kekhon	4
83	AspenLightVT	4
83	Shogunite	4
83	claivin	4
83	blackeemperor	4
83	MightyWertu	4
83	mihimihimihi	4
83	Cocoamallows	4
83	Enderxz3	4
94	6king6colt6	3
94	surfinggiraffejp	3
94	MAns_44	3
94	__tomato	3
94	Smaldo	3
94	TechnoNinja64	3
100	H0UNDFRMH3LL	2
100	CloroxBleach385	2
100	BPTY4618	2
100	ColeSnyder	2
100	eitanzaki	2
100	Huwulling	2
100	MattieHD	2
100	corvidpartyfor6	2
100	500am	2
100	emreknugrlu	2
100	pretty_pink_reno	2
100	fluddd	2
100	Racengan	2
100	_Meow_Mix	2
100	pixelviolin	2
100	jcool7	2
116	Groovy_MoonBird	1
116	Apollo_993	1
116	PazinGaming	1
116	powercas_gamer	1
116	Hpdinosaur	1
116	Incinere	1
116	MoistMicrowave	1
116	Vizzoid	1
116	BobDeBouwer1337	1
116	Secret_Canary	1
116	_Dean_123	1
116	Smashic	1
116	yheece	1
116	RefluxRatio	1
116	King_Pancake1	1
116	Rocco_Lane	1
116	RobotMinion101	1
116	Onennon	1
116	HyperCave	1
116	Akoot_	1
116	FreakGenius	1
116	underscore_2	1
116	Fizznut909	1
116	PortlyPete69	1
116	Dogcorn69420	1
116	MilleGrug	1
116	UrbanPlanningEx	1
116	PlasticOtari	1
116	skitzxo	1
