rank	username	minecraft:used/minecraft:jungle_stairs
1	beeperbeeper5	1227
2	kinas45y5	1149
3	BronkerBrum	709
4	cedric72	503
5	Factoroni	486
6	EveryonesUncle	478
7	Lord_Jord	453
8	titanlax	424
9	Steelynan	411
10	Kukkelikuk	334
11	joethahobo	260
12	Inbefour	241
13	Freak_Genius	238
14	Enderslayerxz3	219
15	Stiar	200
16	SvenskaHugo	191
17	CookTheChef3	182
18	Winklepicker279	149
19	Shogunite	147
20	Akoot_	117
21	xxPipperDipperxx	108
22	Ecplosive	107
23	Merv__	96
23	Onennon	96
25	Windo_licker	95
26	Smoke____	91
27	ShedJr_	89
28	SaucyDark	88
29	Soplight	87
30	PigDab	85
31	Prodiginus	79
32	MattieHD	77
33	eitanzaki	76
34	oxfordschool	75
35	thescout7	72
36	Deathkob	70
36	tsitrawhy	70
38	500am	58
38	TheShyPig	58
40	Blackberry1310	55
41	Airem_Core	51
42	Groovy_MoonBird	49
43	Inchef	48
44	DAD_1996	46
44	The_slideV3	46
46	Hyp3rion_	43
47	Racengan	42
48	soundad	39
48	Toiton	39
50	jnp_gaming	38
51	LexMakesHistory	37
52	CryoInferno_	36
52	kekhon	36
54	TechnoNinja64	35
55	07shiny	33
56	KASAN420	30
57	rarrq	26
58	MyNameIsJobo	24
59	the_fireminer	23
59	OfficerAnvil	23
61	Bazongoman	21
62	chrolus	19
62	ooga47	19
62	Toriankel	19
62	PlasticOtari	19
66	Mahoose	18
66	Lez_	18
68	WET_WET_WET	17
68	SammiWolfGirl	17
70	thewindmillman	16
70	MineMaster0012	16
72	coobert42	14
73	PegLegPete93	13
74	SvenskaAlvar	12
75	bloodbiter	11
75	yulgur1	11
77	himak1	10
78	TheSecondLord	9
78	Covalents	9
80	Bandito_Roamer	8
80	PhantomsGhost_	8
80	CoffeeNoir	8
80	Kamflame10	8
80	loveseeker	8
80	FlashMigma	8
80	Eraxa	8
87	LotusProject	7
87	RobotMinion101	7
89	T045RTY	6
89	Swexti	6
91	Maenara	5
91	1442	5
93	jessemgaming	4
93	Fullut	4
93	natajimi	4
93	Quaintster	4
93	RadarHz	4
98	Ssor69	3
98	intropass	3
100	teslawolf38	2
100	Incinere	2
100	Di_infiri	2
100	ese_wn_po	2
100	lillips	2
100	HellsSponge	2
100	MovingFish7	2
100	Nekomin0	2
100	Kferno	2
100	Rainaldus	2
110	pintsizedrogue	1
110	FirsTimeGamingTV	1
110	noam464	1
110	Zythose	1
110	_Boipl_	1
110	BlossomOwO	1
110	Aangezet	1
110	NomadicRobin_	1
110	Spacewardharpy7	1
110	Kowcio_	1
110	YungMaki	1
