rank	username	minecraft:used/minecraft:oak_sapling
1	Spacewardharpy7	22319
2	Hyp3rion_	19210
3	noam464	10180
4	Blackberry1310	7065
5	Di_infiri	7042
6	thescout7	6875
7	Smoke____	4307
8	HesDemonPants	3454
9	eitanzaki	3372
10	TheShyPig	2226
11	_Virify_	1891
12	MightyWertu	1816
13	Legendosh	1628
14	El_Jalapeno	1238
15	Dogcorn69420	1102
16	m_be9	1091
17	Bumpy419	1044
18	Snowflowe	1029
19	thewindmillman	1005
20	Onennon	979
21	Freak_Genius	936
22	rarrq	928
23	MyNameIsJobo	870
24	TheThomas69	812
25	Winklepicker279	735
26	2Stout	731
27	beeperbeeper5	705
28	Hisiste	613
29	PhantomsGhost_	609
30	_Karmaa	596
31	CharlieButt	586
32	Malorn_Aetherius	544
33	eiC_	541
34	Kouridragon	532
35	Mahoose	525
36	gcaisawesome	524
37	Mr_Byzantine	517
38	PeteO1995	516
39	__tomato	514
40	Werbe	503
40	AssEatrAndLicker	503
42	Hermanni__	502
43	fkGrim	460
44	KingMatthew506	448
45	LordSpeed37	427
46	PortlyPete69	419
47	PigDab	414
48	Merv__	403
49	ApophisNova	402
49	MyNamaSheff	402
51	Skylord_Luke	400
52	cedric72	392
53	TheFlfthHorseman	389
54	bloodbiter	384
55	anbbang	382
56	Miko_Fullbuster	381
57	Akoot_	378
58	Blaiku	371
59	EcksD	367
60	TechnoNinja64	363
61	lordpipe	360
62	Marbz_	354
63	BumbleBeever	352
64	07shiny	340
65	Lord_Jord	333
65	Xclax101	333
67	youhjjhhhjj	327
68	Darkgon	321
69	Ssor69	314
70	set67	312
70	Njensen7	312
72	ori0le	305
73	RebelAndroid	303
74	burbankbuilder28	291
75	HellsSponge	290
76	ProfessorBee	284
77	Warlord324	278
78	Fullut	272
79	Invisie	265
80	Zaridey	249
81	Vizzoid	243
82	masskedman	231
82	Groundler	231
82	ReyTheLegend	231
82	sebastiensaborio	231
86	Historical_Sand	226
87	Rumpletaezer	223
88	markaus77	221
89	_Nuf	214
90	CoryJJ	212
91	Meatlaugh	207
92	WET_WET_WET	205
93	Ezekson	201
94	Matemaks2137	194
94	fr0stss	194
94	Leyna3	194
97	ooga47	192
98	CarltheCuck	189
99	pintsizedrogue	187
100	Jovaphobic	184
101	Drewen24	183
102	IWorkAtIkea	182
102	Kyrum2169	182
104	Kijiki	181
105	jacxhadow	179
106	sp00ky_ghost977	168
107	Zythose	167
108	SlayerCrypto	166
109	xxPipperDipperxx	165
109	hcb238	165
111	ssleepless	164
112	kekhon	163
113	Sral7	162
114	MixerDixer	161
115	titanlax	155
116	ewsophie	153
117	ThePoliteG	150
117	ehunt54	150
117	Sheldor097	150
120	oxfordschool	148
121	ogoa	147
122	q_wq	145
122	Paleshield	145
124	Soplight	142
125	wezzzi	141
126	SteveCraftBlocks	136
126	GLLogan2	136
126	jaimshae	136
129	PegLegPete93	135
130	Ecplosive	134
131	WarHammer3	133
132	oreee	131
132	Nicky19	131
132	stellarjay	131
135	wiqor	129
136	CarryLine	128
137	Nekomin0	127
138	Kateesaur	126
139	TheSecondLord	124
140	BodaciousCake	122
140	tortillatitan	122
142	KingFaenor	121
143	DanielMmm	119
143	WyngGoy	119
145	YungMaki	118
146	SLASHZEERA	117
147	SuperPooch06	116
147	SSytex_X	116
149	OnlyOfficial	115
150	UncreativeArtist	114
150	RoyalDorrr	114
152	jiggywraps	113
153	crying_wolf_13	112
154	GingerNeutron	109
