rank	username	minecraft:used/minecraft:golden_pickaxe
1	TheSecondLord	1149
2	Erased_Identity	320
3	SuperPooch06	149
4	Chuglyfe	140
5	sea_otter_h	127
6	MinuteMira	115
7	Darkgon	98
8	Kubelz	96
8	Waffleman258	96
10	fanofbands101	94
11	RoskobiOne	71
11	ROY4LE	71
13	Dogbound	64
13	Chuvacevedo	64
13	cedric72	64
13	PartyPhoenix	64
13	Methalox1	64
13	markaus77	64
13	MilleGrug	64
20	oxfordschool	60
20	jnp_gaming	60
22	Toriankel	56
23	Begformurrcy	50
24	MyNameIsJobo	49
25	mwrty	45
26	00000000-0000-0000-0009-01ff0c3e5e4f	43
27	Blaiku	40
28	rarrq	36
29	Khelvoryk	34
30	GingerNeutron	33
31	SugarMyNuggets	32
31	BUBBA_KHAN	32
31	PhantomsGhost_	32
31	error10101	32
31	NinjaKnifeKill	32
31	TheFlfthHorseman	32
31	firesgal3116	32
31	jacxhadow	32
31	VanJosh	32
31	CharlieButt	32
31	yaboo88	32
31	Cattoh	32
31	YahooScreen9000	32
31	Jrose2000	32
31	masskedman	32
31	claivin	32
31	Nycteus_	32
31	freya__b	32
31	Poppy235	32
31	TheALV	32
31	KingMatthew506	32
31	RadarHz	32
31	JasmineGK	32
31	Smoke____	32
55	PigDab	30
56	Tmb1	28
57	Fullut	24
57	mariominejedi	24
59	ormr_kin	21
60	Ostrich5183	19
61	CassiusDio	18
62	eitanzaki	10
62	noam464	10
64	_Virify_	6
64	verynothing	6
66	kekhon	5
66	Qorbyn	5
68	Ezekson	4
69	Humpcat	3
69	r123moore	3
69	Glowhetic	3
72	corvidpartyfor6	2
72	fred870d	2
72	Akoot_	2
75	Awyrlas	1
75	M_Patata	1
75	Avermu	1
