rank	username	minecraft:used/minecraft:birch_fence_gate
1	AdmiralSmoke	6709
2	HellsSponge	4336
3	beeperbeeper5	598
4	TheShyPig	411
5	Alteriity	302
6	Bumpy419	246
7	Lez_	228
8	joethahobo	222
9	Di_infiri	219
10	Soplight	164
11	Spacewardharpy7	142
12	Cocoamallows	92
13	thewindmillman	71
14	thescout7	69
15	pintsizedrogue	65
16	tuckerdoodle	61
17	Mahoose	60
17	Sral7	60
19	noam464	59
20	sp00ky_ghost977	56
21	500am	54
22	Akoot_	53
23	Kowcio_	51
23	Enderxz3	51
25	Legendosh	50
26	IAmTheWalrus910	48
27	lordpipe	45
28	kekhon	43
29	4774	42
30	Mr_Byzantine	39
31	EcksD	38
32	teslawolf38	37
32	luseis	37
32	Steelynan	37
35	eitanzaki	36
36	IamCL4SSY	33
37	07shiny	31
38	YungMaki	30
39	Zielo2017PL	28
40	Arceus1975	27
41	Hyp3rion_	26
41	Fuad_R	26
43	jimintyy	22
43	Stiar	22
43	Onennon	22
43	Quotary	22
47	Bolete	21
47	Ezekson	21
49	Merv__	20
49	burbankbuilder28	20
51	SaucyDark	19
51	mwrty	19
51	Kynigito	19
54	Krasnal1337	18
54	Nicserso	18
56	MAns_44	17
56	mihimihimihi	17
58	Manaateee	16
58	Zoeyfortnite	16
58	diggydog67	16
61	Lord_Jord	15
61	Meatlaugh	15
61	anbbang	15
64	ITDV	14
64	PortlyPete69	14
66	Racengan	13
67	LeeMcGee30	12
68	titanlax	11
68	RoboTramp7865	11
70	Iagoku	10
70	Comma__	10
70	Jackattack53	10
70	Werbe	10
70	jewbacaman	10
70	djancak	10
70	cichy096	10
70	AltnumberF4	10
78	ImpavidArcher	9
78	Ravenbie	9
78	TheDankPlatypus	9
78	LilLizardWizard	9
78	FelixPSY375	9
83	jessewegottacook	8
83	UrbanPlanningEx	8
83	xolstoi	8
86	KarlKaek	7
86	rarrq	7
86	Frxnkz	7
86	legal_tax_evader	7
86	Zythose	7
86	_Cloverbelle_	7
86	Tyrannosplart	7
86	MightyWertu	7
94	Cowison	6
94	HollieDaNugget	6
94	livingdaydreams	6
94	OfficerAnvil	6
98	PizzaJake	5
98	UncreativeArtist	5
98	SirPiccardo	5
101	RebelAndroid	4
101	301851	4
101	eviltunix	4
101	RustyKedel	4
101	SuperPooch06	4
101	epiksk8erduck	4
101	E775	4
101	BumbleBeever	4
101	Warlord324	4
101	CalebDHawk	4
111	I_Am_Mushkin	3
111	Dblikstad	3
111	InfernalMound	3
111	oscminus	3
111	Kryktal	3
111	Blamphe	3
111	claivin	3
111	FreakGenius	3
111	monky_irl	3
111	Hermanni__	3
111	PlasticOtari	3
111	MelodyGaysharks	3
123	Ailmast	2
123	Ryan_GEMS	2
123	Killercatty78	2
123	SoftSix	2
123	NotMeanttoChange	2
123	Giannism	2
123	MyNameIsJobo	2
123	Eczbox	2
123	dendydoom	2
123	F_Uhre	2
123	Mattesco	2
123	PigDab	2
123	Drewen24	2
123	Rasmanden	2
123	Darkgon	2
123	The_Skramz	2
123	SingedBread	2
123	Ma_name_alex	2
123	sleepdrifter_	2
123	brofrickcheaters	2
123	Eczbek	2
144	dopplexd	1
144	ashetrays	1
144	12Magner05	1
144	catandmoose	1
144	ProfessorBee	1
144	excelsionprime	1
144	Motsaro	1
144	LavenderBi1ch	1
144	intropass	1
144	r123moore	1
144	SHAOBADMAN	1
144	ChillenChiggen	1
144	AJplaysMC_	1
144	killmeiamtraitor	1
144	NarwhalTaco	1
144	Btabtab	1
144	lizardfightclub	1
144	Pootis11	1
144	NoChumpChange	1
144	DemTechAlpha	1
144	Shogunite	1
144	ReflexCode	1
144	censorsheep	1
144	Groundler	1
144	radioactv_jelly	1
144	bndo	1
144	JosephCW	1
144	_Tilariel_	1
144	UCP_TheKingK	1
144	ediballbearings	1
144	y0shik	1
144	Kubeusz2010	1
144	Jordan_R	1
