rank	username	minecraft:used/minecraft:brown_carpet
1	doublemaki	8466
2	bigstankyy	5745
3	noam464	4432
4	CattSoup	1982
5	joethahobo	1958
6	heckface	1506
7	LuvLuvLove	1505
8	Quaintster	1408
9	Rumpletaezer	1285
10	EcksD	1204
11	Crowman1	1032
12	craaaash	917
13	kekhon	903
14	Huwulling	760
15	thewindmillman	639
16	Spacewardharpy7	631
17	QuiCreans	590
18	Kowcio_	546
19	ConnorDanky_	513
20	beeperbeeper5	481
21	Lez_	428
22	Mahoose	372
23	Buuck_	326
24	PlzNoBM	246
25	ApophisNova	242
25	MyNamaSheff	242
27	rarrq	221
28	pintsizedrogue	209
29	Merv__	208
29	ClemenPine	208
31	FreakGenius	206
32	CoffeeNoir	202
33	ZoomieZoomie	197
34	OreTheBear	190
35	oreee	188
36	bpmm	182
37	Snowflowe	164
38	mymayowasgone	149
39	cuddlyMonster	137
39	PlasticOtari	137
41	HellsSponge	130
42	Legendosh	123
43	TheSecondLord	115
44	selectrix	112
45	Ryan_GEMS	111
46	Gzrdy	110
47	500am	105
48	Yamdalorian	104
49	bl1ss0	103
50	NomadicRobin_	101
51	Enderxz3	94
52	EMC_	88
53	Niklas20114552	87
53	RebelAndroid	87
55	Di_infiri	85
56	xxPipperDipperxx	81
57	KingMatthew506	78
58	eitanzaki	74
58	Pumpkin_P_Patch	74
60	Shogunite	72
61	Mattesco	71
62	Historical_Sand	66
63	drompje	63
64	_Huge_Male_	58
65	Lord_Jord	57
66	jnp_gaming	55
67	SpaceGrenadier	53
68	Krowuss	52
69	Y_A_N_N_I	50
70	ogoa	49
71	Kronos42	47
72	burbankbuilder28	46
73	Inbefour	44
74	imcombxt	42
75	Blaiku	37
76	BronkerBrum	33
77	Akoot_	32
78	Manaateee	29
79	Onennon	28
79	Wowful	28
81	pixelviolin	27
82	Mr_Byzantine	26
82	CalebDHawk	26
82	TechnoNinja64	26
85	emreknugrlu	24
85	Ezekson	24
87	M_Patata	23
87	MasterNueve	23
89	Blackberry1310	21
90	Skylord_Luke	19
91	_witch_craft_	17
92	SteveCraftBlocks	16
92	Kubeusz2010	16
94	titanlax	15
94	Fullut	15
94	prizm_	15
94	thgrocks	15
94	luseis	15
99	EdGalbraith	14
99	Racengan	14
101	milltesco	13
102	Rebytre	12
102	Cocoamallows	12
104	Hoid_the_Roamer	11
104	FishyBoy3811	11
106	SvenskaHugo	10
107	T045RTY	9
107	Arceus1975	9
107	Deathkob	9
107	hermmm_	9
107	cichy096	9
112	ShedJr_	8
113	foxncat	7
113	ee_echo_oo	7
113	_Mythic____	7
113	2blox_	7
117	MattieHD	6
117	himak1	6
117	The_slideV3	6
120	Tersea_	5
120	Awyrlas	5
120	yheece	5
120	Chromary	5
120	AspenLightVT	5
120	es0th	5
126	PazinGaming	4
126	peach0s	4
126	Cryptacity	4
126	EveryonesUncle	4
126	Avocadogerms	4
126	FishisTTV	4
132	Flegneh	3
132	teslawolf38	3
132	Incinere	3
132	robonya_	3
132	TheWickedBird	3
137	Hysna	2
137	ImpavidArcher	2
137	Hpdinosaur	2
137	IamCL4SSY	2
137	the_russell1611	2
137	Soplight	2
137	jcool7	2
144	CLG_Kata	1
144	I_Am_Mushkin	1
144	Flores991	1
144	Alteriity	1
144	Nach0Bear	1
144	lorpus	1
144	Stay2Blackjesus	1
144	Sqwishy	1
144	cedric72	1
144	TheShyPig	1
144	lordpipe	1
144	aidanwest	1
144	xzvu	1
144	TheBananaKat	1
