rank	username	minecraft:used/minecraft:cactus
1	thewindmillman	2386
2	vandmanden	1505
3	Snowflowe	417
4	Di_infiri	385
5	m_be9	357
6	Ryan_GEMS	289
7	FreakGenius	287
8	YungMaki	285
9	AdmiralSmoke	278
10	Skippeh	275
11	TheShyPig	252
12	Onennon	249
13	Hyp3rion_	219
14	eitanzaki	208
15	beeperbeeper5	198
16	Rumpletaezer	195
17	Nicserso	183
18	joethahobo	181
19	SyntheticSurgeon	177
20	sp00ky_ghost977	171
21	HellsSponge	158
22	Kakolbus	155
23	mwrty	140
24	underscore_2	130
25	Quotary	129
26	Akoot_	126
27	Njensen7	121
28	Steve897	119
29	El_Jalapeno	117
30	Mahoose	115
31	Inconvenionce	113
32	EMC_	111
33	pintsizedrogue	109
34	Inbefour	97
34	Powowowow	97
36	Hermanni__	96
37	Lord_Jord	93
37	SammiWolfGirl	93
39	Killercatty78	91
40	RoskobiOne	89
40	eviltunix	89
42	RatatJuice	87
42	noam464	87
44	MousePlays	83
45	Spacewardharpy7	82
46	Ezekson	81
47	Werbe	76
48	xze1	74
49	StinkyDiplomat	73
50	Fullut	71
50	ReflexCode	71
52	123louis456	69
52	titanlax	69
54	TheEnderMan548	67
54	Enderxz3	67
54	Jimb0nat0r	67
57	masskedman	66
58	Ssor69	64
58	Scathra	64
58	MyNameIsJobo	64
61	Xclax101	62
62	diggydog67	58
63	AlphaWolfPlaysMC	57
64	T045RTY	53
64	Skylord_Luke	53
66	QuiCreans	52
66	__tomato	52
68	Historical_Sand	50
69	CrateOfBoxes	48
69	ApophisNova	48
69	Sheldor097	48
69	MyNamaSheff	48
73	DAD_1996	45
73	PlasticOtari	45
75	set67	44
76	XxCookiequeenxX	43
77	NameGenerat0r	42
78	KingFaenor	41
79	q_wq	40
79	tuckerdoodle	40
79	lordpipe	40
79	MineMaster0012	40
83	Kowcio_	37
84	H72l9w	36
84	Zythose	36
84	oscminus	36
84	claivin	36
88	CoffeeNoir	35
88	Maenara	35
88	Spenduh	35
91	MrExplorer	34
91	Deathkob	34
93	Saucepeh	33
94	Lez_	32
94	Arceus1975	32
94	Veillax135	32
97	IWorkAtIkea	31
97	kekhon	31
97	Segotep999	31
100	Blackberry1310	28
100	mariominejedi	28
100	DTwenty	28
100	Strangemonkey71	28
104	groofles	27
105	livingdaydreams	26
105	Huwulling	26
107	AuroraValkyrie	25
107	SteveCraftBlocks	25
107	JESS_THE_RERE	25
110	DinoDoctor_	24
110	youhjjhhhjj	24
110	The11thDoctor	24
110	PigDab	24
110	halfbakedlasagna	24
115	Fuhrer_Teemo	23
115	rotten_mango	23
115	LordSpeed37	23
115	2blox_	23
119	Resner	22
120	Zaridey	21
120	RefluxRatio	21
120	AnnieBathory	21
120	WyngGoy	21
120	hdtpm	21
120	Soplight	21
120	TechnoNinja64	21
127	Groovy_MoonBird	20
127	Krowuss	20
127	Bumpy419	20
127	ItsAki_	20
127	ConnorDanky_	20
132	ProfessorBee	19
132	DSYisDizzy	19
132	Joestra	19
132	MovingFish7	19
132	KingMatthew506	19
137	Merv__	18
138	F_Uhre	17
138	skrongus	17
140	Incinere	16
140	firesgal3116	16
142	Frozil20	15
142	ImpavidArcher	15
142	Dakar_	15
142	Dreamdbr14	15
146	PhantomBionic	14
146	TheDankPlatypus	14
146	Jackattack53	14
146	thgrocks	14
146	Airem_Core	14
151	oreee	13
151	dopplexd	13
151	Reneedium	13
151	jcool7	13
155	Swexti	12
155	wiqor	12
155	Inchef	12
155	brrh	12
155	ehunt54	12
155	_Bguette_	12
155	Blaiku	12
155	FishisTTV	12
163	xXTheWolfmanXx	11
163	rarrq	11
163	PegLegPete93	11
163	SvenskaSara	11
163	Hisiste	11
163	Kyrum2169	11
169	Euclidoris	10
169	Crowman1	10
169	4774	10
169	natajimi	10
169	Jiminbub	10
169	Optiprimus	10
169	MirielThePastor	10
176	Jorrdi	9
176	ratglock	9
176	Cryptacity	9
176	2Stout	9
176	RobotMinion101	9
181	KarlKaek	8
181	TheMaster972	8
181	Notta	8
181	jacxhadow	8
181	Masssonnn	8
181	Gryglu583	8
181	Racengan	8
181	SingedBread	8
181	IAmTheWalrus910	8
181	TheALV	8
191	PhantomsGhost_	7
191	Pearlplatinum	7
191	ImNotYuqii	7
191	SirUnderpants	7
191	QuakerOatsGod	7
191	TheSecondLord	7
191	GLLogan2	7
191	Orcus113	7
191	luseis	7
191	EngagedGrub41	7
201	Jovaphobic	6
201	Sleek_Storm_721	6
201	ShedJr_	6
201	ITDV	6
201	jushykins	6
201	valiSW	6
201	Karbl	6
201	ProfessorDiaper	6
201	LeeMcGee30	6
201	Iamthejo	6
211	Vizzoid	5
211	Prodiginus	5
211	xxPipperDipperxx	5
