rank	username	minecraft:used/minecraft:brown_banner
1	oxfordschool	79
2	TheShyPig	74
3	kekhon	57
4	Hermanni__	26
5	noam464	25
6	Smashic	22
7	Jiminie	21
8	Ezekson	14
9	Chromary	11
10	500am	10
11	Mr_Byzantine	9
11	Cryptacity	9
11	Blaiku	9
11	Factoroni	9
15	YungMaki	8
16	Akoot_	7
17	Mahoose	4
17	beeperbeeper5	4
17	Dusk_95	4
20	pintsizedrogue	3
20	bloodbiter	3
20	MattieHD	3
20	Fullut	3
20	Shogunite	3
20	Sral7	3
20	JayToe	3
27	RebelAndroid	2
27	rarrq	2
27	corvidpartyfor6	2
27	KeruNatsema	2
31	KomputerDude	1
31	awesomeoneme	1
31	TheSecondLord	1
31	ApophisNova	1
31	Werbe	1
31	Onennon	1
31	claivin	1
31	Xclax101	1
31	pixelviolin	1
31	Kowcio_	1
31	SammiWolfGirl	1
31	MyNamaSheff	1
31	Legendosh	1
