rank	username	minecraft:used/minecraft:warped_stem
1	12Magner05	20427
2	Blaiku	3645
3	Xalithia	3019
4	Apollo_993	2650
5	AdmiralSmoke	2096
6	weabis	1689
7	noam464	1154
8	TheSecondLord	1143
9	SpacesickPrism	965
10	Steelynan	646
11	pintsizedrogue	632
12	TheEnderMan548	610
13	Fuad_R	536
14	StarCookiees_	503
15	kekhon	441
16	Crowman1	423
17	Segotep999	405
18	Optiprimus	404
19	Manaateee	365
20	PlasticOtari	363
21	beeperbeeper5	349
22	Shogunite	341
23	Lez_	333
24	BlancoFlaco	324
24	iSammael	324
26	EveryonesUncle	319
27	Mr_Byzantine	311
28	SuperPooch06	308
29	soundad	286
30	ConnorDanky_	276
31	Legendosh	274
32	joethahobo	253
32	rarrq	253
32	Enderxz3	253
35	Blackberry1310	237
36	Jonafrog99	230
37	HolyVenom	217
38	Ezekson	216
39	luseis	211
40	FreakGenius	191
41	CoffeeNoir	175
42	Lord_Jord	163
42	Nicserso	163
44	thewindmillman	159
45	YungMaki	150
45	EcksD	150
47	Lutres_	147
48	Decaying_Lotus	146
49	pumpfonzo	144
50	eitanzaki	133
51	PigDab	132
52	Alteriity	129
52	lillips	129
54	BobDeBouwer1337	127
55	Dakar_	126
56	lorpus	122
56	Luigipunch989	122
58	Kowcio_	115
59	djancak	114
60	himak1	109
61	Rebytre	99
62	extralargenose	98
63	NomadicRobin_	84
64	jessewegottacook	82
65	Mahoose	76
65	Fullut	76
65	Hermanni__	76
68	Cowison	71
69	Marbz_	70
70	AlexxO_o	67
70	LazySupport00	67
72	set67	66
73	TheALV	64
74	Spacewardharpy7	60
75	mihimihimihi	56
76	Huwulling	55
77	Awyrlas	54
78	MilleGrug	53
79	SammiWolfGirl	52
80	Historical_Sand	45
80	Hoid_the_Roamer	45
82	lunathelemon	44
83	Kakolbus	42
84	breadbowlgamer	39
84	Biites	39
86	Akoot_	38
87	CliffEmAll	35
87	CalebDHawk	35
89	Ryker	34
90	Di_infiri	33
91	_Dean_123	32
92	teslawolf38	31
93	0Vyp_	27
93	brofrickcheaters	27
95	lordpipe	26
96	CarltheCuck	24
97	ITDV	22
97	IgnoredBee	22
97	r123moore	22
97	monky_irl	22
101	gcaisawesome	20
102	500am	19
103	RoskobiOne	16
103	bearlystraight	16
105	XboxPanda	15
106	Arceus1975	14
106	Quotary	14
108	ShedJr_	13
108	TheDankPlatypus	13
108	Hisiste	13
111	Mattesco	12
111	Kubeusz2010	12
113	ZoharGoldMine	11
114	Swexti	10
114	fReE_bAtWiNg	10
114	EngagedGrub41	10
117	_Huge_Male_	9
117	Kubelz	9
117	King_Pancake1	9
117	Kokeech	9
117	pixelviolin	9
122	Hpdinosaur	8
122	HellsSponge	8
122	Soplight	8
122	Jimb0nat0r	8
126	Winklepicker279	7
126	lizardfightclub	7
126	PortlyPete69	7
129	Merv__	6
129	Moofyman	6
131	diamondgolem35	5
131	livingdaydreams	5
133	tramizu	4
133	shadowthemonkey	4
133	Jackattack53	4
133	groofles	4
133	shrimp_flips	4
133	Skippeh	4
133	00000000-0000-0000-0009-01ff0c3e5e4f	4
140	EMC_	3
140	Quinasin	3
140	MightyWertu	3
143	Krasnal1337	2
143	_Razaria	2
143	Mookle96	2
143	Hyp3rion_	2
143	Elastiq	2
148	hm947	1
148	Sleepy_Time_	1
148	xxPipperDipperxx	1
148	hanaryheatwave	1
148	Snowflowe	1
148	DarlaMeow	1
148	Druid95	1
148	Myntsys	1
148	ItsDeltaMC	1
148	calamariclam_I	1
