rank	username	minecraft:used/minecraft:ladder
1	joethahobo	4589
2	HellsSponge	3702
3	beeperbeeper5	3158
4	thewindmillman	1803
5	Smoke____	1642
6	EMC_	943
7	Legendosh	901
8	cedric72	815
9	TheShyPig	800
10	Onennon	678
11	pintsizedrogue	671
12	KarlKaek	658
13	Di_infiri	650
14	Freak_Genius	635
15	Bumpy419	569
16	Skylord_Luke	553
17	YungMaki	549
18	El_Jalapeno	537
19	thescout7	531
20	eviltunix	513
21	Enderslayerxz3	507
22	Blackberry1310	505
23	_Dean_123	496
24	burbankbuilder28	468
25	SvenskaHugo	457
26	Frozil12	449
27	Kakolbus	447
28	Meatlaugh	444
29	xxPipperDipperxx	440
30	selectrix	423
31	Shogunite	412
32	Mahoose	391
33	Paint	372
34	cichy096	371
35	MattieHD	357
36	djancak	356
37	MustaLoordi	353
38	Khelvoryk	351
39	Njensen7	340
40	PlasticOtari	337
41	Merv__	331
41	nut_e	331
43	noam464	329
44	Lukeee33	321
45	teslawolf38	320
46	Comma__	313
47	500am	306
48	TechnoNinja64	301
49	tuckerdoodle	300
49	Maenara	300
51	Steelynan	295
52	BlankityMcBlank	276
53	SaucyDark	273
54	_stets	272
55	Nycteus_	269
56	Groundler	266
57	Fullut	259
58	Cocoamallows	258
59	ToastedGamingYT	254
60	bigstankyy	252
61	Menthas	249
62	kekhon	241
62	Jimi7hits	241
64	TheOnlyRake	237
65	MyNameIsJobo	236
65	PortlyPete69	236
67	Soplight	232
68	m_be9	228
69	EcksDofficial	227
70	_TCARREIRA_	225
71	Lord_Jord	217
72	smogfrog	216
73	sp00ky_ghost977	215
74	Megarboh	213
75	ImpavidArcher	202
76	fffMike	200
77	BodaciousCake	199
78	KingFaenor	198
79	Zythose	195
80	6king6colt6	189
81	fred870d	185
81	lordpipe	185
83	Vorlice	184
83	infiniteQuery	184
85	Groovy_MoonBird	182
86	Rebytre	181
87	SaltineDream	172
87	DAD_1996	172
89	Kubeusz2010	170
90	RobotMinion101	168
90	NomadicRobin_	168
92	Eraxa	166
93	EveryonesUncle	165
94	Xclax101	164
95	Moofyman	163
95	Rainaldus	163
97	InfernalMound	162
98	Dedalus36	161
98	ROY4LE	161
98	Paintz	161
98	Warlord324	161
102	Hermanni__	160
102	oxfordschool	160
104	abramgray	159
104	Inchef	159
104	Logain42	159
107	Laykon	157
108	trexgb	156
109	DanTheBuilderino	155
110	wiqor	153
111	2xil2	152
111	PeteO1995	152
111	Snowflowe	152
111	Barlycorn	152
115	Kubelz	147
116	Hyp3rion_	146
116	WyngGoy	146
118	awesomeoneme	145
118	lcvezra	145
118	athereall	145
118	OfficerAnvil	145
122	Werbe	143
123	Aezekial	142
124	fluddd	141
125	DSYisDizzy	140
125	Gryglu583	140
127	boog4loo	138
128	Hyugo	137
129	Inbefour	133
130	4774	132
130	RodSerlingCringe	132
130	Fuhrer_Teemo	132
133	mwrty	131
134	Akoot_	129
135	rarrq	128
136	Notta	127
137	12Magner05	126
137	_8man	126
137	BlossomOwO	126
140	Ailmast	125
140	Toriankel	125
140	layabout100	125
140	bitsplease	125
144	Z3braYTIL	124
144	BreadBacon	124
146	jjettii	121
146	EtherealSilveon	121
146	jnp_gaming	121
149	Lilinaya17	120
149	Historical_Sand	120
149	set67	120
152	Mookle96	119
152	Cyber_Stealth05	119
152	Kyrum2169	119
155	Wooptey	117
156	Arceus1975	116
156	audiocracked	116
156	markaus77	116
156	alderban107	116
160	CliffEmAll	115
161	Jovaphobic	114
161	q_wq	114
161	LordSpeed37	114
161	Ezekson	114
165	Drlzyy	113
165	SeverianTheLame	113
165	Rumpletaezer	113
165	YoshikageBites	113
169	cytotoxaint	112
170	_Boipl_	110
170	Western_1	110
172	ratglock	109
172	o0z	109
172	John6970	109
175	Mr_Byzantine	108
175	Ssor69	108
175	Zaridey	108
175	Steven1282598	108
175	pixelviolin	108
180	youhjjhhhjj	107
181	loveseeker	106
182	MightyWertu	104
182	Typadopoulos	104
182	Eczbek	104
182	anbbang	104
186	RatatJuice	103
186	gabriels543	103
186	MangoTheFish	103
189	Jij0	101
190	brycepants	100
190	KlausVonStiglitz	100
190	obtusely	100
193	benediktine1	99
193	mawileite	99
195	Blu3beast	97
195	ayamefag	97
197	Factoroni	96
198	SingedBread	95
199	Houstonion	94
199	TheSecondLord	94
199	SteveCraftBlocks	94
199	SlayerCrypto	94
203	JESS_THE_RERE	93
203	claivin	93
205	ApophisNova	92
205	MyNamaSheff	92
207	SammiWolfGirl	91
207	FGamerJ	91
209	eiC_	90
209	floodjon	90
209	yulgur1	90
209	Katthaj	90
213	Tommhh	89
213	TheMaster972	89
213	Chromary	89
213	Deerfoot	89
217	H72l9w	88
217	dendydoom	88
219	CaptainDeadBread	87
219	The_slideV3	87
221	Racengan	86
222	titanlax	85
