rank	username	minecraft:used/minecraft:ladder
1	joethahobo	4589
2	HellsSponge	3702
3	beeperbeeper5	3237
4	thewindmillman	1839
5	Smoke____	1642
6	EMC_	943
7	Legendosh	901
8	cedric72	815
9	TheShyPig	800
10	Onennon	678
11	pintsizedrogue	671
12	KarlKaek	658
13	Di_infiri	650
14	Freak_Genius	635
15	Bumpy419	569
16	Skylord_Luke	553
17	YungMaki	549
18	El_Jalapeno	537
19	thescout7	531
20	eviltunix	513
21	Enderslayerxz3	507
22	Blackberry1310	505
23	_Dean_123	496
24	burbankbuilder28	468
25	SvenskaHugo	457
26	Frozil12	449
27	Kakolbus	447
28	Meatlaugh	444
29	xxPipperDipperxx	440
30	selectrix	423
31	Shogunite	412
32	Mahoose	392
33	Paint	372
34	cichy096	371
35	MattieHD	357
36	djancak	356
37	MustaLoordi	353
38	Khelvoryk	351
38	noam464	351
40	PlasticOtari	341
41	Njensen7	340
42	Merv__	331
42	nut_e	331
44	Lukeee33	321
45	teslawolf38	320
46	Comma__	313
47	500am	306
48	TechnoNinja64	301
49	tuckerdoodle	300
49	Maenara	300
51	Steelynan	295
52	lordpipe	289
53	BlankityMcBlank	276
54	SaucyDark	273
55	_stets	272
56	Nycteus_	269
57	Groundler	266
58	Fullut	259
59	Cocoamallows	258
60	ToastedGamingYT	254
61	bigstankyy	252
62	Menthas	249
63	kekhon	241
63	Jimi7hits	241
65	TheOnlyRake	237
66	MyNameIsJobo	236
66	PortlyPete69	236
68	Soplight	232
69	m_be9	228
70	EcksDofficial	227
71	_TCARREIRA_	225
72	Lord_Jord	217
73	smogfrog	216
74	sp00ky_ghost977	215
75	Megarboh	213
76	ImpavidArcher	202
77	fffMike	200
78	BodaciousCake	199
79	KingFaenor	198
80	Zythose	195
81	6king6colt6	189
82	fred870d	185
83	Vorlice	184
83	infiniteQuery	184
85	Groovy_MoonBird	182
86	Rebytre	181
87	SaltineDream	172
87	DAD_1996	172
89	Kubeusz2010	170
90	RobotMinion101	168
90	NomadicRobin_	168
92	Eraxa	166
93	EveryonesUncle	165
94	Xclax101	164
95	Snowflowe	163
95	Moofyman	163
95	Rainaldus	163
98	InfernalMound	162
99	Dedalus36	161
99	ROY4LE	161
99	Paintz	161
99	Warlord324	161
103	Hermanni__	160
103	oxfordschool	160
105	abramgray	159
105	Inchef	159
105	Logain42	159
108	Laykon	157
109	trexgb	156
110	DanTheBuilderino	155
111	wiqor	153
111	4774	153
113	2xil2	152
113	PeteO1995	152
113	Barlycorn	152
116	Kubelz	147
117	Hyp3rion_	146
117	WyngGoy	146
119	awesomeoneme	145
119	lcvezra	145
119	athereall	145
119	OfficerAnvil	145
123	Werbe	143
124	Aezekial	142
125	fluddd	141
126	DSYisDizzy	140
126	Gryglu583	140
128	boog4loo	138
129	Hyugo	137
130	Inbefour	133
131	RodSerlingCringe	132
131	Fuhrer_Teemo	132
133	mwrty	131
134	Akoot_	129
135	rarrq	128
136	Notta	127
137	Mr_Byzantine	126
137	12Magner05	126
137	_8man	126
137	BlossomOwO	126
141	Ailmast	125
141	Toriankel	125
141	layabout100	125
141	bitsplease	125
145	Z3braYTIL	124
145	BreadBacon	124
147	jjettii	121
147	EtherealSilveon	121
147	jnp_gaming	121
150	Lilinaya17	120
150	Historical_Sand	120
150	SteveCraftBlocks	120
150	set67	120
154	Mookle96	119
154	Cyber_Stealth05	119
154	Kyrum2169	119
157	TheSecondLord	118
158	Wooptey	117
159	Arceus1975	116
159	audiocracked	116
159	markaus77	116
159	alderban107	116
163	CliffEmAll	115
164	Jovaphobic	114
164	q_wq	114
164	LordSpeed37	114
164	Ezekson	114
168	Drlzyy	113
168	SeverianTheLame	113
168	Rumpletaezer	113
168	YoshikageBites	113
172	cytotoxaint	112
173	_Boipl_	110
173	Western_1	110
175	ratglock	109
175	o0z	109
175	John6970	109
178	Ssor69	108
178	Zaridey	108
178	Steven1282598	108
178	pixelviolin	108
182	youhjjhhhjj	107
183	loveseeker	106
184	MightyWertu	104
184	Typadopoulos	104
184	Eczbek	104
184	anbbang	104
188	RatatJuice	103
188	gabriels543	103
188	MangoTheFish	103
191	Jij0	101
192	brycepants	100
192	KlausVonStiglitz	100
192	obtusely	100
195	benediktine1	99
195	mawileite	99
197	Blu3beast	97
197	ayamefag	97
199	Factoroni	96
200	SingedBread	95
201	Houstonion	94
201	SlayerCrypto	94
203	JESS_THE_RERE	93
203	claivin	93
205	ApophisNova	92
205	MyNamaSheff	92
207	SammiWolfGirl	91
207	FGamerJ	91
209	eiC_	90
209	floodjon	90
209	yulgur1	90
209	Katthaj	90
213	Tommhh	89
213	TheMaster972	89
213	Chromary	89
213	Deerfoot	89
217	H72l9w	88
217	dendydoom	88
219	CaptainDeadBread	87
219	The_slideV3	87
221	Racengan	86
222	titanlax	85
