rank	username	minecraft:used/minecraft:decorated_pot
1	Mr_Byzantine	159
2	Merv__	96
3	Pumpkin_P_Patch	55
4	Mattesco	48
5	pintsizedrogue	47
6	Kowcio_	42
7	Enderxz3	40
8	Spaghettatron	38
9	Kakolbus	36
10	Soplight	27
11	KamFurnace	24
12	Secret_Canary	23
13	Werbe	20
13	Jimb0nat0r	20
15	ECstardust	17
16	k_ce	16
16	MyMawgDonaldsGon	16
18	j5ylim	13
18	shineh10	13
18	TheWickedBird	13
21	QuiCreans	12
21	thewindmillman	12
23	oscminus	10
24	acatter	9
24	luseis	9
26	Buuck_	8
26	Vetomo8000	8
28	Lez_	6
28	_witch_craft_	6
28	craaaash	6
28	Jackattack53	6
28	Steelynan	6
33	pixelviolin	5
34	Archsam	4
34	12Magner05	4
34	cutelilreno	4
34	Myntsys	4
38	lorywithay	3
38	Alteriity	3
38	ZaneABrain	3
38	net_flex	3
38	beeperbeeper5	3
38	MattieHD	3
38	bl1ss0	3
38	Moofyman	3
46	CLG_Kata	2
46	Huwulling	2
46	TheSecondLord	2
46	knarian	2
46	Blockbard_	2
46	lordpipe	2
46	FiguraDei	2
46	CacheOut	2
46	Thunder_bird4337	2
46	BubblyOrangutan	2
56	gren_ben	1
56	Tersea_	1
56	noam464	1
56	Hahaa_0	1
56	EveryonesUncle	1
56	IlkeCookes_	1
56	_Mythic____	1
56	FormulaNewt3627	1
56	ConnorDanky_	1
