rank	username	minecraft:used/minecraft:dark_prismarine
1	EcksD	27572
2	Frozil12	8342
3	beeperbeeper5	5151
4	gcaisawesome	4219
5	PigDab	3667
6	Shogunite	3116
7	Marbz_	2247
8	SingedBread	2005
9	EcksDofficial	1968
10	Smoke____	1864
11	Fullut	1778
12	rarrq	1631
13	NameGenerat0r	1359
14	12Magner05	1327
15	joethahobo	1227
16	TheShyPig	1094
17	Spacewardharpy7	1093
18	Ezekson	1005
19	Bumpy419	964
20	Nycteus_	895
21	Snowflowe	866
22	lizardfightclub	659
23	pintsizedrogue	641
24	Comma__	633
25	Lord_Jord	603
26	Iagoku	549
27	Zythose	508
27	Enderslayerxz3	508
29	Rocco_Lane	483
30	eitanzaki	441
31	EveryonesUncle	419
32	MakeHistory157	378
33	Dusk_95	377
34	LittleBug562	371
35	Merv__	362
36	Drlzyy	353
37	HellsSponge	282
38	Skippeh	255
39	Maenara	253
40	Mr_Byzantine	240
41	Groundler	225
42	jnp_gaming	220
43	Mahoose	219
44	SpookyDraggin	217
45	Steelynan	213
46	YoshikageBites	173
47	Jackattack53	168
48	Hyp3rion_	163
49	ShedJr_	158
50	Winklepicker279	153
50	YungMaki	153
52	Powowowow	149
53	MattieHD	144
54	M_Patata	139
54	MasterNueve	139
56	oxfordschool	112
57	Legendosh	111
58	ProbsNotNova	109
59	CliffEmAll	107
60	El_Jalapeno	106
61	lordpipe	104
62	Arceus1975	101
63	thewindmillman	100
63	Chrisdeadeye	100
65	PortlyPete69	99
66	Eraxa	96
67	KarlKaek	94
68	TheSecondLord	87
69	PlasticOtari	86
70	chipklip	84
71	loveseeker	82
72	MightyWertu	80
73	SammiWolfGirl	76
74	noam464	75
75	_Karmaa	74
76	Paintz	73
77	Incinere	67
77	Xalithia	67
79	hm947	59
80	Notta	58
81	m_be9	53
81	Hiryu27	53
83	kekhon	51
84	Rumpletaezer	50
85	LetsDoItLive	47
86	titanlax	40
86	DarkS0L	40
88	Vorlice	39
88	SexcMf	39
90	Werbe	38
91	WyngGoy	37
92	stavgod	32
93	DAD_1996	31
93	Blaiku	31
95	Onennon	30
96	Doggey_Woggey	29
97	voiding_	23
98	_Dean_123	21
99	Racengan	20
100	Freak_Genius	17
101	claivin	16
101	obzii	16
103	PhantomsGhost_	15
104	Di_infiri	13
104	QueenShuvi	13
104	2blox	13
107	Kakolbus	12
107	TTNG	12
107	fkGrim	12
110	Avrelion	11
110	MilleGrug	11
112	Z3braYTIL	10
113	Chromary	9
114	Bandito_Roamer	8
114	I_Am_Mushkin	8
116	_Virify_	7
117	AuroraValkyrie	6
118	ratglock	5
118	Moyd_	5
118	SteveCraftBlocks	5
118	masskedman	5
118	DarlaMeow	5
118	Soplight	5
118	Dogcorn69420	5
118	Zoeyfortnite	5
126	diamondgolem35	4
126	audiocracked	4
126	Barlycorn	4
126	little_dUki	4
130	xambsam	3
130	Skylord_Luke	3
130	ItzWqlfy	3
130	Eczbek	3
134	LovelyDane	2
134	q_wq	2
134	ssleepless	2
134	RebelAndroid	2
134	Humpcat	2
134	TheDankPlatypus	2
134	GOOBERGABE04	2
134	SokaOtaku	2
134	out1s	2
134	RobotMinion101	2
134	HyperCave	2
134	The_Quack_Dealer	2
134	JESS_THE_RERE	2
134	MAns_44	2
134	IdeallyGrey	2
134	stellarjay	2
134	TheOuterCore	2
134	Physics_Breaker	2
152	Historical_Sand	1
152	500am	1
152	Masssonnn	1
152	thescout7	1
152	NotTrixi	1
152	eviltunix	1
152	LittleIan365	1
152	Zaridey	1
152	MangoTheFish	1
152	thgrocks	1
152	Sky_light_KING	1
152	yulgur1	1
152	jake314810	1
152	The_slideV3	1
152	ATurtle4936	1
152	BumbleBeever	1
152	Nagasaki_Riku	1
152	TheEnderman548	1
152	pixelviolin	1
152	stahouo	1
152	UltraZombie	1
152	jcool7	1
152	TheALV	1
152	Hermanni__	1
152	VentiHilton	1
152	anbbang	1
152	Stefani_Ss	1
152	vandmanden	1
