rank	username	minecraft:used/minecraft:light_gray_terracotta
1	Barlycorn	19667
2	YungMaki	11445
3	joethahobo	9038
4	thewindmillman	5116
5	beeperbeeper5	3810
6	Huwulling	3776
7	Rumpletaezer	3281
8	Spacewardharpy7	2917
9	kekhon	2906
10	PlasticOtari	2576
11	EcksD	2467
12	Skylord_Luke	2265
13	Jimb0nat0r	2100
14	RatatJuice	2007
15	EveryonesUncle	1540
16	weabis	1474
17	eitanzaki	1288
18	TheSecondLord	1095
19	TheShyPig	1060
20	xolstoi	1050
21	Steelynan	953
22	Lord_Jord	800
23	Mr_Byzantine	682
24	bearlystraight	660
25	thescout7	657
26	Inbefour	574
27	EMC_	547
28	Soplight	518
29	titanlax	449
30	pintsizedrogue	447
31	MunkaKris	397
32	Onennon	377
33	Smoke____	373
34	groofles	344
35	RobotMinion101	336
36	Alteriity	334
37	_Bguette_	326
38	The_SlideV5	324
39	Majonezzon	312
40	TooManyDuck	267
41	ImpavidArcher	265
42	The_slideV3	254
43	Werbe	216
44	Hermanni__	212
45	xxPipperDipperxx	205
46	ConnorDanky_	201
47	500am	200
48	SellyZ	198
49	seanitoo	165
50	Nycteus_	152
51	Kowcio_	146
52	Enderxz3	141
53	Rebytre	121
53	audiocracked	121
55	Hoid_the_Roamer	118
56	MilleGrug	116
57	Chrisdeadeye	111
58	KingMatthew506	105
59	Parcc	101
60	Maenara	87
61	Pickel_Lord	85
62	Karbl	83
63	Sral7	81
64	mariominejedi	73
65	MattieHD	72
66	Awyrlas	69
67	Fullut	68
68	Mahoose	66
69	Kamflame10	64
70	Akoot_	62
71	CuzIm2Kev	61
72	RoofTyler	56
73	FreakGenius	55
74	Hiryu27	54
75	Myszoaz	52
76	QuiCreans	50
76	_Karmaa	50
76	NameGenerat0r	50
79	PegLegPete93	49
79	ZoomieZoomie	49
79	diggydog67	49
82	SammiWolfGirl	46
83	Ssor69	42
84	ProfessorBee	38
85	fxiryglitch	32
85	H_Biscuit	32
85	the_russell1611	32
88	LeGold	30
89	theonlymagikarp	28
90	DepressedCubic	27
91	Snowflowe	25
92	DarlaMeow	24
93	Zaridey	22
94	_HoneySlime_	20
95	fkGrim	17
96	_Huge_Male_	16
97	livingdaydreams	14
97	Kakolbus	14
99	Blaiku	13
99	Biites	13
101	Hyp3rion_	12
101	PortlyPete69	12
103	PhantomsGhost_	10
103	ROY4LE	10
103	noam464	10
106	Xalithia	9
106	Legendosh	9
108	Merv__	8
108	shineh10	8
108	legal_tax_evader	8
111	rarrq	7
111	MAns_44	7
113	RoskobiOne	6
113	luseis	6
113	Dusk_95	6
113	WinterYoke	6
117	mwrty	5
117	binman420	5
117	duqboy	5
117	SpouHn	5
117	CattSoup	5
122	RebelAndroid	4
122	GoofySilly	4
122	MightyWertu	4
122	ItsDeltaMC	4
122	SvenskaHugo	4
122	pixelviolin	4
122	UCP_TheKingK	4
129	Jovaphobic	3
129	Euclidoris	3
129	fade_emerge78823	3
129	olliebollie48	3
129	sxc_	3
129	Deathkob	3
129	Tyrannosplart	3
129	Ezekson	3
129	00000000-0000-0000-0009-01ff0c3e5e4f	3
138	fanofbands101	2
138	CarltheCuck	2
138	claivin	2
138	MovingFish7	2
138	Ze_BaronKrigler	2
138	Kura2218	2
138	djancak	2
138	SpaceTurtleOX	2
138	UrbanPlanningEx	2
138	TechnoNinja64	2
148	PazinGaming	1
148	AuroraValkyrie	1
148	Humpcat	1
148	Da_Boss_Rani	1
148	Crowman1	1
148	SDMNAEK	1
148	zMarciano	1
148	gcaisawesome	1
148	XboxPanda	1
148	Di_infiri	1
148	ApophisNova	1
148	wfk7	1
148	PigDab	1
148	natajimi	1
148	QueenShuvi	1
148	ElKaySVK	1
148	RealGroot	1
148	LeEricc	1
148	MyNamaSheff	1
148	MirielThePastor	1
148	remmisrat	1
148	00000000-0000-0000-0009-01f073f37a91	1
