rank	username	minecraft:used/minecraft:oak_door
1	_Nuf	1434
2	BumbleBeever	162
3	lizardfightclub	136
4	beeperbeeper5	132
5	joethahobo	119
6	voiding_	103
7	Hermanni__	95
8	EveryonesUncle	94
9	himak1	91
9	TheShyPig	91
11	crying_wolf_13	89
12	Onennon	79
13	HellsSponge	71
14	FallenCorps	70
15	diggydog67	66
16	Di_infiri	62
17	Matemaks2137	61
18	YungMaki	59
19	Blackberry1310	56
19	Akoot_	56
21	Cocoamallows	54
22	Dedalus36	50
23	EcksD	49
24	The11thDoctor	48
25	Freak_Genius	45
26	lcvezra	42
27	youhjjhhhjj	41
27	_Karmaa	41
29	Syropatathe	38
30	bloodbiter	36
30	Racengan	36
32	Xclax101	35
32	Luigipunch989	35
34	Jovaphobic	33
34	Fullut	33
36	ExtraDumb	32
37	sufjanlover	31
38	Groundler	29
39	kekhon	28
39	_Dean_123	28
39	OtariCharlie	28
42	ShedJr_	26
42	jacxhadow	26
42	QueenShuvi	26
45	CoffeeNoir	25
46	eitanzaki	24
46	Z3braYTIL	24
46	Spenduh	24
46	Teebone15	24
50	Wooptey	23
50	YungJakobo	23
50	PncakeUniverse	23
53	jewbacaman	22
54	Groovy_MoonBird	21
54	q_wq	21
54	morgangauk	21
54	Whiterooster001	21
54	Paintz	21
54	DAD_1996	21
54	Legendosh	21
61	PhantomsGhost_	20
61	TinMaster	20
61	Nicky19	20
61	Kferno	20
61	Skippeh	20
61	Ezekson	20
67	Natofthese	19
67	Rumpletaezer	19
67	Hyp3rion_	19
67	Skylord_Luke	19
67	Drawgirll	19
67	jnp_gaming	19
73	pintsizedrogue	18
73	Myszoaz	18
73	MattieHD	18
73	xxPipperDipperxx	18
73	Inbefour	18
73	SSytex_X	18
79	Iagoku	17
79	TheFlfthHorseman	17
79	Zaridey	17
79	nitram49b	17
79	_Crimson_Legate	17
79	Keeogwi	17
79	SammiWolfGirl	17
86	SHAOBADMAN	16
86	Soap_Bender	16
86	Quaintster	16
86	ProfessorDiaper	16
90	Lepthymo	15
90	Natty	15
90	tsohomie	15
90	titanlax	15
90	MyNameIsJobo	15
90	Zythose	15
90	ApophisNova	15
90	Drewen24	15
90	MissCeleste7	15
90	MyNamaSheff	15
90	Zoeyfortnite	15
101	T045RTY	14
101	Gingayy	14
101	TheDankPlatypus	14
101	Arceus1975	14
101	grislgrobl	14
101	fred870d	14
101	aec9	14
101	bpmm	14
101	MovingFish7	14
110	Yatitay	13
110	Jackster03	13
110	ROY4LE	13
110	M_Patata	13
110	MangoTheFish	13
110	DanTheBuilderino	13
110	El_Jalapeno	13
110	GeromeMerris	13
110	SUN_DREAM	13
110	MasterNueve	13
110	laron58	13
121	ProfessorBee	12
121	Minc_	12
121	TableTim	12
121	DaviusMaximoose	12
121	Bumpy419	12
121	CaptainAvenger7	12
121	MAns_44	12
121	GravitySaint	12
121	RadarHz	12
130	ssleepless	11
130	jimbo61101jr	11
130	ewsophie	11
130	cowgirlkasia	11
130	hcb238	11
130	VanJosh	11
130	DaKaveMan	11
130	Darkgon	11
130	Blu3beast	11
130	Kubeusz2010	11
130	cichy096	11
130	Powowowow	11
142	weezygator	10
142	seanitoo	10
142	SyK7	10
142	shdesolt	10
142	GingerNeutron	10
142	r123moore	10
142	funnyblitz123	10
142	Windo_licker	10
142	natajimi	10
142	TheSeismicDuck	10
142	KermitTheKripple	10
142	Shogunite	10
142	Deerfoot	10
142	stavgod	10
142	TheEnderman548	10
142	CalebDHawk	10
142	TitanCrafting	10
142	momis24	10
160	Jalvajar	9
160	FroggoTheDoggo	9
160	Upstro10	9
160	Auseawesome	9
160	StanceTB	9
160	TheThomas69	9
160	PegLegPete93	9
160	intropass	9
160	Jackattack53	9
160	Werbe	9
160	Gryglu583	9
160	DarkS0L	9
160	AssEatrAndLicker	9
160	IAmTheWalrus910	9
160	WyngGoy	9
160	SvenskaHugo	9
160	stellarjay	9
160	jcool7	9
160	blimpeey	9
160	mobunni	9
160	Quotary	9
160	kinas45y5	9
182	SaltineDream	8
182	jjettii	8
182	Bandito_Roamer	8
182	elicobnoah	8
182	Incinere	8
182	BodaciousCake	8
182	lotarp	8
182	Swexti	8
182	Ssor69	8
182	Ozixar	8
182	TheSecondLord	8
182	ItzYaBoiPicard	8
182	Kubelz	8
182	XboxPanda	8
182	SeverianTheLame	8
182	Doom_melon	8
182	_8man	8
182	l3x07	8
182	_Boipl_	8
182	RyuNeko932000	8
182	Rocco_Lane	8
182	Shychelsoo	8
182	BasedEphex	8
182	fkGrim	8
182	claivin	8
182	TheRoboSock	8
182	SkateboardR6	8
182	Leithz6	8
182	bruh072	8
182	sp00ky_ghost977	8
182	IdeallyGrey	8
182	djancak	8
182	Poppy235	8
182	smogfrog	8
182	OnlyOfficial	8
217	Drlzyy	7
217	Merv__	7
217	BlancoFlaco	7
217	Rox_The_Box	7
217	Prodiginus	7
217	TheDiamondCG	7
217	CyrusIsTired	7
217	slkiey	7
217	mwrty	7
217	Robby_Cream	7
217	Fast_Turtle	7
217	PigDab	7
217	brickman241	7
217	SkyHighSkier	7
217	Frozil12	7
217	lordpipe	7
217	legoclone09	7
217	sebastiensaborio	7
217	Smoke____	7
236	soundad	6
236	AshleeCW	6
236	Kegradigm	6
236	Zlatovlas	6
236	awesomeoneme	6
236	Hormones	6
236	H72l9w	6
236	Stynxy	6
236	ThePoliteG	6
236	Sloths_Ender	6
236	egglapras	6
236	SharpDev	6
236	Peeing	6
236	BlueZabu	6
236	sarahlynn00	6
236	MustardDrinker	6
236	Corbsman	6
236	seramalen	6
236	wordboy107	6
236	Huic_ostiarius	6
236	aa2x_	6
236	magmaniacmc	6
236	KliBeast21	6
236	Zinkacide	6
236	KlausVonStiglitz	6
236	ori0le	6
236	majlin16	6
236	MyNameIsDakar	6
236	alddd	6
236	yatsuta	6
236	Kowcio_	6
236	SpicyDuckMan	6
236	Western_1	6
236	obzii	6
236	_KuruKuru	6
236	SpaceTurtleOX	6
236	2blox	6
273	HazyDrummer	5
273	eotzuca	5
273	MadBroMad	5
273	jspwn	5
273	hm947	5
273	livingdaydreams	5
273	MOSS000	5
273	musique99	5
273	ccormacs	5
273	Cryptacity	5
273	SteveCraftBlocks	5
273	thescout7	5
273	beeleg	5
273	Motsaro	5
273	2Stout	5
273	noam464	5
273	loveseeker	5
273	CarltheCuck	5
273	Nyxiom_	5
273	RohnJosin	5
273	DeeDeeThonk	5
273	Ender_Souls	5
273	kiluaemc	5
273	IsabellasOF	5
273	Meatlaugh	5
273	DrGrant	5
273	Bloo2406	5
273	Barlycorn	5
