rank	username	minecraft:used/minecraft:birch_trapdoor
1	Spacewardharpy7	2698
2	Smoke____	2157
3	Rasmanden	2076
4	Di_infiri	1182
5	vandmanden	1123
6	Mahoose	1112
7	sp00ky_ghost977	1056
8	PlzNoBM	747
9	HellsSponge	692
10	TheDankPlatypus	583
11	lordpipe	574
12	Soplight	408
13	PlasticOtari	401
14	MangoTheFish	391
14	Eczbek	391
16	EveryonesUncle	347
17	mwrty	336
18	Kakolbus	275
19	_Dean_123	255
20	Merv__	248
21	noam464	226
22	eitanzaki	219
23	Groundler	217
24	MilleGrug	206
25	kekhon	203
26	500am	201
27	Ezekson	198
28	PortlyPete69	192
29	anbbang	164
30	TheShyPig	162
31	UrbanPlanner1978	160
32	Deerfoot	158
33	joethahobo	147
34	ShedJr_	144
34	Werbe	144
36	loveseeker	141
37	Katsuragi0243218	138
38	thewindmillman	134
39	mariominejedi	123
40	pintsizedrogue	122
41	PhantomsGhost_	104
41	MinttyFressh	104
43	diggydog67	102
44	EMC_	97
45	soundad	92
46	Enderslayerxz3	91
47	tuckerdoodle	85
48	rarrq	83
49	RebelAndroid	81
50	beeperbeeper5	79
51	ToastedGamingYT	74
51	YungMaki	74
53	Arceus1975	73
54	Snowflowe	72
54	El_Jalapeno	72
56	Simon_Lowell	69
57	Steelynan	68
58	Legendosh	67
59	yulgur1	64
60	Swexti	62
61	_Virify_	60
62	burbankbuilder28	58
63	Sral7	57
64	Zythose	55
65	KarlKaek	53
66	thescout7	52
66	The_slideV3	52
66	SingedBread	52
66	oxfordschool	52
70	r123moore	49
70	Zoeyfortnite	49
72	set67	48
73	SuperPooch06	47
74	ProfessorDiaper	43
75	ImpavidArcher	40
75	Zielo2017PL	40
77	Akoot_	39
78	UncreativeArtist	38
79	dopplexd	37
79	Shogunite	37
81	Freak_Genius	36
81	CACTUSLAD	36
83	Jackattack53	35
83	LeeMcGee30	35
85	pixelviolin	34
86	Lord_Jord	32
86	07shiny	32
88	jimintyy	31
88	Powowowow	31
90	livingdaydreams	30
90	Myszoaz	30
92	TheSecondLord	29
92	DanTheBuilderino	29
94	himak1	28
95	titanlax	26
96	bee_gorl	25
97	jnp_gaming	24
98	Hoid_the_Roamer	23
98	Optiprimus	23
98	SvenskaHugo	23
98	__tomato	23
98	ItsJunoIGuess	23
98	Hermanni__	23
104	dezxalo	22
104	TheALV	22
106	Tommhh	21
106	CoffeeNoir	21
106	ZeroKraken	21
106	EcksDofficial	21
110	xxPipperDipperxx	20
110	little_dUki	20
112	LexMakesHistory	19
112	godipose	19
114	Rebytre	18
114	SIRdrumroll	18
116	Cryptacity	17
116	TheThomas69	17
116	SoftSix	17
116	gcaisawesome	17
116	IAmTheWalrus910	17
116	Kowcio_	17
122	6king6colt6	16
122	Fullut	16
122	DSYisDizzy	16
122	MyNameIsJobo	16
122	KeruNatsema	16
122	MustaLoordi	16
122	yatsuta	16
129	_Nuf	15
129	Inbefour	15
129	GravitySaint	15
129	Racengan	15
133	T045RTY	14
133	Quincannon	14
133	bloomkieren	14
133	lcvezra	14
133	kinas45y5	14
133	YoshikageBites	14
139	Dedalus36	13
139	SaucyDark	13
139	MattieHD	13
139	LotusProject	13
139	dendydoom	13
139	Jiminie	13
139	djancak	13
139	Spenduh	13
147	Iagoku	12
147	SteveCraftBlocks	12
147	Kkanot	12
147	XboxPanda	12
147	CollinMH06	12
147	Maenara	12
147	_Bguette_	12
154	eclipseboi	11
154	Sky_light_KING	11
154	fffMike	11
157	Blackberry1310	10
157	smarticuno	10
157	TheTrueClipse	10
160	nocturne78	9
160	Digcove	9
160	Yahrto	9
163	hollowww	8
163	q_wq	8
163	PegLegPete93	8
163	M_Patata	8
163	DAD_1996	8
163	wwwwinnebagoooo	8
163	MasterNueve	8
163	ReyTheLegend	8
171	Otto_chan	7
171	eviltunix	7
171	phomic	7
171	CarltheCuck	7
171	ChillenChiggen	7
171	WET_WET_WET	7
171	Ir0npack	7
171	Jordan_R	7
179	12Magner05	6
179	MonitorLizards	6
179	AlexChristian	6
179	Deathkob	6
179	fluddd	6
179	Kubeusz2010	6
185	Malorn_Aetherius	5
185	ThePoliteG	5
185	egglapras	5
