rank	username	minecraft:used/minecraft:spruce_log
1	rarrq	27218
2	Frozil20	23509
3	Shogunite	19696
4	500am	18422
5	TheShyPig	18197
6	Mattesco	13319
7	gcaisawesome	12458
8	Inchef	11858
9	Ezekson	10631
10	Kowcio_	10470
11	_Dean_123	9232
12	kekhon	9106
13	miramyu	8547
14	skitzxo	8525
15	Skylord_Luke	7414
16	PazinGaming	7314
17	Blackberry1310	7105
18	Legendosh	7090
19	beeperbeeper5	6798
20	Smiguli_	6552
21	Lez_	6063
22	EMC_	5876
23	SpacesickPrism	5720
24	MyNameIsJobo	5540
25	powercas_gamer	5299
26	_Huge_Male_	5227
27	pixelviolin	5214
28	Mahoose	5139
29	PlasticOtari	4831
30	pintsizedrogue	4710
31	Merv__	4504
32	fragrantmonke444	4295
33	rotten_mango	4259
34	Eraxa	4202
35	Tommhh	4171
36	luseis	3978
37	Kakolbus	3967
38	m_be9	3957
39	Manaateee	3904
40	Yamdalorian	3877
41	joethahobo	3791
42	El_Jalapeno	3731
43	fkGrim	3563
44	KarlKaek	3513
45	TheSecondLord	3458
46	Druid95	3285
47	Di_infiri	3262
48	Steelynan	3196
49	xxPipperDipperxx	3174
50	MattieHD	3144
51	Rumpletaezer	3066
52	EveryonesUncle	2896
53	eitanzaki	2869
54	Zythose	2709
55	Groundler	2692
56	Onennon	2688
57	Historical_Sand	2682
58	wwwwinnebagoooo	2586
59	RoskobiOne	2584
60	Mr_Byzantine	2511
61	Jimi7hits	2496
62	Jimb0nat0r	2495
63	crashomon	2465
64	OfficerAnvil	2452
65	Arceus1975	2401
66	thescout7	2305
67	q_wq	2223
68	Skippeh	2214
69	k_ce	2124
70	TheWickedBird	2118
71	CrateOfBoxes	2098
72	ApophisNova	2088
72	MyNamaSheff	2088
74	Akoot_	2064
75	jacxhadow	2016
76	Gzrdy	1976
76	thebaddruid	1976
78	Enderxz3	1972
79	XxCookiequeenxX	1949
80	Natty	1907
81	HUNTERmaun	1892
82	Mr_Sun15	1885
83	bl1ss0	1847
84	noam464	1837
85	NameGenerat0r	1822
86	diamondgolem35	1819
87	Cowison	1807
88	Meatlaugh	1804
89	Hahaa_0	1753
90	fr0stss	1738
91	Jackattack53	1681
92	Racengan	1644
93	oscminus	1634
94	TheRealAndrin	1616
95	Deathkob	1589
96	Fuad_R	1576
97	TooManyDuck	1562
98	Malorn_Aetherius	1553
99	LordSpeed37	1532
100	Nicserso	1517
101	w3nd3lbo3	1503
102	set67	1478
103	CheifJumbo	1460
104	Fullut	1456
105	Alteriity	1445
106	BreadBacon	1391
107	ConnorDanky_	1390
108	WYFYoyo	1335
109	SvenskaHugo	1276
110	Touched_Bread	1262
111	Tiberonus	1240
112	ImpavidArcher	1235
113	Bumpy419	1211
114	Blu3beast	1210
115	Biites	1203
116	ogoa	1170
117	EdGalbraith	1169
118	H0UNDFRMH3LL	1136
119	Ryan_GEMS	1094
120	lorywithay	1087
121	AspenLightVT	1054
122	SkateboardR6	1045
123	__Fanda__	1015
124	Pumpkin_P_Patch	1000
125	Chromary	990
126	Flores991	952
127	SlayerCrypto	948
128	Werbe	943
128	mihimihimihi	943
130	claivin	941
131	CattSoup	936
132	RatatJuice	934
