rank	username	minecraft:used/minecraft:candle
1	Mahoose	613
2	ImpavidArcher	373
3	AdmiralSmoke	334
4	CattSoup	286
5	TheSecondLord	265
6	Kowcio_	255
7	NomadicRobin_	235
8	PlasticOtari	208
9	joethahobo	188
10	Nicserso	179
11	pixelviolin	171
12	luseis	160
12	SvenskaHugo	160
14	SquadMonster	156
15	Crowman1	137
16	Lord_Jord	134
17	YungMaki	133
18	MineMaster0012	131
19	diamondgolem35	124
20	LeonelSalamanca	119
21	fluddd	111
22	CheifJumbo	105
23	xxPipperDipperxx	84
24	Lez_	81
25	CoffeeNoir	79
26	mihimihimihi	74
27	_Dean_123	62
28	2Stout	57
29	12Magner05	56
30	500am	55
31	Ezekson	54
32	Mattesco	53
33	Skylord_Luke	51
34	thewindmillman	50
35	Prismyst	48
36	ZoomieZoomie	47
37	k_ce	41
38	pintsizedrogue	40
39	AlexxO_o	35
40	Inchef	33
41	SuperPooch06	32
41	EtherealEspresso	32
43	jessewegottacook	29
43	Jimb0nat0r	29
45	Merv__	27
46	EMC_	26
46	SpacesickPrism	26
48	RatatJuice	25
48	EveryonesUncle	25
50	olliebollie48	23
50	WYFYoyo	23
52	rachcl	22
52	Manaateee	22
52	Dakar_	22
55	UCP_TheKingK	21
56	Legendosh	19
57	Lord_Doob	18
57	Enderxz3	18
59	xvphmura	16
59	RoskobiOne	16
59	Z3braYTIL	16
62	KarlKaek	14
62	Myszoaz	14
64	CarryLine	13
65	SmashingPump	12
66	starbits140	11
67	_Karmaa	10
68	lorpus	9
69	Pineapplesugr	8
69	orxngejuice	8
69	MAns_44	8
69	Njensen7	8
73	Blackberry1310	7
74	noam464	6
74	KeruNatsema	6
74	Joestra	6
74	StinkyDiplomat	6
78	Huwulling	5
78	Smashic	5
80	Krasnal1337	4
80	SpaceCor3_	4
80	rarrq	4
80	thebaddruid	4
80	AuroraSkies	4
80	Hermanni__	4
86	MrKrabOnCoke	3
86	excelsionprime	3
86	drunkeeez	3
86	Solar_Power	3
86	_Mythic____	3
86	AltnumberF4	3
92	Mr_Byzantine	2
92	Papudron	2
92	MrExplorer	2
92	HyperCave	2
92	HolyVenom	2
92	groofles	2
92	Spacewardharpy7	2
99	ITDV	1
99	CaracolCxnt	1
99	Akoot_	1
99	FreakGenius	1
99	secondstepsis	1
