rank	username	minecraft:used/minecraft:prismarine
1	MilleGrug	14450
2	EcksD	12748
3	gcaisawesome	12080
4	PigDab	7967
5	Spacewardharpy7	7875
6	Smoke____	6538
7	eitanzaki	5345
8	Ezekson	5126
9	noam464	4965
10	TheShyPig	4449
11	Bumpy419	4077
12	Lord_Jord	3090
13	oxfordschool	2267
14	Incinere	2219
15	MightyWertu	2058
16	Kakolbus	1865
17	lizardfightclub	1615
18	LittleBug562	1420
19	Vellu21	1382
20	Snowflowe	1216
21	Legendosh	1208
22	Hiryu27	1193
23	h2p_emrld	1117
24	Notta	1055
25	joethahobo	959
26	Mahoose	941
27	Fullut	879
28	Freak_Genius	820
29	Enderslayerxz3	800
30	Arceus1975	783
31	EMC_	738
32	Powowowow	713
33	Frozil12	702
34	Groundler	701
35	Vorlice	665
36	TheSecondLord	661
37	ImpavidArcher	629
38	Blaiku	476
39	error10101	451
40	Maenara	436
41	hm947	407
42	beeperbeeper5	368
43	Racengan	333
44	_Dean_123	322
45	Skippeh	318
46	AuroraValkyrie	284
47	jcool7	279
48	Soplight	268
49	rarrq	267
50	diamondgolem35	262
51	Eraxa	261
52	pintsizedrogue	254
53	Jackattack53	252
54	fred870d	234
55	HellsSponge	233
56	Xalithia	216
57	Merv__	215
58	EcksDofficial	213
59	SpookyDraggin	210
60	M_Patata	207
60	MasterNueve	207
62	Blu3beast	189
63	YungMaki	187
64	MattieHD	185
65	Iagoku	178
66	ratglock	172
67	NameGenerat0r	171
68	BumbleBeever	157
69	kekhon	155
70	Hyp3rion_	153
71	thewindmillman	146
72	Onennon	144
73	Comma__	141
74	_Karmaa	138
75	Akoot_	135
76	Di_infiri	131
77	Rumpletaezer	128
78	cedric72	127
79	YungJakobo	126
80	lordpipe	123
81	PortlyPete69	122
82	ROY4LE	120
82	obzii	120
84	Steelynan	119
85	sandmire	118
86	PhantomsGhost_	115
87	The_slideV3	106
88	vandmanden	98
89	pixelviolin	93
90	KarlKaek	92
91	Sral7	90
92	LetsDoItLive	89
93	chipklip	84
94	Nicserso	79
95	ooga47	74
95	33sudo	74
97	MAns_44	73
98	Paintz	70
99	Winklepicker279	68
100	Zaridey	66
101	ApophisNova	63
101	MyNamaSheff	63
103	Blackberry1310	61
104	TechnoNinja64	60
105	Covalents	59
106	SuperPooch06	57
107	RoboTramp7865	56
108	Drewen24	53
109	ElectricDragon81	52
110	Kouridragon	48
111	T045RTY	46
112	CoffeeNoir	42
112	Rasmanden	42
114	claivin	41
115	Awyrlas	40
116	Fildyr	38
117	Chrisdeadeye	35
118	Nycteus_	34
119	jnp_gaming	31
120	I_Am_Mushkin	30
120	Z3braYTIL	30
122	xxPipperDipperxx	29
123	titanlax	28
123	Hisiste	28
125	SokaOtaku	25
125	EveryonesUncle	25
127	Hoid_the_Roamer	24
127	AltnumberF4	24
129	thescout7	21
130	loveseeker	20
130	voiding_	20
132	Chromary	18
133	RobotMinion101	16
133	Shogunite	16
135	eiC_	15
136	Inbefour	14
136	ProbsNotNova	14
136	diggydog67	14
139	stahouo	13
140	radioactv_jelly	12
141	TTNG	10
141	stavgod	10
143	Jiminie	8
143	Dusk_95	8
143	djancak	8
146	Jovaphobic	7
146	NinjaKnifeKill	7
146	Sky_light_KING	7
149	CollinMH06	5
149	Segotep999	5
151	RebelAndroid	4
151	MSK__	4
151	12Magner05	4
151	Inchef	4
151	XboxPanda	4
151	DarlaMeow	4
151	ayamefag	4
158	m_be9	3
158	eviltunix	3
158	natajimi	3
158	NomadicRobin_	3
158	Fuhrer_Teemo	3
158	__tomato	3
164	Drlzyy	2
164	CliffEmAll	2
164	paranoid_plant	2
164	mwrty	2
164	emrekn	2
164	TheDankPlatypus	2
164	dnlksl	2
164	_Bguette_	2
164	Barlycorn	2
164	Aezekial	2
164	Spenduh	2
164	2blox	2
176	elicobnoah	1
176	Paint	1
176	jimintyy	1
176	WarHammer3	1
176	_Frepp_	1
176	ShedJr_	1
176	Historical_Sand	1
176	oreee	1
176	ThePoliteG	1
176	set67	1
176	surfinggiraffejp	1
176	Marbz_	1
176	Zythose	1
176	Billious	1
176	Werbe	1
176	CruncyIsTaken	1
176	Shiirazuku	1
176	ADEXTV	1
176	lillips	1
176	El_Jalapeno	1
176	ItzWqlfy	1
176	silverpopcorn	1
176	Warlord324	1
176	Kowcio_	1
176	Kyrum2169	1
176	Poppy235	1
176	Quotary	1
