rank	username	minecraft:used/minecraft:diamond_block
1	Maenara	1276
2	EcksD	1030
3	NameGenerat0r	787
4	eitanzaki	716
5	Di_infiri	602
6	xzvu	575
7	gusstationwerker	513
8	Hyp3rion_	487
9	Smoke____	463
10	Frozil20	433
11	RealGroot	390
12	lillips	370
13	Esme_1	312
14	yulgur1	304
15	jnp_gaming	292
16	joethahobo	284
17	Inchef	275
18	NomadicRobin_	274
19	vandmanden	270
20	beeperbeeper5	267
21	pintsizedrogue	263
22	SingedBread	228
23	fluddd	215
24	Blaiku	203
25	ImpavidArcher	200
26	kekhon	198
27	Fullut	183
28	Blu3beast	176
29	Legendosh	174
30	YungMaki	172
31	ProbsNotNova	171
32	Inbefour	164
33	Werbe	159
34	Leithz6	158
35	lordpipe	137
36	Fuad_R	127
37	Spacewardharpy7	126
38	Blackberry1310	124
39	BlancoFlaco	122
40	Ezekson	116
41	500am	110
42	noam464	109
42	PigDab	109
42	Kyrum2169	109
45	claivin	99
46	PlasticOtari	96
47	Mahoose	92
48	12Magner05	90
48	jcool7	90
48	Skippeh	90
51	Steelynan	88
52	Racengan	87
53	Historical_Sand	85
53	Akoot_	85
53	__tomato	85
56	CoffeeNoir	84
57	Sral7	82
58	ConnorDanky_	80
59	h2p_emrld	76
60	Groovy_MoonBird	75
60	HellsSponge	75
62	Corbsman	74
63	Merv__	73
64	TheShyPig	72
65	rarrq	69
66	tobinwilliams	68
67	_Dean_123	66
68	kensli	63
69	fffMike	62
70	Rasmanden	61
70	FreakGenius	61
72	zToasty69z	59
73	Ailmast	52
74	_Virify_	51
74	Wooptey	51
74	masskedman	51
74	Powowowow	51
78	Jimb0nat0r	48
79	Smashic	47
80	boog4loo	46
81	lorpus	44
82	PlzNoBM	43
83	Covalents	41
84	WyngGoy	40
85	6king6colt6	37
85	SaucyDark	37
87	PortlyPete69	32
88	Lez_	30
89	_Nuf	28
90	H0UNDFRMH3LL	26
90	_Huge_Male_	26
90	TheSecondLord	26
90	07shiny	26
94	set67	25
94	Skylord_Luke	25
96	MakeHistory157	23
96	obzii	23
98	IamCL4SSY	22
