rank	username	minecraft:used/minecraft:deepslate_tiles
1	mihimihimihi	22409
2	beeperbeeper5	15603
3	RebelAndroid	14341
4	thewindmillman	13032
5	YungMaki	12384
6	pintsizedrogue	8929
7	Fuad_R	6427
8	Krowuss	6378
9	rarrq	5867
10	hanaryheatwave	5532
11	500am	5045
12	00000000-0000-0000-0009-01ff0c3e5e4f	4942
13	TheSecondLord	4495
14	RoskobiOne	4353
15	Mattesco	4209
16	AdmiralSmoke	3918
17	MadmanRaven	3205
18	ZoomieZoomie	2675
19	joethahobo	2254
20	Winklepicker279	2106
21	lunathelemon	2047
22	Kakolbus	1991
23	Touched_Bread	1968
24	oscminus	1887
25	ImpavidArcher	1682
26	Solar_Power	1458
27	iSammael	1451
28	Hyp3rion_	1418
29	k_ce	1386
30	Manaateee	1370
31	PaperCanvas	1200
32	SvenskaHugo	1192
33	ScootOfBoot	1181
34	PigDab	1161
35	Groovy_MoonBird	1126
36	Felenov	1118
37	Jackattack53	1055
38	JETrotter	1032
39	PazinGaming	1023
40	fade_emerge78823	1016
41	hm947	947
42	12Magner05	932
43	PlasticOtari	866
44	_Huge_Male_	853
45	thebaddruid	852
46	teslawolf38	801
47	MineMaster0012	784
48	non089	778
49	fw3xy74	771
50	Nicserso	746
51	UMosDiesIrae	691
52	Kowcio_	683
53	prizm_	681
54	Dblikstad	606
55	Steelynan	588
56	Huwulling	572
57	Methalox1	511
58	Ezekson	489
59	pixelviolin	488
59	Jimb0nat0r	488
61	Wowful	445
62	Elastiq	332
63	HoltGrim	325
64	groofles	282
65	Merv__	264
66	N00bula	262
67	luseis	259
68	Deathkob	258
69	Pofen	239
70	Moofyman	238
71	_Boipl_	233
72	lordpipe	225
73	Segotep999	218
74	Apollo_993	209
75	benediktine1	204
76	LeauVox4921	190
77	_i_ERROR_i_	189
78	Crowman1	184
79	Mahoose	169
80	Lez_	162
81	lillips	159
82	Mookle96	158
82	bearlystraight	158
82	Samificator	158
85	LeEricc	147
85	Weepingbiel	147
87	NATE_the_HALO	139
88	Dakar_	131
89	Soplight	126
90	noam464	118
91	CaracolCxnt	115
92	Nadhorion	114
93	jessewegottacook	113
94	arvous	106
95	EMC_	89
96	Mr_Sun15	86
97	Kamflame10	81
98	MrKrabOnCoke	80
99	Lutres_	72
100	StinkyDiplomat	68
101	RadarHz	64
102	Inchef	59
103	sp00ky_ghost977	55
104	xolstoi	45
105	mobunni	43
106	gabukun_	42
107	Enderxz3	40
108	FreakGenius	33
109	longappendage	32
110	tsitrawhy	28
111	KGTV	25
112	The_Fulgurator	24
113	Sleepy_Time_	21
114	Blackberry1310	19
114	Lord_Doob	19
116	TooPure2	17
117	SOA1RR	16
117	Otarichi	16
117	IdeallyGrey	16
120	LeonelSalamanca	14
120	SkinnyBois	14
122	Skylord_Luke	13
123	Mr_Byzantine	11
123	Megarboh	11
125	LeGold	8
126	fluddd	7
126	Spacewardharpy7	7
126	Eczbek	7
129	Pineapplesugr	6
130	Smashic	5
130	Jimi7hits	5
132	ECstardust	4
132	UCP_TheKingK	4
134	Da_Boss_Rani	3
134	Ma_name_alex	3
134	CalebDHawk	3
134	Hermanni__	3
138	Archsam	2
138	SquadMonster	2
138	thatbeanyboi	2
138	OreTheBear	2
138	ApophisNova	2
138	Hahaa_0	2
138	Spenduh	2
138	MyNamaSheff	2
138	skrongus	2
147	_stets	1
147	ROY4LE	1
147	olliebollie48	1
147	breadbowlgamer	1
147	fReE_bAtWiNg	1
147	Jonafrog99	1
147	Arceus1975	1
147	Toasty_Tom	1
147	Sorry_Arey	1
147	NameGenerat0r	1
147	Nycteus_	1
147	SingedBread	1
147	ItsDeltaMC	1
147	SpacesickPrism	1
147	AltnumberF4	1
147	Legendosh	1
