rank	username	minecraft:used/minecraft:smooth_quartz_stairs
1	lordpipe	5867
2	beeperbeeper5	4556
3	wwwwinnebagoooo	3036
4	noam464	2885
5	Frozil20	2430
6	Mahoose	2193
7	ImpavidArcher	2088
8	pintsizedrogue	1945
9	Ezekson	1848
10	Hyp3rion_	1487
11	AltnumberF4	1228
12	Spacewardharpy7	1222
13	YungMaki	1095
14	Freak_Genius	1088
15	kekhon	1053
16	Deerfoot	928
17	EveryonesUncle	847
18	himak1	836
19	Snowflowe	682
20	EcksDofficial	652
21	lillips	649
22	Sral7	625
23	NameGenerat0r	575
24	Di_infiri	472
25	joethahobo	464
26	Jackattack53	414
27	Blaiku	409
28	TheSecondLord	401
29	Merv__	351
30	eitanzaki	347
31	EMC_	302
32	Lord_Jord	295
33	MakeHistory157	281
34	jnp_gaming	268
35	Mattesco	224
36	Blu3beast	203
37	_Karmaa	197
38	Marbz_	184
39	The_slideV3	166
40	NotMeanttoChange	158
41	Fuad_R	153
42	stavgod	142
43	FishyBoy3811	141
44	Soplight	140
45	Rocco_Lane	139
46	m_be9	137
47	ooga47	115
48	oxfordschool	112
49	oreee	97
50	KG1999	84
51	Akoot_	69
52	Chromary	68
53	ApophisNova	64
53	MyNamaSheff	64
55	Arceus1975	62
55	mobunni	62
57	Spenduh	60
58	_Dean_123	58
59	thescout7	54
59	PlasticOtari	54
61	ColeSnyder	53
62	Prismyst	49
62	LexMakesHistory	49
64	rarrq	47
65	Eraxa	44
66	paranoid_plant	39
67	thewindmillman	36
68	fluddd	35
69	M_Patata	32
69	MasterNueve	32
69	Optiprimus	32
72	NomadicRobin_	31
72	EcksD	31
74	Shogunite	30
75	mihimihimihi	28
76	Smashic	27
77	r123moore	25
78	_Huge_Male_	23
78	Kubeusz2010	23
80	RobotMinion101	20
81	xxPipperDipperxx	19
81	fffMike	19
83	hm947	17
84	SingedBread	16
85	Truckoss	15
86	RodSerlingCringe	14
86	MAns_44	14
88	cedric72	13
89	Incinere	11
90	Lutres_Torane	10
91	The_SlideV5	7
92	HellsSponge	6
93	Steelynan	5
93	TechnoNinja64	5
95	Lez_	4
95	iSammael	4
97	ROY4LE	3
97	TheTommyGun63	3
97	jcool7	3
100	Zythose	2
100	Sky_light_KING	2
100	Jiminie	2
100	chipklip	2
100	sadvavilloso	2
105	PhantomsGhost_	1
105	Huwulling	1
105	SteveCraftBlocks	1
105	loveseeker	1
105	Kokeech	1
105	Luminad3	1
105	fw3xywashere	1
105	binman420	1
105	_Bguette_	1
105	__Auspicious	1
105	stahouo	1
