rank	username	minecraft:used/minecraft:diamond_pickaxe
1	EcksD	5111989
2	gcaisawesome	4499976
3	Spacewardharpy7	2921480
4	HellsSponge	2554113
5	Di_infiri	2083946
6	Werbe	1971205
7	noam464	1953908
8	TheShyPig	1773955
9	YungMaki	1288621
10	PigDab	1090686
11	Blaiku	1051517
12	lordpipe	996617
13	Miko_Fullbuster	880374
14	sebastiensaborio	773277
15	Smoke____	765196
16	m_be9	762664
17	vandmanden	753626
18	Zythose	742727
19	Deathkob	626489
20	Skippeh	613961
21	eitanzaki	565425
22	12Magner05	526821
23	Mewar	521698
24	Ezekson	508065
25	Frozil12	498844
26	MyNameIsJobo	420788
27	Snowflowe	408161
28	thescout7	377261
29	Hyp3rion_	372495
30	Freak_Genius	349179
31	EveryonesUncle	332238
32	PhantomsGhost_	301113
33	Franco093	294671
34	El_Jalapeno	292036
35	Xclax101	289389
36	Rumpletaezer	289266
37	Legendosh	286043
38	Fullut	278576
39	rarrq	272566
40	Bumpy419	268316
41	Blackberry1310	266451
42	Hisiste	261315
43	mwrty	254774
44	Maenara	252545
45	Onennon	247850
46	TechnoNinja64	245774
47	FallenCorps	241995
48	Inbefour	241594
49	ProfessorBee	233022
50	Cowison	232356
51	Skylord_Luke	230552
52	FelixPSY375	227192
53	kekhon	221638
54	MightyWertu	210467
55	Deerfoot	210363
56	TheSecondLord	204785
57	stahouo	203811
58	Enderslayerxz3	201593
59	Eraxa	200030
60	Groundler	192729
61	Jackattack53	189306
62	beeperbeeper5	189186
63	Blu3beast	184199
64	Hermanni__	183813
65	Rasmanden	182941
66	Sral7	181709
67	audiocracked	180463
68	NameGenerat0r	180124
69	Groovy_MoonBird	175943
70	Natofthese	175600
71	ApophisNova	172521
71	MyNamaSheff	172521
73	claivin	171829
74	Arceus1975	171405
75	Nicserso	170585
76	_Karmaa	169912
77	livingdaydreams	165446
78	Hoid_the_Roamer	159754
79	SuperPooch06	159381
80	ImpavidArcher	155725
81	Zoeyfortnite	155321
82	chipklip	153399
83	cedric72	149923
84	Merv__	148486
85	Mahoose	146050
86	censorsheep	145782
87	_Nuf	143151
88	Lord_Jord	140794
89	PlzNoBM	140188
90	BumbleBeever	135973
91	MinttyFressh	133788
92	h2p_emrld	132650
93	anbbang	131602
94	mariominejedi	130952
95	PlasticOtari	127342
96	PortlyPete69	126455
97	Deodorante	124625
98	fluddd	124025
99	eviltunix	123591
100	T045RTY	123355
101	burbankbuilder28	122886
102	Barlycorn	122843
103	Jovaphobic	121036
104	SammiWolfGirl	119453
105	__tomato	118587
106	yulgur1	118204
107	Shogunite	113832
108	BobDeBouwer1337	113632
109	pintsizedrogue	111055
110	XboxPanda	111041
111	TooManyDuck	110979
112	WyngGoy	109509
113	ROY4LE	109301
114	500am	108714
115	TheThomas69	108518
116	Akoot_	105836
117	fred870d	104611
118	I_Am_Mushkin	104186
119	AuroraValkyrie	103260
120	_Dean_123	102909
121	DarlaMeow	102278
122	gabriels543	101422
123	Quincannon	99586
124	6king6colt6	97543
125	jnp_gaming	97315
126	himak1	96918
127	SaucyDark	95039
128	Soplight	95013
129	Windo_licker	94955
130	awesomeoneme	93237
131	WET_WET_WET	92942
132	joethahobo	92367
133	alderban107	92118
134	Comma__	91175
135	The11thDoctor	89847
136	oxfordschool	89273
137	bigstankyy	88520
138	Cocoamallows	87872
139	_TCARREIRA_	85688
140	ssleepless	84671
141	Spenduh	81472
142	xxPipperDipperxx	76418
143	sp00ky_ghost977	74134
144	Hiryu27	72712
145	KG1999	72502
146	Zaridey	72092
147	Njensen7	71680
148	Strangemonkey71	67900
149	EcksDofficial	67755
150	Corbsman	67590
151	lizardfightclub	67474
152	TheSeismicDuck	67365
153	lotarp	66376
154	TheDankPlatypus	66248
155	NoChumpChange	66242
156	RebelAndroid	65631
157	CalebDHawk	64856
158	stavgod	64650
159	eiC_	64250
160	Ssor69	63632
161	KarlKaek	63446
162	Kakolbus	63257
163	r123moore	63121
164	Bandito_Roamer	63081
165	Awyrlas	62925
166	Soap_Bender	62098
167	Fuhrer_Teemo	61032
168	EMC_	60563
168	lcvezra	60563
170	SSytex_X	60531
171	Racengan	60493
172	jcool7	59770
173	Nagasaki_Riku	59442
174	Covalents	59403
175	Gab4101	58566
175	DTwenty	58566
177	Scathra	57891
178	SellyZ	57233
179	jushykins	54599
180	Leyna3	54145
181	Razzgriz	54102
182	_8man	53878
183	Warlord324	53840
184	ElectricDragon81	53803
185	Ecplosive	53375
186	set67	52286
187	lillips	51730
188	obzii	51150
189	RodSerlingCringe	50910
190	FirsTimeGamingTV	50501
191	SpaceGrenadier	50043
192	CrateOfBoxes	49682
193	surfinggiraffejp	49076
194	wezzzi	49039
195	Zedducius	48766
196	Kubelz	48710
197	loveseeker	48685
198	The_slideV3	48037
199	GoofyBread	48033
200	MakeHistory157	47720
201	MeetTheWollo	47587
202	SlayerCrypto	46983
203	NomadicRobin_	46965
204	301851	46524
205	KingMatthew506	46142
206	Vetral1	45795
207	Swexti	45663
208	DemTechAlpha	45620
209	Winston_Ingram	45301
210	Powowowow	45240
211	Sky_light_KING	45145
212	_naturell	44833
213	kinas45y5	44411
214	M_Patata	44376
214	MasterNueve	44376
216	Euclidoris	43914
217	H72l9w	43754
218	SkateboardR6	42868
219	valkam13	42770
220	Karbl	42591
221	_Virify_	42581
222	ayamefag	42578
223	Vorlice	41660
224	fkGrim	41557
225	Xalithia	41538
226	Kim_Jong_eel	41402
227	diamondgolem35	41326
228	Sabby65	41043
