rank	username	minecraft:used/minecraft:blue_carpet
1	YungMaki	33051
2	beeperbeeper5	7894
3	Xclax101	5351
4	Rumpletaezer	4188
5	Smoke____	3337
6	joethahobo	2891
7	Swexti	1488
8	Snowflowe	1216
9	TheSecondLord	957
10	Spacewardharpy7	740
11	MattieHD	541
12	HellsSponge	497
13	TheShyPig	454
14	Legendosh	419
15	kekhon	416
16	mwrty	377
17	h2p_emrld	264
18	Jackattack53	247
18	Njensen7	247
20	Skippeh	243
21	wezzzi	164
22	oxfordschool	163
23	heckface	160
24	RebelAndroid	152
25	noam464	146
26	bloodbiter	135
27	Zoeyfortnite	134
28	buss081	133
29	Merv__	126
30	awesomeoneme	98
30	bruh072	98
30	Soplight	98
30	sebastiensaborio	98
34	500am	91
35	EcksDofficial	87
36	cedric72	79
37	PlasticOtari	78
38	Di_infiri	71
39	Ezekson	70
40	jnp_gaming	64
41	EveryonesUncle	63
42	jcool7	62
43	ShedJr_	61
44	NotTrixi	58
45	DAD_1996	57
45	Meatlaugh	57
47	Blackberry1310	55
48	Mahoose	53
49	BumbleBeever	50
50	Dali1465	48
51	Inbefour	45
52	Kubeusz2010	44
53	KarlKaek	43
54	rarrq	42
55	GlitchyPlate810	36
56	eitanzaki	34
57	Kijiki	33
58	Drewen24	29
59	MrExplorer	28
60	Freak_Genius	27
61	Bandito_Roamer	25
61	The_slideV3	25
61	SSytex_X	25
61	Sral7	25
61	Yogscast_Manden	25
66	xxPipperDipperxx	24
66	TechnoNinja64	24
68	Rich_Kat	22
68	lcvezra	22
70	The_Fulgurator	21
71	pappaberg	19
71	BRRRN179	19
73	Mr_Worthless	18
73	TheMaster972	18
73	cichy096	18
76	Mr_Byzantine	17
76	MethylRadical	17
78	cringenaynaybaby	16
79	Bazongoman	14
80	Dr0xzy	12
81	teslawolf38	10
81	Maenara	10
81	NomadicRobin_	10
81	_Karmaa	10
81	Shogunite	10
86	Drlzyy	9
86	Rox_The_Box	9
86	Cartoonmaniac	9
86	Sparky_KT	9
86	Kubelz	9
86	benediktine1	9
86	stahouo	9
93	GLLogan2	8
93	Blaiku	8
93	Kyrum2169	8
96	Wooptey	7
96	420BreadLizard	7
98	Covalents	6
98	Werbe	6
98	claivin	6
98	Aezekial	6
98	KingMatthew506	6
98	EcksD	6
98	Yahrto	6
105	tsohomie	5
105	r123moore	5
105	xorompole	5
108	Scathra	4
108	thescout7	4
108	M_Patata	4
108	Akoot_	4
108	lordpipe	4
108	MasterNueve	4
108	__tomato	4
115	SteveCraftBlocks	3
115	Winklepicker279	3
115	RobotMinion101	3
115	DarlaMeow	3
115	Blu3beast	3
115	Racengan	3
115	pipejob	3
115	Sheldor097	3
123	IWorkAtIkea	2
123	Z3braYTIL	2
123	chipklip	2
123	xof_on_microwave	2
123	Enderslayerxz3	2
128	ItsColin11	1
128	Volttower	1
128	Flores991	1
128	titanlax	1
128	CaptainBadKid	1
128	fallingemma	1
128	Karetoko	1
128	Ecplosive	1
128	fr_ser	1
128	jedi_george	1
128	Hyp3rion_	1
128	_Boipl_	1
128	ApophisNova	1
128	Syropatathe	1
128	Deathkob	1
128	Danielmoe	1
128	MovingFish7	1
128	aidanwest	1
128	layabout100	1
128	Spenduh	1
128	Hermanni__	1
128	TinyTheMelon	1
128	MyNamaSheff	1
128	diggydog67	1
