rank	username	minecraft:used/minecraft:stone_bricks
1	HellsSponge	497957
2	beeperbeeper5	155409
3	Skylord_Luke	134117
4	Frozil12	117764
5	YungMaki	110553
6	Shogunite	106334
7	Skippeh	103712
8	Smoke____	94556
9	joethahobo	86918
10	Ezekson	78495
11	TheShyPig	61292
12	awesomeoneme	58733
13	EveryonesUncle	58654
14	burbankbuilder28	55305
15	MinttyFressh	46436
16	WyngGoy	40853
17	Kakolbus	28983
18	Arceus1975	26199
19	Werbe	24398
20	TheSecondLord	23436
21	ApophisNova	22788
21	MyNamaSheff	22788
23	Onennon	22620
24	Cowison	22024
25	500am	21489
26	EcksD	20890
27	PigDab	20733
28	TheSeismicDuck	19686
29	_Virify_	19448
30	Freak_Genius	18865
31	Zythose	18688
32	Xalithia	18178
33	Incinere	17904
34	Jackattack53	15475
35	fffMike	15442
36	rarrq	15068
37	pintsizedrogue	14838
38	Inchef	14478
39	Di_infiri	14047
40	RobotMinion101	13898
41	NoChumpChange	13699
42	Warlord324	13039
43	selectrix	12886
44	Swexti	12852
45	El_Jalapeno	12764
46	_Dean_123	12699
47	Jovaphobic	12617
48	Zoeyfortnite	12032
49	SlayerCrypto	12016
50	obzii	11824
51	ShedJr_	11805
52	crying_wolf_13	11637
53	Xclax101	11633
54	MyNameIsJobo	11032
55	EcksDofficial	10990
56	Rumpletaezer	10926
57	noam464	10787
58	jcool7	10494
59	Lord_Jord	10093
60	Blu3beast	9935
61	Sral7	9731
62	NomadicRobin_	9564
63	thescout7	9489
64	ROY4LE	9463
65	gcaisawesome	9375
66	chipklip	9323
67	r123moore	9172
68	Groundler	9016
69	PhantomsGhost_	8983
70	Racengan	8902
71	PlasticOtari	8807
72	Legendosh	8720
73	Bumpy419	8638
74	_Karmaa	8592
75	Akoot_	8479
76	loveseeker	8454
77	Zaridey	8192
78	_Nuf	8026
79	Maenara	7943
80	TheDankPlatypus	7809
81	impossibleteapot	7626
82	TooManyDuck	7334
83	CrateOfBoxes	7079
84	kekhon	6968
85	hcb238	6779
86	eitanzaki	6734
87	RebelAndroid	6650
88	Fullut	6644
89	teslawolf38	6641
90	h2p_emrld	6542
91	H72l9w	6534
92	MightyWertu	6421
93	censorsheep	6252
94	ProfessorDiaper	6161
95	zorin123	6112
96	MissCeleste7	6029
97	Dan_Scha	6005
98	Megarboh	5938
99	Barlycorn	5845
100	Eraxa	5841
101	jacxhadow	5807
102	Euclidoris	5759
103	UrbanPlanner1978	5740
104	lordpipe	5662
