rank	username	minecraft:used/minecraft:lapis_block
1	joethahobo	4566
2	YungMaki	2767
3	Alteriity	1919
4	RebelAndroid	1513
5	RoboTramp7865	928
6	Werbe	920
7	FreakGenius	686
8	AdmiralSmoke	651
9	beeperbeeper5	622
10	Enderxz3	565
11	TheShyPig	556
12	Awyrlas	378
13	Rumpletaezer	367
14	PeteO1995	359
15	mwrty	337
16	Fullut	318
17	Njensen7	279
18	wwwwinnebagoooo	216
19	xolstoi	200
20	Shogunite	195
21	teslawolf38	186
22	lordpipe	168
23	Sral7	148
24	kekhon	147
25	Zaridey	135
26	Powowowow	115
27	Wowful	110
28	EngagedGrub41	99
29	NameGenerat0r	95
30	ratglock	83
30	00000000-0000-0000-0009-01ff0c3e5e4f	83
32	sufjanlover	79
33	gcaisawesome	78
34	cedric72	77
35	RefluxRatio	73
36	Jimb0nat0r	71
37	zToasty69z	69
38	ConnorDanky_	64
39	Merv__	63
40	Xclax101	61
41	olliebollie48	60
42	Jonafrog99	56
43	Segotep999	53
44	PlasticOtari	50
45	Lez_	49
46	fkGrim	42
47	Ezekson	37
48	Kyrum2169	36
48	SammiWolfGirl	36
50	DarlaMeow	31
51	NomadicRobin_	30
52	MattieHD	29
53	Teebone15	27
54	Legendosh	26
55	Mahoose	25
56	MovingFish7	24
57	DAD_1996	22
58	The_slideV3	21
59	Bumpy419	20
60	Blaiku	19
61	Di_infiri	18
62	jessewegottacook	17
62	thewindmillman	17
62	SvenskaSara	17
62	fw3xy74	17
62	Inbefour	17
62	Kowcio_	17
68	oscminus	16
68	SvenskaHugo	16
68	SSytex_X	16
71	pintsizedrogue	15
71	lizardfightclub	15
71	Cavetorch	15
74	Megarboh	14
74	TheDumbHuman	14
76	Mattesco	13
76	AlexxO_o	13
76	Deodorante	13
79	lotarp	12
79	Blackberry1310	12
79	Spacewardharpy7	12
82	shadowthemonkey	11
82	little_dUki	11
82	vandmanden	11
85	WyngGoy	10
86	Napoleonpancake	9
86	Leithz6	9
88	q_wq	8
88	FirsTimeGamingTV	8
88	masskedman	8
88	MakeHistory157	8
92	Groovy_MoonBird	7
92	Frozil20	7
92	I_Am_Mushkin	7
92	GLLogan2	7
92	fluddd	7
92	Burge_r	7
98	j5ylim	6
98	EMC_	6
98	Fuhrer_Teemo	6
98	handsome_strong	6
102	Manaateee	5
102	Barlycorn	5
102	Hisiste	5
102	pixelviolin	5
102	Kubeusz2010	5
107	diamondgolem35	4
107	BlancoFlaco	4
107	Secret_Canary	4
107	PegLegPete93	4
107	AlphaWolfPlaysMC	4
107	The_Quack_Dealer	4
107	_Karmaa	4
107	Druid95	4
107	Weepingbiel	4
116	HoltGrim	3
116	Hyp3rion_	3
116	PigDab	3
116	HellsSponge	3
116	claivin	3
116	weabis	3
116	Smiguli_	3
116	Razzgriz	3
116	bloomkieren	3
116	EcksD	3
126	powercas_gamer	2
126	RatatJuice	2
126	Wooptey	2
126	titanlax	2
126	eviltunix	2
126	Covalents	2
126	Kubelz	2
126	Ecplosive	2
126	hanaryheatwave	2
126	Krowuss	2
126	groofles	2
126	luseis	2
126	Blu3beast	2
126	ItsDeltaMC	2
126	Vellu21	2
126	scarletwarrior1	2
142	Harotio	1
142	SmashingPump	1
142	ssleepless	1
142	Incinere	1
142	eitanzaki	1
142	T045RTY	1
142	MangoTango82	1
142	Jackster03	1
142	Timfinity4	1
142	emrekn	1
142	noam464	1
142	yheece	1
142	MyNameIsJobo	1
142	Rebytre	1
142	selectrix	1
142	BlGChris	1
142	PaperCanvas	1
142	IamCL4SSY	1
142	Akoot_	1
142	audiocracked	1
142	EveryonesUncle	1
142	Katthaj	1
142	TheImperial	1
142	Racengan	1
142	Lunkuku	1
142	Airem_Core	1
142	LordSpeed37	1
142	Soplight	1
142	Spenduh	1
142	lcvezra	1
142	obzii	1
142	Sheldor097	1
142	ZeroKraken	1
142	skrongus	1
