rank	username	minecraft:used/minecraft:dead_fire_coral_block
1	Onennon	1996
2	Legendosh	1131
3	__tomato	54
4	Lord_Jord	41
5	cog	29
6	1442	11
7	_Bguette_	8
8	diamondgolem35	6
9	Jovaphobic	5
9	pintsizedrogue	5
11	burbankbuilder28	4
12	Merv__	3
12	kars0n	3
12	Nicky19	3
15	ImpavidArcher	2
15	Di_infiri	2
15	Skylord_Luke	2
15	ApophisNova	2
15	RobotMinion101	2
15	Akoot_	2
15	Typadopoulos	2
15	MyNamaSheff	2
15	PlasticOtari	2
24	maxdacatv2	1
24	hollowww	1
24	BodaciousCake	1
24	awesomeoneme	1
24	kekhon	1
24	Kamflame10	1
24	ketaminmann	1
24	noam464	1
24	fr_ser	1
24	TheShyPig	1
24	EveryonesUncle	1
24	Jiminie	1
24	Shogunite	1
24	claivin	1
24	Quaintster	1
24	GravitySaint	1
24	DarkLawD	1
24	BlankityMcBlank	1
24	Ezekson	1
24	EcksD	1
24	EcksDofficial	1
