rank	username	minecraft:used/minecraft:grass
1	cedric72	724
2	500am	521
3	lordpipe	483
4	kekhon	382
5	RoskobiOne	380
6	beeperbeeper5	239
7	Jiminie	219
8	obzii	176
9	Blackberry1310	147
10	Legendosh	131
11	Cryptacity	112
12	SokaOtaku	102
13	orxngejuice	92
14	TheSecondLord	83
15	Freak_Genius	78
16	burbankbuilder28	66
16	Enderslayerxz3	66
18	coobert42	64
18	Deliriohm	64
20	_Dean_123	59
21	claivin	58
22	pintsizedrogue	55
23	PlasticOtari	52
24	Airem_Core	51
25	fkGrim	50
26	SaucyDark	48
27	Steelynan	45
28	El_Jalapeno	42
29	H72l9w	36
29	Dogcorn69420	36
31	YungMaki	35
32	hcb238	34
32	Soap_Bender	34
34	Merv__	32
34	Fullut	32
36	smogfrog	30
37	rachcl	29
37	kyouma777	29
37	SammiWolfGirl	29
40	Onennon	27
41	Arceus1975	26
41	epiksk8erduck	26
41	UCP_TheKingK	26
44	gcaisawesome	23
44	Shogunite	23
46	Chromary	19
46	valkam13	19
46	Kubeusz2010	19
49	Frozil12	17
49	Sral7	17
51	MinuteMira	16
51	EcksDofficial	16
53	Natty	15
54	Kkanot	14
54	Snowflowe	14
56	EMC_	12
56	eitanzaki	12
56	TheSeismicDuck	12
56	EveryonesUncle	12
60	I_Am_Mushkin	11
60	Mahoose	11
60	titanlax	11
60	slkiey	11
60	Eraxa	11
65	numbra	10
66	whoaluv	9
66	Luigipunch989	9
66	Nicserso	9
69	Comma__	8
69	CruncyIsTaken	8
69	Racengan	8
69	LordSpeed37	8
73	Drlzyy	7
73	ccormacs	7
73	m_be9	7
73	MattieHD	7
73	_3Stump_	7
78	ShedJr_	6
78	GLLogan2	6
78	Zythose	6
78	Leyna3	6
78	Sky_light_KING	6
78	NomadicRobin_	6
78	MyNameIsDakar	6
85	Sleek_Storm_721	5
85	TheMaster972	5
85	Auseawesome	5
85	Nicky_H225	5
85	Septemb3r	5
85	SlayerCrypto	5
85	thewindmillman	5
85	Hyp3rion_	5
85	regulator75	5
85	Rebytre	5
85	XxCookiequeenxX	5
85	_Bguette_	5
85	DemTechAlpha	5
85	MineMaster0012	5
85	Nekomin0	5
85	Deguns123	5
85	CalebDHawk	5
102	dabloons	4
102	CoffeeNoir	4
102	heckface	4
102	xxPipperDipperxx	4
102	noam464	4
102	AJplaysMC_	4
102	DAD_1996	4
102	Nagasaki_Riku	4
102	MissCeleste7	4
111	SaltineDream	3
111	heysushii	3
111	Adlair	3
111	Gamergirl420628	3
111	M_Patata	3
111	Jackattack53	3
111	Fast_Turtle	3
111	ApophisNova	3
111	RobotMinion101	3
111	ToastedGamingYT	3
111	ebanana	3
111	MasterNueve	3
111	pixelviolin	3
111	lcvezra	3
111	Ernnous	3
111	Ezekson	3
111	MyNamaSheff	3
128	Cowison	2
128	EkkoTraveler	2
128	Lukeee33	2
128	Euclidoris	2
128	r123moore	2
128	__Fanda__	2
128	BronkerBrum	2
128	Werbe	2
128	DarlaMeow	2
128	DarkLawD	2
128	MovingFish7	2
128	PabloGonza02	2
128	Kyrum2169	2
128	mawileite	2
128	Hermanni__	2
128	Vellu21	2
128	laron58	2
128	Quotary	2
128	FGamerJ	2
128	jnp_gaming	2
128	Smoke____	2
149	Bandito_Roamer	1
149	PhantomsGhost_	1
149	livingdaydreams	1
149	ewsophie	1
149	T045RTY	1
149	TAKrules	1
149	joethahobo	1
149	fr0stss	1
149	oreee	1
149	rarrq	1
149	Ozixar	1
149	cowgirlkasia	1
149	Notta	1
149	SteveCraftBlocks	1
149	Smashic	1
149	Kubelz	1
149	Zaridey	1
149	Kakolbus	1
149	Donutt	1
149	thgrocks	1
149	dezxalo	1
149	RodSerlingCringe	1
149	wezzzi	1
149	ogoa	1
149	420BreadLizard	1
149	Inbefour	1
149	_Karmaa	1
149	NameGenerat0r	1
149	Quaintster	1
149	Blu3beast	1
149	Blaiku	1
149	Xovalt_	1
149	sp00ky_ghost977	1
149	bloomkieren	1
149	starbits140	1
149	__tomato	1
149	SSytex_X	1
149	TheALV	1
149	KingMatthew506	1
149	SirBreadward	1
149	2blox	1
149	TechnoNinja64	1
149	Yahrto	1
149	MelodyGaysharks	1
