rank	username	minecraft:used/minecraft:deepslate_tile_stairs
1	500am	3498
2	rarrq	2111
3	Hyp3rion_	1701
4	00000000-0000-0000-0009-01ff0c3e5e4f	1151
5	Winklepicker279	847
6	Ezekson	844
7	pixelviolin	827
8	Mattesco	794
9	ImpavidArcher	792
10	Skylord_Luke	766
11	TheSecondLord	764
12	LeauVox4921	760
13	Spacewardharpy7	677
14	thewindmillman	663
15	RoskobiOne	497
16	kyouma777	403
17	Kowcio_	335
18	Jeteight	325
19	RebelAndroid	307
20	fade_emerge78823	262
21	Sleepy_Time_	252
22	PigDab	200
23	Jackattack53	198
24	MinttyFressh	184
25	hm947	176
26	Megarboh	158
27	pintsizedrogue	148
28	PlasticOtari	135
29	ZaneABrain	116
30	Jiminie	108
31	Lord_Doob	102
32	Blackberry1310	96
33	Smoke____	91
34	YungMaki	87
35	Methalox1	68
36	beeperbeeper5	66
37	EMC_	60
38	Merv__	58
39	12Magner05	46
39	fluddd	46
41	joethahobo	43
42	Mahoose	41
43	_Boipl_	35
44	sp00ky_ghost977	34
45	Marbz_	25
46	Ryker	24
47	microcrisp	20
48	The_Fulgurator	14
49	Inchef	10
50	RadarHz	9
51	Legendosh	6
52	Solar_Power	5
53	Arceus1975	4
53	CalebDHawk	4
55	Wowful	3
55	Steelynan	3
55	Enderslayerxz3	3
58	StinkyDiplomat	2
58	lordpipe	2
60	91stCataclysm	1
60	Fuad_R	1
60	Spenduh	1
60	mobunni	1
