rank	username	minecraft:used/minecraft:totem_of_undying
1	Werbe	134
2	noam464	95
3	stahouo	65
4	Segotep999	53
5	Sral7	48
6	Soplight	41
7	YungMaki	28
8	eitanzaki	27
9	dimondking777	23
10	12Magner05	22
10	kekhon	22
12	thewindmillman	16
12	KG1999	16
14	xxPipperDipperxx	15
15	RebelAndroid	13
16	Eraxa	12
17	Vizzoid	11
17	zylanzagreat	11
17	EcksD	11
20	Jackattack53	9
20	Spacewardharpy7	9
22	Historical_Sand	8
22	Da_Boss_Rani	8
22	Blaiku	8
25	Fullut	7
25	stavgod	7
27	FirsTimeGamingTV	6
27	rarrq	6
27	lordpipe	6
27	HesDemonPants	6
31	beeperbeeper5	5
31	egglapras	5
31	fw3xywashere	5
31	NameGenerat0r	5
31	sp00ky_ghost977	5
36	error10101	4
36	NinjaKnifeKill	4
36	Mahoose	4
36	alderban107	4
36	Smoke____	4
41	_Virify_	3
41	EMC_	3
41	Sleek_Storm_721	3
41	ImpavidArcher	3
41	Alteriity	3
41	joethahobo	3
41	Blackberry1310	3
41	_Dean_123	3
41	Smashic	3
41	mwrty	3
41	emrekn	3
41	Inchef	3
41	gabriels543	3
41	Truckoss	3
41	KliBeast21	3
41	Akoot_	3
41	Inbefour	3
41	HellsSponge	3
41	Nycteus_	3
41	WyngGoy	3
41	UrbanPlanner1978	3
41	PlasticOtari	3
63	mix9ine_maz	2
63	Drlzyy	2
63	Merv__	2
63	teslawolf38	2
63	I_Am_Mushkin	2
63	Freebolt	2
63	ROY4LE	2
63	XboxPanda	2
63	ImDisconnected_	2
63	Di_infiri	2
63	SuperPooch06	2
63	Hyp3rion_	2
63	Rocco_Lane	2
63	fred870d	2
63	lillips	2
63	claivin	2
63	Frozil12	2
63	fluddd	2
63	lcvezra	2
63	jcool7	2
63	Hermanni__	2
63	FelixPSY375	2
63	Enderslayerxz3	2
86	TheBiggestFeller	1
86	pintsizedrogue	1
86	Mr_Byzantine	1
86	PhantomsGhost_	1
86	Jackywho	1
86	diamondgolem35	1
86	jessemgaming	1
86	bigstankyy	1
86	Incinere	1
86	jimintyy	1
86	Natty	1
86	AlazelTheReal	1
86	MSK__	1
86	Frxnkz	1
86	TheSecondLord	1
86	Comma__	1
86	MinttyFressh	1
86	500am	1
86	Z3braYTIL	1
86	IforgotCS_Source	1
86	NotTrixi	1
86	Xalithia	1
86	r123moore	1
86	KingEgg1	1
86	Freeman666	1
86	Chromary	1
86	Rebytre	1
86	Onennon	1
86	Mattesco	1
86	TTNG	1
86	sammidk	1
86	HolyVenom	1
86	nice_try_sir	1
86	ese_wn_po	1
86	EveryonesUncle	1
86	chipklip	1
86	Freak_Genius	1
86	Blu3beast	1
86	Steven1282598	1
86	Warlord324	1
86	SkateboardR6	1
86	Nagasaki_Riku	1
86	TheEnderman548	1
86	pixelviolin	1
86	AssFullaCum	1
86	Kyrum2169	1
86	BlankityMcBlank	1
86	__tomato	1
86	GlitchyPlate810	1
86	obzii	1
86	Winston_Ingram	1
86	TheOuterCore	1
86	Skippeh	1
86	Ezekson	1
86	Nicserso	1
86	Weepingbiel	1
86	jnp_gaming	1
86	TechnoNinja64	1
86	kinas45y5	1
86	aubergined	1
86	JayToe	1
86	h2p_emrld	1
