rank	username	minecraft:used/minecraft:acacia_planks
1	beeperbeeper5	18537
2	Franco093	10362
3	Smoke____	5479
4	Soul_Atreus	1601
5	Bandito_Roamer	1507
6	ApophisNova	1308
6	MyNamaSheff	1308
8	Meatlaugh	1302
9	EveryonesUncle	1269
10	KarlKaek	1250
11	Zaridey	1241
12	2Stout	1124
13	Doom_melon	1022
13	Powowowow	1022
15	r123moore	957
16	jewbacaman	950
17	Hoid_the_Roamer	938
18	TheSeismicDuck	911
19	YungMaki	882
20	El_Jalapeno	738
21	Blackberry1310	734
22	Groovy_MoonBird	732
23	thgrocks	718
24	youhjjhhhjj	712
25	Werbe	615
26	Onennon	595
27	Seindi	547
28	AnnieBathory	542
29	set67	507
30	eitanzaki	440
31	mariominejedi	435
32	LeeMcGee30	401
33	Groundler	395
34	Mahoose	386
35	ProfessorBee	346
36	Mowelan	344
37	TJawesome09	337
38	TechnoNinja64	321
39	DeGodz4life	309
40	ChillenChiggen	288
40	Mattesco	288
42	Chuvacevedo	284
43	Spacewardharpy7	279
44	JESS_THE_RERE	278
45	Soplight	260
46	m_be9	259
47	ProfessorDiaper	254
48	peach0s	252
49	Inbefour	236
50	560cool	227
51	Shogunite	220
52	CueMix	213
53	Toowny	200
54	Fractured_	198
55	Barlycorn	195
56	KlausVonStiglitz	186
57	TheShyPig	185
58	lilsay	178
59	Freak_Genius	172
60	Mr_Byzantine	163
61	ThePoliteG	160
61	Steelynan	160
63	himak1	155
64	KillerNekoRain	151
65	IAmTheWalrus910	147
66	EMC_	142
66	starbits140	142
68	kekhon	139
69	PlasticPrinter	130
70	smogfrog	125
70	Enderslayerxz3	125
72	pintsizedrogue	120
73	Ezekson	119
74	titanlax	111
75	Lowjinx	109
76	_beep_boop	108
77	Ozixar	105
77	Kakolbus	105
77	oxfordschool	105
80	Winklepicker279	101
81	Vellu21	98
82	MeanTugger	96
83	ItsDeltaMC	94
84	ROY4LE	92
85	AgressiveEggdog	91
86	xXTheWolfmanXx	89
87	Blaiku	88
88	Swalt	87
89	EcksDofficial	84
90	FlackoJonah	83
90	_Karmaa	83
90	Reocee	83
90	_czarny	83
94	DennyKai	82
95	dopplexd	78
95	Killtroxx	78
95	Frozil12	78
98	DAD_1996	77
98	xX_Stalin69_Xx	77
100	FreddyFart	74
101	ibarker21	73
102	Pazantine	68
103	King_Pancake1	66
104	wickedword	65
104	Sral7	65
106	TheSecondLord	64
106	Phanthium	64
108	Skylord_Luke	63
108	NameGenerat0r	63
110	Inchef	62
110	fr_ser	62
112	Drlzyy	60
112	SammiWolfGirl	60
112	KingMatthew506	60
115	stellarjay	57
115	h2p_emrld	57
117	ShedJr_	56
118	TiborSterle	55
118	C0oOK13M0N5T3R	55
120	FemboyFwuit	54
120	tsitrawhy	54
122	Moetis	50
123	FishyBoy3811	49
124	Racengan	47
125	HellsSponge	46
126	561cool	45
127	MeowMeowMcmuffin	43
128	Quaintster	42
129	egglapras	41
129	fffMike	41
131	ManOShway	40
132	MattieHD	39
133	funeralhome	38
133	BlueZabu	38
135	Fullut	37
135	hayybails	37
135	duqboy	37
135	kinas45y5	37
139	Jackster03	35
140	switchNat	33
140	MousePlays	33
142	Hanselhoof	30
142	PlasticOtari	30
144	Merv__	28
144	nocturne78	28
144	500am	28
144	Snowflowe	28
144	WarMachina	28
144	DarlaMeow	28
144	MAns_44	28
151	lordpipe	27
152	PhantomsGhost_	26
153	Kamflame10	25
153	MustardDrinker	25
153	Chayula	25
156	planc_	24
156	Khelvoryk	24
156	DirtyBoar	24
156	Steven1282598	24
160	hm947	23
160	SvenskaHugo	23
162	Ilinca_Io	22
162	kars0n	22
162	JayToe	22
162	Schlitzman	22
166	rpmm	21
166	PojkenJesper	21
166	MineMaster0012	21
169	Euclidoris	20
169	Rich_Kat	20
171	loveseeker	19
172	_Dean_123	18
173	Mocha_Mug	17
173	ImpavidArcher	17
173	Hpdinosaur	17
173	Vizzoid	17
173	PortlyPete69	17
173	ItsJunoIGuess	17
179	Optiprimus	15
179	YoshikageBites	15
181	ItsAki_	14
181	Lord_Zacler	14
181	Dreamdbr14	14
184	Toriankel	13
185	CoffeeNoir	12
185	Ardennes	12
185	o0z	12
