rank	username	minecraft:used/minecraft:dark_oak_fence
1	TheShyPig	5417
2	500am	5260
3	Shogunite	4348
4	Blackberry1310	3596
5	Merv__	2795
6	beeperbeeper5	2744
7	pintsizedrogue	2629
8	Frozil20	2536
9	Dusk_95	2193
10	joethahobo	1814
11	m_be9	1789
12	rarrq	1720
13	ROY4LE	1525
14	HellsSponge	1236
15	FreakGenius	1217
16	Groovy_MoonBird	1118
17	burbankbuilder28	1075
18	Deguns123	1070
18	ConnorDanky_	1070
20	RatatJuice	1005
21	KingMatthew506	971
22	Mahoose	913
23	jacxhadow	902
24	TheDankPlatypus	887
25	Russiancat1	873
26	jnp_gaming	849
27	EMC_	838
28	luseis	824
29	kekhon	765
30	Njensen7	706
31	NormanFetus	705
32	GingerNeutron	666
33	xxPipperDipperxx	603
34	Onennon	594
35	Incinere	591
36	brycepants	583
36	xolstoi	583
38	El_Jalapeno	576
39	Fullut	562
40	Touched_Bread	529
41	Stiar	528
42	avalan64	527
43	EveryonesUncle	523
44	CattSoup	514
45	AlphaWolfPlaysMC	491
46	pixelviolin	469
47	AnnieBathory	458
48	TheSecondLord	455
49	SaucyDark	451
50	Soplight	437
51	Steelynan	433
52	Biites	429
53	chlorinex	404
54	RebelAndroid	395
55	Ecplosive	375
55	Kateesaur	375
57	orxngejuice	371
58	Cortexia	360
59	Esme_1	359
60	wezzzi	339
61	intropass	309
62	Ezekson	308
63	r123moore	307
64	Barlycorn	301
65	Werbe	300
65	censorsheep	300
67	SyntheticSurgeon	297
68	IdeallyGrey	296
69	XxCookiequeenxX	293
70	Skippeh	285
71	PortlyPete69	281
72	The11thDoctor	266
73	Bandito_Roamer	265
73	M_Patata	265
73	MasterNueve	265
76	ImpavidArcher	259
77	MightyWertu	258
78	Nicky_H225	255
79	Huwulling	253
80	MyNameIsJobo	252
81	Winklepicker279	251
82	lcvezra	248
83	Lez_	246
84	Notta	240
85	Alteriity	225
86	MindyDooWho	223
86	impossibleteapot	223
88	MattieHD	219
89	thescout7	217
90	Jakobo1337	204
91	ZoomieZoomie	198
92	dongli	192
92	titanlax	192
94	DinoDoctor_	190
95	MakeHistory157	179
96	eviltunix	177
97	Yirtle	175
97	Legendosh	175
99	Eraxa	170
100	LeauVox4921	169
101	Bolete	168
101	_Karmaa	168
103	lillips	166
104	Scathra	165
104	Matorz	165
106	bruh072	164
107	catandmoose	159
108	6king6colt6	158
108	Smoke____	158
110	LordSpeed37	155
111	teslawolf38	151
111	CoffeeNoir	151
113	TheOnlyRake	146
113	PlasticOtari	146
115	AngalexikCZ	143
116	Flores991	141
117	SammiWolfGirl	140
118	brofrickcheaters	138
119	Lord_Jord	137
119	MyNameIsDakar	137
121	MinttyFressh	136
122	yulgur1	134
122	fluddd	134
122	Racengan	134
125	noam464	133
125	Akoot_	133
125	Wowful	133
125	yoyoYoloMonke	133
129	FirsTimeGamingTV	132
129	fffMike	132
131	benediktine1	129
131	NameGenerat0r	129
133	livingdaydreams	128
134	Inchef	126
134	groofles	126
136	RohnJosin	121
137	Nycteus_	117
138	Paint	116
138	BartekB19	116
