rank	username	minecraft:used/minecraft:dark_oak_fence
1	TheShyPig	5417
2	500am	5260
3	Shogunite	4348
4	Blackberry1310	3596
5	Merv__	2771
6	beeperbeeper5	2743
7	pintsizedrogue	2629
8	Frozil20	2536
9	Dusk_95	2193
10	joethahobo	1814
11	m_be9	1789
12	rarrq	1720
13	ROY4LE	1525
14	HellsSponge	1236
15	Freak_Genius	1217
16	Groovy_MoonBird	1118
17	burbankbuilder28	1075
18	Deguns123	1070
18	oxfordschool	1070
20	RatatJuice	1005
21	KingMatthew506	971
22	Mahoose	913
23	jacxhadow	902
24	TheDankPlatypus	887
25	Russiancat1	873
26	jnp_gaming	849
27	EMC_	828
28	Jiminie	806
29	kekhon	765
30	Njensen7	706
31	NormanFetus	705
32	GingerNeutron	666
33	xxPipperDipperxx	603
34	Onennon	594
35	Incinere	591
36	brycepants	583
36	EcksDofficial	583
38	El_Jalapeno	576
39	Fullut	562
40	Touched_Bread	529
41	Stiar	528
42	avalan64	527
43	EveryonesUncle	523
44	CattSoup	514
45	AlphaWolfPlaysMC	491
46	pixelviolin	469
47	AnnieBathory	458
48	TheSecondLord	455
49	SaucyDark	451
50	Soplight	437
51	Steelynan	433
52	YoshikageBites	429
53	chlorinex	404
54	RebelAndroid	395
55	Ecplosive	375
55	Kateesaur	375
57	orxngejuice	371
58	Cortexia	360
59	Dedalus36	359
60	wezzzi	339
61	intropass	309
62	Ezekson	308
63	r123moore	307
64	Barlycorn	301
65	Werbe	300
65	censorsheep	300
67	SyntheticSurgeon	297
68	IdeallyGrey	296
69	XxCookiequeenxX	293
70	Skippeh	285
71	PortlyPete69	281
72	The11thDoctor	266
73	Bandito_Roamer	265
73	M_Patata	265
73	MasterNueve	265
76	ImpavidArcher	259
77	MightyWertu	258
78	Nicky_H225	255
79	MyNameIsJobo	252
80	Winklepicker279	251
81	lcvezra	248
82	Lez_	245
83	Notta	240
84	Huwulling	233
85	Alteriity	225
86	MindyDooWho	223
86	impossibleteapot	223
88	MattieHD	219
89	thescout7	217
90	YungJakobo	204
91	ZoomieZoomie	198
92	dongli	192
92	titanlax	192
94	DinoDoctor_	190
95	MakeHistory157	179
96	eviltunix	177
97	Nach0Bear	175
97	Legendosh	175
99	Eraxa	170
100	LeauVox4921	169
101	Bolete	168
101	_Karmaa	168
103	lillips	166
104	Scathra	165
104	Matorz	165
106	bruh072	164
107	6king6colt6	158
107	Smoke____	158
109	LordSpeed37	155
110	teslawolf38	151
110	CoffeeNoir	151
112	TheOnlyRake	146
112	PlasticOtari	146
114	AngalexikCZ	143
115	Flores991	141
116	SammiWolfGirl	140
117	brofrickcheaters	138
118	Lord_Jord	137
118	MyNameIsDakar	137
120	MinttyFressh	136
121	yulgur1	134
121	fluddd	134
121	Racengan	134
124	noam464	133
124	Akoot_	133
124	Wowful	133
124	yoyoYoloMonke	133
128	FirsTimeGamingTV	132
129	benediktine1	129
129	NameGenerat0r	129
131	livingdaydreams	128
132	Inchef	126
132	groofles	126
134	RohnJosin	121
135	Nycteus_	117
136	Paint	116
137	_Razar	113
138	Euclidoris	112
