rank	username	minecraft:used/minecraft:music_disc_stal
1	chipklip	230
2	Blackberry1310	196
3	kekhon	189
4	BlankityMcBlank	95
5	lcvezra	94
6	claivin	67
7	Soplight	61
8	Werbe	58
9	eitanzaki	56
10	Legendosh	54
11	CalebDHawk	53
12	Eraxa	52
13	TheTrueClipse	38
14	Fullut	34
15	Blu3beast	28
16	YungMaki	27
16	Steelynan	27
18	Inchef	24
19	Nagasaki_Riku	22
20	ImpavidArcher	21
20	RobotMinion101	21
20	DarlaMeow	21
20	Njensen7	21
24	Incinere	20
25	ProfessorBee	19
26	Akoot_	17
26	jnp_gaming	17
28	jcool7	14
28	Hermanni__	14
30	_HoneySlime_	13
30	Blaiku	13
30	stellarjay	13
33	ShedJr_	12
33	Euclidoris	12
35	12Magner05	11
35	_Bguette_	11
37	_Dean_123	10
37	ReverendSmith	10
37	PlasticOtari	10
37	kinas45y5	10
41	Mahoose	9
41	H72l9w	9
41	NameGenerat0r	9
44	Historical_Sand	8
44	Dyosy	8
44	Jackattack53	8
44	Skylord_Luke	8
44	CruncyIsTaken	8
44	stahouo	8
44	alderban107	8
51	seanitoo	7
51	Merv__	7
51	Candad_	7
51	Kowcio_	7
51	2blox	7
56	pintsizedrogue	6
56	Frozil20	6
56	joethahobo	6
56	Guillemet	6
56	TechnoNinja64	6
61	PhantomsGhost_	5
61	teslawolf38	5
61	TheSecondLord	5
61	Kamflame10	5
61	ROY4LE	5
61	noam464	5
61	thgrocks	5
61	Kijiki	5
61	SammiWolfGirl	5
61	obzii	5
61	Ezekson	5
61	MeetTheWollo	5
73	6king6colt6	4
73	xXTheWolfmanXx	4
73	CoffeeNoir	4
73	SteveCraftBlocks	4
73	thescout7	4
73	JitteryJared2	4
73	Onennon	4
73	ese_wn_po	4
73	Bloo2406	4
73	WyngGoy	4
83	neurotic_a	3
83	Hpdinosaur	3
83	Natty	3
83	DTwenty	3
83	YungWali	3
83	Quaintster	3
83	Kyrum2169	3
83	oxfordschool	3
83	EcksDofficial	3
83	Smoke____	3
93	abramgray	2
93	bigstankyy	2
93	T045RTY	2
93	beeperbeeper5	2
93	Ssor69	2
93	rarrq	2
93	Comma__	2
93	500am	2
93	PegLegPete93	2
93	SuperPooch06	2
93	Chromary	2
93	Rumpletaezer	2
93	Arceus1975	2
93	Hyp3rion_	2
93	RodSerlingCringe	2
93	Maenara	2
93	Lord_Jord	2
93	Deodorante	2
93	Deathkob	2
93	C0oOK13M0N5T3R	2
93	Racengan	2
93	SingedBread	2
93	lordpipe	2
93	Godspirit249	2
93	Spenduh	2
93	MilleGrug	2
93	RadarHz	2
93	Nicserso	2
121	Groovy_MoonBird	1
121	susbakaimpostor	1
121	Jorrdi	1
121	lewieinnit	1
121	I_Am_Mushkin	1
121	chimpmunker	1
121	diamondgolem35	1
121	Dedalus36	1
121	AES784	1
121	ZaneABrain	1
121	Prismyst	1
121	FirsTimeGamingTV	1
121	Prodiginus	1
121	Mercadies	1
121	CliffEmAll	1
121	Nicky_H225	1
121	Ardennes	1
121	o0z	1
121	Kkanot	1
121	set67	1
121	Sea_Boar	1
121	Awyrlas	1
121	Diavri	1
121	r123moore	1
121	mariominejedi	1
121	SullyhS	1
121	fr_ser	1
121	XLIFluid	1
121	Hoxy	1
121	Di_infiri	1
121	burbankbuilder28	1
121	tobinwilliams	1
121	BronkerBrum	1
121	Rebytre	1
121	The11thDoctor	1
121	Truckoss	1
121	Waffleman258	1
121	binman420	1
121	NomadicRobin_	1
121	Jiminie	1
121	the_russell1611	1
121	DemTechAlpha	1
121	HellsSponge	1
121	_Karmaa	1
121	StinkyDiplomat	1
121	TiborSterle	1
121	Juk3b0x	1
121	Templar_David	1
121	Hisiste	1
121	IAmTheWalrus910	1
121	Cocoamallows	1
121	layabout100	1
121	SexcMf	1
121	IdeallyGrey	1
121	ediballbearings	1
121	PlzNoBM	1
121	xX_Stalin69_Xx	1
121	Dreamdbr14	1
121	FGamerJ	1
121	Powowowow	1
121	JayToe	1
121	h2p_emrld	1
121	00000000-0000-0000-0009-01f6557d802a	1
