rank	username	minecraft:used/minecraft:white_dye
1	Hyp3rion_	776
2	pintsizedrogue	276
3	Merv__	133
4	Marbz_	110
5	weabis	47
6	xxPipperDipperxx	45
7	Jackattack53	41
7	Mattesco	41
7	Jimb0nat0r	41
10	500am	40
11	wwwwinnebagoooo	33
12	TheSecondLord	30
12	KeruNatsema	30
14	Lord_Jord	29
15	thewindmillman	25
15	IdeallyGrey	25
17	UCP_TheKingK	24
18	Kowcio_	23
19	Mr_Byzantine	19
19	Huwulling	19
21	Legendosh	17
22	Smashic	16
23	olliebollie48	15
24	SteveCraftBlocks	13
24	Fuad_R	13
26	luseis	12
27	joethahobo	11
27	WYFYoyo	11
29	Skylord_Luke	9
29	SammiWolfGirl	9
31	Smoke____	7
32	RoskobiOne	6
32	Mahoose	6
32	Spacewardharpy7	6
35	diamondgolem35	5
35	Crowman1	5
35	bearlystraight	5
38	FazeObama69	4
38	12Magner05	4
38	Kakolbus	4
41	q_wq	3
41	Flores991	3
41	TAKrules	3
41	Myszoaz	3
41	KartivGal	3
41	binman420	3
41	SingedBread	3
41	lordpipe	3
41	CheifJumbo	3
41	pixelviolin	3
51	Apollo_993	2
51	EMC_	2
51	Da_Boss_Rani	2
51	Blackberry1310	2
51	2Stout	2
51	prizm_	2
51	fluddd	2
51	iSammael	2
51	Ze_BaronKrigler	2
51	SvenskaHugo	2
51	MineMaster0012	2
51	EcksD	2
63	SmashingPump	1
63	Pofen	1
63	corvidpartyfor6	1
63	Inchef	1
63	noam464	1
63	Arceus1975	1
63	Rebytre	1
63	NomadicRobin_	1
63	lillips	1
63	GoofySilly	1
63	Mythic1130	1
63	YungMaki	1
63	Soplight	1
63	TheALV	1
63	Eczbek	1
63	Aryamanee	1
63	ConnorDanky_	1
63	PlasticOtari	1
