rank	username	minecraft:used/minecraft:acacia_door
1	beeperbeeper5	178
2	KingMatthew506	111
3	r123moore	63
4	Steelynan	48
5	Smoke____	47
6	joethahobo	45
7	Maenara	43
8	youhjjhhhjj	36
9	LeeMcGee30	31
10	Mr_Byzantine	27
11	thewindmillman	23
12	Groovy_MoonBird	20
13	6king6colt6	18
13	loveseeker	18
13	AJplaysMC_	18
16	Hoid_the_Roamer	17
16	Enderslayerxz3	17
18	EMC_	16
19	himak1	15
20	WET_WET_WET	14
20	mountaingirl311	14
20	EcksDofficial	14
23	pintsizedrogue	13
23	TheSeismicDuck	13
23	EveryonesUncle	13
23	Dusk_95	13
27	Mowelan	12
27	KarlKaek	12
27	Winklepicker279	12
27	Werbe	12
27	mawileite	12
32	Mahoose	11
32	dopplexd	11
32	YungMaki	11
32	561cool	11
36	Kakolbus	10
36	Snowflowe	10
38	ShedJr_	9
38	PlasticPrinter	9
38	DirtyBoar	9
38	Inbefour	9
38	MyNameIsDakar	9
43	Megarboh	8
43	Kim_Jong_eel	8
43	chipklip	8
43	560cool	8
43	xX_Stalin69_Xx	8
43	Kubeusz2010	8
43	EcksD	8
50	CueMix	7
50	SaucyDark	7
50	Historical_Sand	7
50	ProfessorBee	7
50	lilsay	7
50	Chuvacevedo	7
50	eSpawNa	7
50	Jiminie	7
50	Toriankel	7
59	Blackberry1310	6
59	Zaridey	6
59	MustardDrinker	6
59	SingedBread	6
59	Lowjinx	6
59	zmpeg	6
65	dudcreeper	5
65	ImpavidArcher	5
65	Hpdinosaur	5
65	set67	5
65	ApophisNova	5
65	ILoveCarrot	5
65	Deodorante	5
65	Blaiku	5
65	tartanboy	5
65	MyNamaSheff	5
65	JayToe	5
76	MattieHD	4
76	Fullut	4
76	2Stout	4
76	hayybails	4
76	noam464	4
76	FennYuzuna	4
76	Hyp3rion_	4
76	KillerNekoRain	4
76	duqboy	4
76	fkGrim	4
76	Blu3beast	4
76	layabout100	4
76	Soul_Atreus	4
89	Merv__	3
89	baxteerr	3
89	eitanzaki	3
89	Vizzoid	3
89	ThePoliteG	3
89	Ardennes	3
89	TheShyPig	3
89	Ajax6	3
89	Meatlaugh	3
89	HellsSponge	3
89	Freak_Genius	3
89	Factoroni	3
89	stellarjay	3
89	Ezekson	3
89	smogfrog	3
104	HBA00_	2
104	Ilinca_Io	2
104	the_fireminer	2
104	peach0s	2
104	Fractured_	2
104	Rich_Kat	2
104	thescout7	2
104	mariominejedi	2
104	DeeDeeThonk	2
104	MousePlays	2
104	MeanTugger	2
104	Leyna3	2
104	AuroraSkies	2
104	Toowny	2
104	sp00ky_ghost977	2
104	cum_chalice	2
104	underscore_2	2
104	Spenduh	2
104	Vellu21	2
104	Legendosh	2
124	Drlzyy	1
124	hm947	1
124	FlackoJonah	1
124	m_be9	1
124	egglapras	1
124	brrh	1
124	benediktine1	1
124	Doom_melon	1
124	King_Pancake1	1
124	MisterKanister	1
124	Lord_Jord	1
124	twinkel_star24	1
124	Katthaj	1
124	DarlaMeow	1
124	Frnjokl	1
124	Shogunite	1
124	lordpipe	1
124	MakeHistory157	1
124	OG_Songsee	1
124	bloomkieren	1
124	Chayula	1
124	starbits140	1
124	PortlyPete69	1
124	GlitchyPlate810	1
124	Seindi	1
124	Dreamdbr14	1
124	Hermanni__	1
124	Dr0xzy	1
124	oxfordschool	1
124	Sral7	1
124	h2p_emrld	1
