rank	username	minecraft:used/minecraft:trident
1	Hyp3rion_	60371
2	Ezekson	36603
3	noam464	27185
4	Mahoose	16815
5	12Magner05	16108
6	NameGenerat0r	12605
7	thewindmillman	12596
8	Frozil20	11942
9	Akoot_	10160
10	Fullut	10085
11	eitanzaki	9216
12	pixelviolin	8707
13	Steelynan	8115
14	YungMaki	7698
15	rarrq	6900
16	ImpavidArcher	6854
17	thescout7	6355
18	Enderslayerxz3	6014
19	Eraxa	6008
20	beeperbeeper5	5960
21	EcksD	5842
22	Onennon	5710
23	Merv__	5518
24	Rebytre	5165
25	Smoke____	5131
26	T045RTY	5020
27	_Bguette_	4951
28	Jackattack53	4879
29	SaucyDark	4722
30	obzii	4624
31	_Dean_123	4576
32	Soplight	4175
33	Chromary	4081
34	_TCARREIRA_	3924
35	chipklip	3813
36	Blaiku	3781
37	Hiryu27	2974
38	calamariclam_I	2931
39	DarlaMeow	2924
40	Spenduh	2814
41	Di_infiri	2755
42	Zythose	2744
43	m_be9	2707
44	Arceus1975	2673
45	claivin	2647
46	Blackberry1310	2562
47	MightyWertu	2555
48	PhantomsGhost_	2534
49	TheSecondLord	2524
50	Groovy_MoonBird	2473
51	diamondgolem35	2355
52	fw3xywashere	2283
53	Fuhrer_Teemo	2237
54	jcool7	2098
55	kekhon	2026
56	HyperCave	1962
57	500am	1948
58	Fuad_R	1940
59	Eczbek	1908
60	TheDankPlatypus	1890
61	egglapras	1858
62	Snowflowe	1844
62	Skippeh	1844
64	Da_Boss_Rani	1802
65	titanlax	1792
66	fluddd	1751
67	Quaintster	1682
68	ItsDeltaMC	1628
69	ProbsNotNova	1624
70	PortlyPete69	1584
71	Drlzyy	1571
72	groofles	1559
73	TechnoNinja64	1540
74	microcrisp	1519
75	gabriels543	1514
76	itburb	1505
77	Marbz_	1500
78	Auseawesome	1493
79	Deathkob	1454
80	hm947	1453
81	Werbe	1439
82	2blox	1425
83	Legendosh	1344
84	h2p_emrld	1342
85	Iagoku	1329
85	Dusk_95	1329
87	MakeHistory157	1327
88	LeGold	1305
89	AuroraValkyrie	1288
90	FirsTimeGamingTV	1214
91	AssFullaCum	1171
92	Reamdin	1130
93	CoffeeNoir	1116
94	MeetTheWollo	1113
95	Chickenchaser2	1093
96	sp00ky_ghost977	1092
97	HesDemonPants	1086
98	Blu3beast	1077
99	Myszoaz	1075
100	Spacewardharpy7	1073
101	Sky_light_KING	1069
102	Nycteus_	1043
103	MovingFish7	1036
104	Segotep999	1000
105	stahouo	966
106	_Virify_	924
106	AlexxO_o	924
108	Hoid_the_Roamer	914
109	Soap_Bender	904
110	Sral7	889
111	MinttyFressh	882
112	fkGrim	853
113	EcksDofficial	819
114	PlasticOtari	763
115	00000000-0000-0000-0009-01f898304150	758
116	6king6colt6	745
117	Jovaphobic	738
117	jushykins	738
119	JayToe	720
120	Covalents	679
121	Rocco_Lane	673
122	lillips	670
123	SwooshBoi	668
124	dimondking777	667
125	Voxin2K	662
126	KartivGal	654
127	fred870d	649
128	WyngGoy	627
129	ZaneABrain	626
130	Flapjacker687	622
131	SvenskaAlvar	619
132	Freak_Genius	618
133	Xclax101	580
134	33sudo	576
