rank	username	minecraft:used/minecraft:flowering_azalea
1	Smoke____	185
2	PlasticOtari	84
3	beeperbeeper5	82
4	TheSecondLord	71
4	Hyp3rion_	71
6	sebastiensaborio	50
7	pintsizedrogue	35
8	Enderslayerxz3	31
9	Mahoose	27
10	_Boipl_	25
11	EveryonesUncle	24
12	Tommhh	22
13	lordpipe	19
14	Marbz_	18
15	xxPipperDipperxx	17
16	500am	16
17	Gamergirl420628	15
18	eitanzaki	14
18	CoffeeNoir	14
18	PigDab	14
18	Legendosh	14
22	SammiWolfGirl	12
23	12Magner05	11
23	AuroraSkies	11
25	_stets	10
25	NomadicRobin_	10
25	Segotep999	10
25	WYFYoyo	10
29	ImpavidArcher	9
30	orxngejuice	8
30	Kakolbus	8
30	MineMaster0012	8
30	EtherealEspresso	8
30	Quotary	8
30	AltnumberF4	8
36	noam464	7
37	Drlzyy	6
37	thewindmillman	6
37	Jiminie	6
40	EMC_	5
40	SlayerCrypto	5
40	SvenskaHugo	5
40	Kowcio_	5
44	TJawesome09	4
45	rachcl	3
45	Inchef	3
45	Arceus1975	3
45	Nycteus_	3
45	TheEnderman548	3
50	Merv__	2
50	JingleLizi	2
50	MSK__	2
50	himak1	2
50	SuperPooch06	2
50	Rebytre	2
50	HyperCave	2
50	lizardfightclub	2
50	Deathkob	2
50	Vegvisir	2
50	Spacewardharpy7	2
50	YungMaki	2
50	Kekoo	2
63	soundad	1
63	Flores991	1
63	Winklepicker279	1
63	Rocco_Lane	1
63	The_Fulgurator	1
63	floodjon	1
63	DubDoesGams	1
63	MAns_44	1
63	Soplight	1
63	2blox	1
63	_Dri_	1
