rank	username	minecraft:used/minecraft:poppy
1	Groovy_MoonBird	1759
2	beeperbeeper5	1568
3	cedric72	1408
4	fffMike	1021
5	TheShyPig	877
6	PhantomsGhost_	718
7	AdmiralSmoke	621
8	Blu3beast	605
9	ayamefag	592
10	Ezekson	400
11	Manaateee	371
12	pintsizedrogue	327
13	xzvu	297
13	Legendosh	297
15	noam464	275
16	Zoeyfortnite	270
17	00000000-0000-0000-0009-01ff0c3e5e4f	268
18	Kakolbus	201
19	LordSpeed37	199
20	wwwwinnebagoooo	194
21	kekhon	182
22	Hyp3rion_	181
23	EveryonesUncle	174
24	Blackberry1310	173
25	Jovaphobic	165
26	Jimi7hits	164
27	Fullut	146
28	lordpipe	141
29	xxPipperDipperxx	140
30	burbankbuilder28	137
31	Soplight	136
31	TechnoNinja64	136
33	CalebDHawk	135
34	Arceus1975	133
35	FreakGenius	131
36	luseis	130
36	Dakar_	130
36	MAns_44	130
39	lcvezra	129
40	Quotary	128
41	Mahoose	127
42	eitanzaki	119
43	xolstoi	118
44	Onennon	110
45	Di_infiri	109
46	Merv__	107
47	ReflexCode	103
48	thescout7	99
49	El_Jalapeno	97
49	h2p_emrld	97
51	PlasticOtari	96
52	SkateboardR6	94
53	AnnieBathory	88
54	MyNameIsJobo	87
55	joethahobo	83
55	Elastiq	83
57	MightyWertu	80
57	EngagedGrub41	80
59	hanaryheatwave	77
60	Eczbox	71
60	Eczbek	71
62	olliebollie48	70
63	Cyntrical	69
63	sp00ky_ghost977	69
65	SaucyDark	67
66	Enderxz3	66
67	CharlieButt	65
67	Lord_Jord	65
67	Quaintster	65
70	Crowman1	62
71	Jordan_R	61
72	TheSecondLord	60
73	CattSoup	59
73	smogfrog	59
75	Jackattack53	57
75	Eraxa	57
77	Cowison	54
77	Saucepeh	54
79	YungMaki	53
80	Nicserso	52
81	TheDankPlatypus	48
82	Spenduh	47
83	ImpavidArcher	46
84	ShedJr_	44
84	Akoot_	44
84	privatemeekly	44
84	RadarHz	44
88	EMC_	43
88	Cortexia	43
90	Karetoko	42
90	aldplaysmc	42
90	SammiWolfGirl	42
93	mimbo1211	41
