rank	username	minecraft:used/minecraft:smooth_red_sandstone
1	Frozil20	1367
2	craaaash	668
3	milltesco	552
4	Groovy_MoonBird	506
5	Legendosh	498
6	Mattesco	317
7	Mr_Byzantine	312
8	beeperbeeper5	201
9	DAD_1996	153
10	Manaateee	145
11	_Huge_Male_	140
12	Steelynan	138
13	Lez_	98
14	Sral7	96
15	Huwulling	90
16	Merv__	76
17	Pumpkin_P_Patch	51
18	Mahoose	32
18	TheShyPig	32
20	ABUSNA1996	5
21	shineh10	4
21	ImpavidArcher	4
21	Wowful	4
24	TheSecondLord	3
24	ItsDeltaMC	3
26	MattieHD	2
26	El_Jalapeno	2
28	JESS_THE_RERE	1
28	Spacewardharpy7	1
