rank	username	minecraft:used/minecraft:crying_obsidian
1	noam464	5714
2	Blaiku	4009
3	Di_infiri	2575
4	Zythose	2209
5	PigDab	1739
6	Smoke____	1419
7	beeperbeeper5	1290
8	eitanzaki	1104
9	Spacewardharpy7	437
10	thewindmillman	294
11	YungMaki	240
12	KG1999	235
13	Optiprimus	234
14	teslawolf38	231
15	Racengan	170
16	TheSecondLord	158
17	Lord_Jord	112
18	ItsDeltaMC	86
19	Hpdinosaur	54
20	CliffEmAll	50
21	Cowison	46
22	HellsSponge	36
23	mwrty	33
24	Mahoose	28
25	wwwwinnebagoooo	26
25	trexgb	26
27	Fullut	24
27	Kubeusz2010	24
29	Menthas	23
29	PlasticOtari	23
31	Hyp3rion_	18
32	IvarEXE	13
33	Winklepicker279	12
34	lordpipe	11
35	jnp_gaming	10
36	12Magner05	8
36	gcaisawesome	8
38	kekhon	7
38	NomadicRobin_	7
40	Groovy_MoonBird	6
40	hm947	6
40	set67	6
40	r123moore	6
40	fred870d	6
45	ShedJr_	5
45	Moyd_	5
45	Freak_Genius	5
45	oxfordschool	5
45	YoshikageBites	5
50	ROY4LE	4
50	DeGodz4life	4
50	Decaying_Lotus	4
50	Enderslayerxz3	4
50	Legendosh	4
50	diggydog67	4
56	Inchef	3
56	Arceus1975	3
56	Akoot_	3
56	EveryonesUncle	3
56	MineMaster0012	3
61	Drlzyy	2
61	Nesquiczek	2
61	livingdaydreams	2
61	CoffeeNoir	2
61	NinjaKnifeKill	2
61	Myszoaz	2
61	rarrq	2
61	Ardennes	2
61	funnyblitz123	2
61	burbankbuilder28	2
61	Jonte0599	2
61	Deathkob	2
61	lillips	2
61	Cyntrical	2
61	MightyWertu	2
61	pixelviolin	2
61	SammiWolfGirl	2
61	Luigipunch989	2
61	Winston_Ingram	2
61	tartanboy	2
81	_Razar	1
81	lotarp	1
81	Blackberry1310	1
81	TheThomas69	1
81	Kubelz	1
81	Kakolbus	1
81	trixterrx	1
81	_Boipl_	1
81	Afinnity	1
81	AuroraSkies	1
81	MyNameIsDakar	1
81	Nycteus_	1
81	GlitchyPlate810	1
81	obzii	1
81	MilleGrug	1
81	Hermanni__	1
81	Ezekson	1
