rank	username	minecraft:used/minecraft:wooden_sword
1	Prodiginus	1839
2	Megarboh	888
3	Napoleonpancake	740
4	Eraxa	595
5	Jackattack53	557
6	Hyp3rion_	519
7	aldplaysmc	421
8	UCP_TheKingK	405
9	NLKBuilder	404
10	Steve897	375
11	imthatpikachu	333
12	Windo_licker	314
13	Akoot_	283
14	Blaiku	259
15	Frozil20	250
16	Afinnity	242
17	T045RTY	241
18	beeperbeeper5	234
19	Azorathum	225
20	E775	224
21	xFaiithyX	184
22	Alphanzt99	165
23	Stright_	164
24	oscminus	161
24	claivin	161
24	Bawbman	161
27	lillips	153
28	Yuvl	151
29	PlzNoBM	149
30	WingedTortoise	148
31	sufjanlover	147
32	ImpavidArcher	142
33	msJabberwock	141
34	Kowcio_	139
35	Chromary	138
36	lolpoottoot	130
37	Mocha_Mug	129
37	eitanzaki	129
37	Nach0Bear	129
40	r123moore	126
41	_Karmaa	124
42	Crasswolf	120
42	Paigefly	120
42	Naturalrogue	120
45	SyK7	118
45	SellyZ	118
45	Deathkob	118
45	xolstoi	118
49	Fullut	117
50	FirsTimeGamingTV	115
51	hm947	112
52	joethahobo	106
52	PortlyPete69	106
54	CryoInferno_	105
54	IamCL4SSY	105
56	firesgal3116	102
57	Robby_Cream	101
58	Peeing	100
59	Toriankel	95
60	Krowuss	92
61	_Dean_123	90
62	Zenlou	89
62	Rebytre	89
64	F_Uhre	88
65	h2p_emrld	87
66	Chuvacevedo	85
67	Huwulling	82
67	ItsJWolff	82
69	StanceTB	81
69	Kartoong	81
71	Snowflowe	80
71	Aryamanee	80
73	gary_	77
74	Scattman_	76
74	xRookiie	76
76	iElijah	75
77	Lez_	74
77	bugrq_	74
77	StarCookiees_	74
77	Sral7	74
81	RoskobiOne	72
82	NomadicRobin_	71
83	KayleeGrace58	70
84	SpicyMeatballs	69
84	hanaryheatwave	69
84	luseis	69
87	Cambo5000	66
87	JETrotter	66
87	LuceImaginary	66
90	FastLane1	65
90	ARCTICxLORD	65
92	rarrq	64
92	DukBob	64
94	Ninzyyy	63
94	corvidpartyfor6	63
94	Matek_	63
94	NarwhalTaco	63
94	Dabatha	63
94	yulgur1	63
94	DarlaMeow	63
101	RosaDoesMC	62
101	Myrlewen	62
101	SuperPooch06	62
101	Parcc	62
101	Mweems	62
101	fluddd	62
107	Sadeena	61
107	mariominejedi	61
107	TheTrueClipse	61
110	Whalezz	60
110	ivorico	60
110	mennorovers	60
