rank	username	minecraft:used/minecraft:purple_banner
1	_i_ERROR_i_	133
2	luseis	52
3	beeperbeeper5	51
4	thewindmillman	45
5	Merv__	36
6	Lez_	35
7	Apollo_993	33
7	lordpipe	33
9	LuvLuvLove	32
10	Mattesco	28
11	Froste131	26
12	TheShyPig	23
12	Kowcio_	23
14	Ssor69	22
15	Soplight	21
16	gustarlep	17
17	Mr_Byzantine	16
18	k_ce	14
19	ShedJr_	11
19	Fullut	11
19	pixelviolin	11
22	6king6colt6	9
22	Touched_Bread	9
24	Groovy_MoonBird	7
24	Enderxz3	7
26	SteveCraftBlocks	6
27	SaucyDark	5
27	Huwulling	5
27	Sleepy_Time_	5
27	Werbe	5
27	ConnorDanky_	5
32	pintsizedrogue	4
32	Blackberry1310	4
32	MattieHD	4
32	MyNameIsJobo	4
32	NomadicRobin_	4
32	Pumpkin_P_Patch	4
32	robonya_	4
39	Mahoose	3
39	Zeezap	3
39	Deerfoot	3
39	BinChickenBrine	3
39	ZoomieZoomie	3
44	Sleek_Storm_721	2
44	RatatJuice	2
44	noam464	2
44	craaaash	2
44	Jackattack53	2
44	hanaryheatwave	2
44	ScootOfBoot	2
44	CircusKazi	2
44	Manaateee	2
44	SammiWolfGirl	2
44	SpacesickPrism	2
55	Krasnal1337	1
55	Jovaphobic	1
55	PazinGaming	1
55	ECstardust	1
55	XiaoZhang_TW	1
55	q_wq	1
55	TheSecondLord	1
55	kekhon	1
55	Motsaro	1
55	bl1ss0	1
55	Lord_Jord	1
55	Dakar_	1
55	HellsSponge	1
55	Shogunite	1
55	cuddlyMonster	1
55	SingedBread	1
55	_purple	1
55	TheKingK_	1
55	Luigipunch989	1
55	_3Stump_	1
55	TheBananaKat	1
55	Ezekson	1
55	00000000-0000-0000-0009-01f3e0064b49	1
