rank	username	minecraft:used/minecraft:deepslate
1	lordpipe	7035
2	thewindmillman	4519
3	PlasticOtari	3442
4	AltnumberF4	3435
5	Segotep999	3104
6	beeperbeeper5	2846
7	CoffeeNoir	2211
8	Lutres_Torane	2093
9	Spacewardharpy7	1966
10	_stets	1930
11	Winklepicker279	1918
12	Hermanni__	1855
13	Mattesco	1754
14	EMC_	1720
15	YungMaki	1593
16	Megarboh	1554
17	Kakolbus	1493
18	pintsizedrogue	1475
19	PigDab	1375
20	Smashic	1355
21	rarrq	1310
22	Skippeh	1228
23	MinttyFressh	1166
24	RebelAndroid	1138
25	EcksD	1065
26	UCP_TheKingK	997
27	pixelviolin	959
28	Smoke____	910
29	titanlax	905
30	Flores991	901
31	12Magner05	790
32	MSK__	786
33	ImpavidArcher	783
34	Lord_Doob	706
35	Rebytre	656
36	MAns_44	626
37	dartwaffle	599
38	Hyp3rion_	582
39	Inchef	546
40	Miko_Fullbuster	509
41	Mahoose	477
42	Ryker	450
42	MilleGrug	450
44	benediktine1	385
45	Legendosh	350
46	Enderslayerxz3	331
47	ShedJr_	245
48	500am	207
49	crying_wolf_13	194
50	HolyVenom	167
50	MinuteMira	167
52	Steven1282598	163
53	Merv__	155
54	orxngejuice	144
55	hm947	141
56	fw3xywashere	133
57	Jiminie	125
58	TheSecondLord	109
59	joethahobo	106
60	dimondking777	91
61	WYFYoyo	87
62	Soplight	74
62	TheOuterCore	74
64	Eczbek	73
65	SvenskaHugo	72
65	Steelynan	72
67	RoskobiOne	70
68	Lord_Jord	68
69	gcaisawesome	67
70	Blackberry1310	64
71	SingedBread	62
72	noam464	58
73	KGTV	56
74	Sheldor097	55
75	NomadicRobin_	52
76	SvenskaAlvar	51
77	RadarHz	47
78	TheALV	46
79	Khelvoryk	43
80	sp00ky_ghost977	42
81	T045RTY	34
81	Jimi7hits	34
83	2blox	21
84	Dan_Scha	20
85	tuckerdoodle	18
85	fluddd	18
87	Drlzyy	17
87	EveryonesUncle	17
87	Ezekson	17
90	lizardfightclub	16
91	Da_Boss_Rani	15
91	smarticuno	15
91	Deathkob	15
94	BungalowBeet	13
95	verynothing	12
96	Freak_Genius	11
97	kekhon	10
97	hcb238	10
97	Kowcio_	10
97	Quotary	10
101	SpicyDuckMan	9
102	Valoth	7
102	_Boipl_	7
102	Nycteus_	7
105	diamondgolem35	6
106	ApophisNova	5
106	TheEnderman548	5
106	MyNamaSheff	5
109	eitanzaki	4
109	xPixelRainx	4
109	lillips	4
109	Frozil12	4
109	Hisiste	4
114	TAKrules	3
114	MyNameIsDakar	3
114	00000000-0000-0000-0009-01f898304150	3
117	kyouma777	2
117	MineMaster0012	2
117	Spenduh	2
117	mobunni	2
117	smogfrog	2
117	FelixPSY375	2
123	TheThomas69	1
123	Jackattack53	1
123	wwwwinnebagoooo	1
123	Yahir091	1
123	starbits140	1
123	Kubeusz2010	1
