rank	username	minecraft:used/minecraft:glow_ink_sac
1	Hyp3rion_	948
2	pintsizedrogue	474
3	Mattesco	337
4	Merv__	159
5	TheSecondLord	138
6	PlasticOtari	134
7	Jackattack53	123
7	Legendosh	123
9	Marbz_	111
10	CattSoup	82
11	Kowcio_	80
12	bearlystraight	72
13	q_wq	69
14	Jimb0nat0r	52
15	weabis	51
16	thewindmillman	44
17	sp00ky_ghost977	43
18	Mr_Byzantine	40
19	EveryonesUncle	34
19	pixelviolin	34
21	beeperbeeper5	33
21	Fuad_R	33
23	binman420	31
24	Skylord_Luke	28
25	12Magner05	23
25	Smashic	23
27	wwwwinnebagoooo	21
28	EMC_	20
28	Huwulling	20
30	Kakolbus	18
30	Mythic1130	18
32	UCP_TheKingK	17
33	RebelAndroid	16
34	SteveCraftBlocks	15
34	SingedBread	15
36	Secret_Canary	14
36	obzii	14
38	ITDV	13
38	orxngejuice	13
38	IdeallyGrey	13
41	Mahoose	12
41	joethahobo	12
41	Steelynan	12
41	Ezekson	12
45	Snowflowe	11
45	iSammael	11
45	WYFYoyo	11
48	Myszoaz	10
48	KeruNatsema	10
48	luseis	10
48	GoofySilly	10
52	FazeObama69	9
52	Awyrlas	9
52	noam464	9
52	parodypatient	9
52	RoofTyler	9
52	RealGroot	9
52	SammiWolfGirl	9
52	Smoke____	9
60	MAns_44	8
60	Soplight	8
62	RoskobiOne	7
62	ROY4LE	7
62	PigDab	7
65	Khelvoryk	6
65	mwrty	6
65	SuperPooch06	6
65	KartivGal	6
65	lillips	6
65	Ze_BaronKrigler	6
71	titanlax	5
71	500am	5
71	xxPipperDipperxx	5
71	prizm_	5
71	Rebytre	5
71	SvenskaAlvar	5
77	diamondgolem35	4
77	p4lp	4
77	AlexxO_o	4
77	Luminad3	4
77	NomadicRobin_	4
77	MineMaster0012	4
77	ediballbearings	4
77	HesDemonPants	4
85	Apollo_993	3
85	Flores991	3
85	eitanzaki	3
85	nattybears	3
85	lorpus	3
85	Inchef	3
85	Elastiq	3
85	420BreadLizard	3
85	Joestra	3
85	CheifJumbo	3
85	SvenskaHugo	3
85	calamariclam_I	3
97	hm947	2
97	Lez_	2
97	Pofen	2
97	Crowman1	2
97	Nicky_H225	2
97	Fullut	2
97	Arceus1975	2
97	Veillax135	2
97	Nycteus_	2
97	Spacewardharpy7	2
97	lordpipe	2
97	Joshuarumold	2
97	Enderxz3	2
97	2bolx_	2
97	00000000-0000-0000-0009-01ff0c3e5e4f	2
112	SmashingPump	1
112	Creativebuilder2	1
112	jessewegottacook	1
112	Da_Boss_Rani	1
112	Sleepy_Time_	1
112	rarrq	1
112	Blackberry1310	1
112	Kkanot	1
112	2Stout	1
112	shadowthemonkey	1
112	thatbeanyboi	1
112	SlayerCrypto	1
112	hanaryheatwave	1
112	Rocco_Lane	1
112	groofles	1
112	Lord_Jord	1
112	NameGenerat0r	1
112	mihimihimihi	1
112	Eraxa	1
112	YungMaki	1
112	tsitrawhy	1
112	TheALV	1
112	TheOuterCore	1
112	EcksD	1
